GameID,Rusher_ID,Team,Opponent,Player_Name,Carries,Drives,Car_per_Drive,Total_Yards,Yards_per_Car,Yards_per_Drive,Fumbles,TDs,TD_to_Fumbles,Total_EPA,Success_Rate,EPA_per_Car,EPA_Ratio,TD_per_Car,Fumbles_per_Car,Fumbles_per_Drive,TD_Drive,EPA_per_Drive,Total_WPA,WPA_per_Drive,Win_Success_Rate,WPA_per_Car,WPA_Ratio,Total_Clutch_EPA,Clutch_EPA_per_Car,Clutch_EPA_per_Drive
2010010900,00-0026162,DAL,PHI,F.Jones,16,10,1.6,148,9.25,14.8,0,1,Inf,8.99302974752528,0.5,0.56206435922033,0.7530051551368947,0.0625,0,0,0.1,0.8993029747525281,0.11483472982246201,0.0114834729822462,0.5625,0.007177170613903876,0.7278923191377324,0.4458833735578524,0.027867710847365775,0.04458833735578524
2010010900,00-0026262,DAL,PHI,T.Choice,14,7,2,42,3,6,0,1,Inf,-2.715843521487713,0.2857142857142857,-0.19398882296340808,0.3434934072931009,0.07142857142857142,0,0,0.14285714285714285,-0.38797764592681616,0.01628865821630099,0.002326951173757284,0.42857142857142855,0.001163475586878642,0.5813131775737844,0.013209255540168842,9.43518252869203e-4,0.001887036505738406
2010010900,00-0023063,PHI,DAL,L.Weaver,5,5,1,19,3.8,3.8,0,0,NaN,-0.6011854396925211,0.2,-0.12023708793850423,0.3179549604193643,0,0,0,0,-0.12023708793850423,-0.012632506799233861,-0.002526501359846772,0.2,-0.002526501359846772,0.3588648844081902,-0.002778538440192186,-5.557076880384372e-4,-5.557076880384372e-4
2010010900,00-0027029,PHI,DAL,L.McCoy,5,4,1.25,24,4.8,6,0,0,NaN,-0.29731200736753416,0.4,-0.05946240147350683,0.46686577900547294,0,0,0,0,-0.07432800184188354,-0.026845241175402115,-0.006711310293850529,0.4,-0.005369048235080423,0.33920078052607516,-0.005732024054050709,-0.0011464048108101419,-0.0014330060135126772
2010010900,00-0023544,DAL,PHI,M.Barber,3,2,1.5,4,1.3333333333333333,2,0,0,NaN,-1.9164092146325789,0,-0.6388030715441929,0,0,0,0,0,-0.9582046073162894,-0.056166605958069216,-0.028083302979034608,0,-0.018722201986023073,0,-0.04097037987346151,-0.013656793291153838,-0.020485189936730756
2010010900,00-0011022,PHI,DAL,D.McNabb,2,1,2,13,6.5,13,0,0,NaN,2.221278955262262,1,1.110639477631131,1,0,0,0,0,2.221278955262262,0.009560002716624378,0.009560002716624378,1,0.004780001358312189,1,0.020388360978340982,0.010194180489170491,0.020388360978340982
2010010900,00-0020245,PHI,DAL,M.Vick,1,1,1,0,0,0,1,0,0,-3.9531170180277497,0,-3.9531170180277497,0,0,1,1,0,-3.9531170180277497,-0.06337966837233874,-0.06337966837233874,0,-0.06337966837233874,0,-0.2505472456396474,-0.2505472456396474,-0.2505472456396474
2010010900,00-0021678,DAL,PHI,T.Romo,1,1,1,5,5,5,0,0,NaN,-0.340188242403348,0,-0.340188242403348,0,0,0,0,0,-0.340188242403348,-2.002987612463869e-4,-2.002987612463869e-4,0,-2.002987612463869e-4,0,-6.813928354397619e-5,-6.813928354397619e-5,-6.813928354397619e-5
2010010901,00-0023439,CIN,NYJ,C.Benson,21,10,2.1,169,8.047619047619047,16.9,0,1,Inf,4.95421112994122,0.47619047619047616,0.23591481571148668,0.6645293964830954,0.047619047619047616,0,0,0.1,0.49542111299412206,0.13624922131376668,0.013624922131376668,0.47619047619047616,0.006488058157798414,0.6434543514450645,0.5814383554127166,0.027687540733938885,0.05814383554127166
2010010901,00-0026899,NYJ,CIN,S.Greene,21,7,3,135,6.428571428571429,19.285714285714285,0,1,Inf,2.245403034173904,0.47619047619047616,0.10692395400828116,0.5862001379256976,0.047619047619047616,0,0,0.14285714285714285,0.3207718620248435,0.051755730582206894,0.007393675797458128,0.47619047619047616,0.002464558599152709,0.5658795801523129,0.34924401218812456,0.01663066724705355,0.04989200174116065
