Player_ID_Name,Pass_Attempts,Rush_Attempts,Sacks,Position,Total_Plays,Replacement_Level,Player_Model_ID,air_iPA,yac_iPA,rush_iPA,air_iPAA,yac_iPAA,rush_iPAA,air_iPAR,yac_iPAR,rush_iPAR,total_iPAR,air_WAR,yac_WAR,rush_WAR,total_WAR
A.Dalton-00-0027973,511,29,47,QB,587,0,A.Dalton-00-0027973,-0.028795934164456465,0.00308126619606361,0.17134987982454836,-14.714722358037253,1.5745270261885047,13.022590866665675,-13.722022514893354,19.374998425274534,-24.908931301039445,-19.255955390658265,-0.3485721803513792,0.49217128437680396,-0.6327464106987378,-0.4891473066733131
A.Luck-00-0029668,611,43,42,QB,696,0,A.Luck-00-0029668,-0.0034739864693340266,0.010589001190512835,0.3815511818021779,-2.1226057327630903,6.469879727403343,32.43185045318512,-0.9356397755010106,27.753809325919118,-9.991562497537707,16.8266070528804,-0.023767487352238686,0.7050131144510264,-0.2538095766206268,0.42743605047816097
A.Rodgers-00-0023459,536,39,50,QB,625,0,A.Rodgers-00-0023459,0.016100958576109593,0.1014959847762672,-0.0022146893649705192,8.630113796794742,54.40184784007922,-0.1971073534823762,9.671380168468186,73.07318378902269,-44.616916207768625,38.12764774972226,0.24567617992690968,1.8562335815227788,-1.1333763478537457,0.9685334135959429
A.Smith-00-0023436,217,21,24,QB,262,0,A.Smith-00-0023436,-0.0032041463532752235,0.053973659234764486,0.050667132149768826,-0.6952997586607235,11.712284053943893,2.2800209467395973,-0.27374229102427294,19.271388346706452,-20.17943296834896,-1.1817869126667802,-0.006953708692224384,0.48953934065614213,-0.5126058451221371,-0.030020213158219417
B.Gabbert-00-0027948,261,16,22,QB,299,0,B.Gabbert-00-0027948,-0.006720241984088555,-0.03328204487137457,-0.03200559126781143,-1.7539831578471128,-8.686613711428764,-1.2162124681768345,-1.2469485999986631,0.40521218908288503,-20.181973552029394,-21.023709962945173,-0.03167547581385177,0.01029335843898186,-0.5126703820219923,-0.5340524993968623
B.Gradkowski-00-0024408,10,2,0,QB,12,1,Replacement_QB,-0.0019426611411817996,-0.03483458199429751,0.4990989758908568,-0.019426611411817996,-0.3483458199429751,0.9981979517817136,0,0,0,0,0,0,0,0
B.Hoyer-00-0026625,52,1,4,QB,57,1,Replacement_QB,-0.0019426611411817996,-0.03483458199429751,0.4990989758908568,-0.10101837934145358,-1.8113982637034705,2.495494879454284,0,0,0,0,0,0,0,0
B.Leftwich-00-0022177,51,1,4,QB,56,1,Replacement_QB,-0.0019426611411817996,-0.03483458199429751,0.4990989758908568,-0.09907571820027178,-1.776563681709173,2.495494879454284,0,0,0,0,0,0,0,0
B.Osweiler-00-0029682,4,0,0,QB,4,1,Replacement_QB,-0.0019426611411817996,-0.03483458199429751,0.4990989758908568,-0.007770644564727198,-0.13933832797719004,0,0,0,0,0,0,0,0,0
B.Quinn-00-0025409,195,17,20,QB,232,0,B.Quinn-00-0025409,-0.023210194337359838,-0.06485221217163774,0.15627630637670037,-4.5259878957851685,-12.646181373469359,5.782223335937914,-4.1471689732547175,-5.853437884581345,-12.684438772023785,-22.685045629859847,-0.10534800753489527,-0.1486913174617934,-0.3222150724865113,-0.5762543974832
B.Roethlisberger-00-0022924,434,18,31,QB,483,0,B.Roethlisberger-00-0022924,0.03151806273677,0.0535761275516405,-0.1966616265426263,13.67883922775818,23.252039357411977,-9.63641970058869,14.521954163031081,38.3702479429371,-34.09226951924067,18.799932586727508,0.3688923567991882,0.9746960385450553,-0.8660251582119597,0.4775632371322838
B.Weeden-00-0029677,499,22,28,QB,549,0,B.Weeden-00-0029677,-0.029351498734705554,-0.014629767635217662,0.1982474055366459,-14.646397868618072,-7.3002540499736135,9.912370276832295,-13.677009959168354,10.082202365180844,-15.042578517710545,-18.637386111698056,-0.3474287538138392,0.25611204597285514,-0.38211746018738657,-0.4734341680283707
C.Batch-00-0000865,69,0,3,QB,72,0,C.Batch-00-0000865,-0.0052529817510662095,-0.01863701361685764,-0.047818564174519684,-0.36245574082356846,-1.2859539395631772,-0.14345569252355905,-0.2284121220820243,1.1176322180433509,-1.6407526201961293,-0.7515325242348028,-0.005802214019573441,0.028390530525036574,-0.04167903948694608,-0.019090722981482944
C.Henne-00-0026197,280,16,29,QB,325,0,C.Henne-00-0026197,-0.00511331966667099,-0.010295751732627468,-0.10457744442268384,-1.4317295066678772,-2.882810485135691,-4.705984999020773,-0.8877843871369734,6.870872473267612,-27.16543891410933,-21.18235082797869,-0.022551846068637124,0.174536588635074,-0.6900670992352534,-0.5380823566688164
C.Kaepernick-00-0027974,213,55,16,QB,284,0,C.Kaepernick-00-0027974,0.01954504511862147,0.022961683714798297,0.28799065735920526,4.1630946102663735,4.890838631252037,20.447336672503575,4.576881433338097,12.310604596037408,-14.98869061574726,1.898795413628246,0.11626373143586155,0.3127187906029915,-0.38074857863501216,0.04823394340384091
C.McCoy-00-0027688,17,2,4,QB,23,1,Replacement_QB,-0.0019426611411817996,-0.03483458199429751,0.4990989758908568,-0.03302523940009059,-0.5921878939030576,2.9945938553451406,0,0,0,0,0,0,0,0
C.Newton-00-0027939,479,115,36,QB,630,0,C.Newton-00-0027939,-0.010041366067525958,-0.01679967596424294,0.7177221667530082,-4.809814346344934,-8.047044786872368,108.37604717970423,-3.8792796597188524,8.638719988396138,33.01210182018485,37.77154214886214,-0.0985429784649691,0.21944414232902068,0.8385863160444611,0.9594874799085127
