Season,Passer_ID,Player_Name,Attempts,Completions,Drives,Comp_Perc,Total_Yards,Total_Raw_AirYards,Total_Comp_AirYards,Yards_per_Att,Yards_per_Comp,Yards_per_Drive,Raw_AirYards_per_Att,Comp_AirYards_per_Att,Raw_AirYards_per_Comp,Comp_AirYards_per_Comp,Raw_AirYards_per_Drive,Comp_AirYards_per_Drive,PACR,TimesHit,TimesHit_per_Drive,Interceptions,TDs,Air_TDs,aPACR,Air_TD_Rate,TD_to_Int,Total_EPA,Success_Rate,EPA_per_Att,EPA_per_Comp,EPA_Comp_Perc,TD_per_Att,Air_TD_per_Att,Int_per_Att,TD_per_Comp,Air_TD_per_Comp,TD_per_Drive,Air_TD_per_Drive,Int_per_Drive,EPA_per_Drive,Total_WPA,Win_Success_Rate,WPA_per_Att,WPA_per_Comp,WPA_Comp_Perc,WPA_per_Drive,Total_Clutch_EPA,Clutch_EPA_per_Att,Clutch_EPA_per_Drive,airEPA_Comp,airEPA_Incomp,Total_Raw_airEPA,Raw_airEPA_per_Att,Raw_airEPA_per_Drive,epa_PACR,airEPA_per_Att,airEPA_per_Comp,airEPA_per_Drive,air_Success_Rate,air_Comp_Success_Rate,airWPA_Comp,airWPA_Incomp,Total_Raw_airWPA,wpa_PACR,Raw_airWPA_per_Att,Raw_airWPA_per_Drive,airWPA_per_Att,airWPA_per_Comp,airWPA_per_Drive,air_Win_Success_Rate,air_Comp_Win_Success_Rate,yacEPA_Comp,yacEPA_Drop,Total_yacEPA,yacEPA_per_Att,yacEPA_per_Comp,yacEPA_Rec_per_Drive,yacEPA_Drop_per_Drive,yacWPA_Comp,yacWPA_Drop,Total_yacWPA,yacWPA_per_Att,yacWPA_per_Comp,yacWPA_Comp_per_Drive,yacWPA_Drop_per_Drive,yac_Success_Rate,yac_Rec_Success_Rate,yac_Win_Success_Rate,yac_Comp_Win_Success_Rate
2009,00-0022787,M.Schaub,578,395,161,0.6833910034602076,4772,4444,2604,8.2560553633218,12.081012658227849,29.63975155279503,7.688581314878893,4.505190311418685,11.250632911392405,6.592405063291139,27.60248447204969,16.17391304347826,1.073807380738074,63,0.391304347826087,15,32,15,1.0659315931593158,0.46875,2.1333333333333333,138.2278739827069,0.5242214532871973,0.23914857090433722,0.9103016648728436,0.5093525463800046,0.05536332179930796,0.025951557093425604,0.025951557093425604,0.0810126582278481,0.0379746835443038,0.19875776397515527,0.09316770186335403,0.09316770186335403,0.8585582234950739,4.0591739233240265,0.513840830449827,0.007022792254885859,0.025412604722557148,0.4994158715539254,0.025212260393316935,6.82522608214797,0.011808349623093373,0.04239270858477,108.88848169077345,139.55065710367535,248.43913879444878,0.42982549964437505,1.543100240959309,0.5563852565801742,0.18838837662763572,0.2756670422551227,0.6763259732346176,0.5692041522491349,0.356401384083045,2.7570352467386416,3.9579618443627114,6.7149970911013535,0.6044937724102968,0.011617642026126909,0.04170805646646803,0.004769957174288308,0.006979836067692763,0.017124442526326968,0.5553633217993079,0.34256055363321797,250.68067593399977,-360.89194074574164,-110.21126481174187,-0.19067692874003783,0.634634622617721,1.5570228318881973,-2.2415648493524327,7.248586381145865,-9.936766786448757,-2.688180405302893,-0.004650831151043067,0.01835085159783763,0.04502227565929109,-0.06171904836303576,0.5605536332179931,0.5259515570934256,0.527681660899654,0.49480968858131485
2009,00-0010346,P.Manning,571,393,146,0.6882661996497373,4519,4843,2526,7.914185639229422,11.498727735368957,30.95205479452055,8.481611208406305,4.423817863397548,12.323155216284988,6.427480916030534,33.17123287671233,17.301369863013697,0.933099318604171,27,0.18493150684931506,17,33,17,0.911418542225893,0.5151515151515151,1.9411764705882353,191.65896728883894,0.5586690017513135,0.3356549339559351,1.010610553803778,0.5680349261174487,0.05779334500875657,0.0297723292469352,0.0297723292469352,0.08396946564885496,0.043256997455470736,0.22602739726027396,0.11643835616438356,0.11643835616438356,1.3127326526632803,7.035881210391232,0.5569176882661997,0.01232203364341722,0.03034928314999768,0.6272291392126512,0.0481909671944605,18.86993255996189,0.033047167355449894,0.12924611342439649,116.61357902257897,197.3857225229494,313.9993015455284,0.5499112111130094,2.1506801475721122,0.6103802344319843,0.20422693348963042,0.29672666417959026,0.798723143990267,0.5901926444833625,0.3432574430823117,4.298772244220889,4.996434181768696,9.295206425989585,0.7569365206047244,0.016278820360752337,0.06366579743828484,0.007528497800737109,0.010938351766465368,0.029443645508362256,0.5901926444833625,0.3432574430823117,280.55636862230574,-402.8967028789952,-122.34033425668945,-0.21425627715707435,0.7138838896241876,1.9216189631664777,-2.7595664580753096,7.596306374007046,-9.887821249326551,-2.2915148753195043,-0.004013160902485997,0.01932902385243523,0.05202949571237703,-0.06772480307757912,0.5376532399299475,0.5131348511383538,0.5376532399299475,0.51138353765324
2009,00-0019596,T.Brady,565,371,159,0.6566371681415929,4463,4711,2176,7.899115044247788,12.029649595687331,28.069182389937108,8.338053097345133,3.8513274336283185,12.69811320754717,5.8652291105121295,29.628930817610062,13.685534591194969,0.9473572489917215,52,0.3270440251572327,13,29,16,0.9462959032052642,0.5517241379310345,2.230769230769231,157.1515469731419,0.5292035398230088,0.2781443309259149,0.9567995335897932,0.5616394158172799,0.05132743362831858,0.02831858407079646,0.023008849557522124,0.07816711590296496,0.0431266846361186,0.18238993710691823,0.10062893081761007,0.08176100628930817,0.9883745092650434,3.324342049087199,0.5327433628318584,0.005883791237322476,0.023392964927113548,0.5176233836750522,0.020907811629479238,10.02418700222831,0.017741923897749222,0.06304520127187616,72.48716114953591,194.29102060849132,266.7781817580272,0.47217377302305696,1.67785019973602,0.5890719620980148,0.12829586044165647,0.19538318369147145,0.45589409528010005,0.5699115044247788,0.3292035398230089,1.9179426234491557,4.552479423342932,6.470422046792088,0.5137751486760195,0.01145207441910104,0.040694478281711244,0.003394588714069302,0.005169656666978857,0.012062532222950664,0.5681415929203539,0.3274336283185841,282.48546581227737,-392.1121005971627,-109.62663478488531,-0.19402944209714215,0.7614163498983217,1.7766381497627508,-2.4661138402337275,6.760847364509971,-9.86933446784102,-3.1084871033310484,-0.005501747085541678,0.018223308260134692,0.04252105260698095,-0.06207128596126427,0.5097345132743363,0.47079646017699117,0.504424778761062,0.46371681415929206
2009,00-0024226,J.Cutler,550,336,169,0.610909090909091,3652,4562,2075,6.64,10.869047619047619,21.609467455621303,8.294545454545455,3.772727272727273,13.577380952380953,6.175595238095238,26.994082840236686,12.278106508875739,0.8005260850504164,43,0.25443786982248523,26,27,22,0.6624287593160895,0.8148148148148148,1.0384615384615385,-18.15800483347267,0.44,-0.03301455424267758,0.7715476049561273,0.3987438021780937,0.04909090909090909,0.04,0.04727272727272727,0.08035714285714286,0.06547619047619048,0.15976331360946747,0.1301775147928994,0.15384615384615385,-0.10744381558267853,0.4299133515033621,0.42363636363636364,7.816606390970219e-4,0.02185885710769067,0.4137849101226009,0.0025438659852269944,2.3345446704052844,0.004244626673464153,0.013813873789380381,68.69111774758419,225.1140634521612,293.8051811997454,0.5341912385449916,1.7384921964481976,-0.06180287481427304,0.12489294135924398,0.20443785043923865,0.40645631803304255,0.5763636363636364,0.29818181818181816,1.4817304059159904,6.487602281583445,7.969332687499436,0.05394596616322934,0.01448969579545352,0.04715581471893157,0.002694055283483619,0.004409911922369019,0.00876763553796444,0.56,0.28909090909090907,190.54887751767455,-498.52411557641346,-307.9752380587389,-0.5599549782886162,0.5671097545168886,1.1275081509921572,-2.949846837730257,5.768947748407524,-13.200992268450648,-7.432044520043124,-0.013512808218260227,0.017169487346450966,0.034135785493535645,-0.07811238028669022,0.4763636363636364,0.44,0.4690909090909091,0.4254545454545455
2009,00-0021678,T.Romo,548,347,162,0.6332116788321168,4493,4163,2188,8.19890510948905,12.948126801152737,27.734567901234566,7.596715328467154,3.9927007299270074,11.997118155619596,6.305475504322766,25.69753086419753,13.506172839506172,1.0792697573865002,43,0.2654320987654321,9,29,12,1.1213067499399472,0.41379310344827586,3.2222222222222223,147.6120067379434,0.48905109489051096,0.2693649757991668,0.9982868436867969,0.5396511777360068,0.05291970802919708,0.021897810218978103,0.016423357664233577,0.08357348703170028,0.0345821325648415,0.17901234567901234,0.07407407407407407,0.05555555555555555,0.9111852267774284,3.165865032703463,0.46897810218978103,0.005777125972086612,0.02514074098982557,0.5163799748297976,0.019542376745083107,14.80043407377424,0.027008091375500438,0.09136070415910025,91.5236143612795,170.9025303812815,262.426144742561,0.4788798261725566,1.6199144737195124,0.5624897126113337,0.1670138948198531,0.2637568137212666,0.564960582477034,0.5675182481751825,0.3284671532846715,2.002202746442567,5.710747650268436,7.712950396711003,0.4104609610938854,0.01407472700129745,0.04761080491796915,0.003653654646793005,0.005770036733263882,0.012359276212608438,0.5602189781021898,0.32299270072992703,254.881920398039,-369.6960584026566,-114.8141380046176,-0.2095148503733898,0.7345300299655303,1.573345187642216,-2.2820744345843,6.792648022879186,-11.268719741034445,-4.476071718155258,-0.008168014084224923,0.019575354532793045,0.04192992606715547,-0.06955999840144719,0.5164233576642335,0.47992700729927007,0.4908759124087591,0.4470802919708029
2009,00-0023541,K.Orton,540,336,167,0.6222222222222222,3822,3806,1837,7.0777777777777775,11.375,22.88622754491018,7.048148148148148,3.401851851851852,11.327380952380953,5.467261904761905,22.790419161676645,11,1.0042038885969522,17,0.10179640718562874,12,25,10,0.9936941671045717,0.4,2.0833333333333335,57.53122933724973,0.45185185185185184,0.10653931358749949,0.8343159600093644,0.45711557005525716,0.046296296296296294,0.018518518518518517,0.022222222222222223,0.0744047619047619,0.02976190476190476,0.1497005988023952,0.059880239520958084,0.0718562874251497,0.3444983792649684,3.015229366779781,0.45925925925925926,0.005583758086629224,0.02568764144832782,0.4977538032668481,0.018055265669340004,8.78265228495714,0.016264170898068777,0.052590732245252333,36.20495858391201,171.9977493784494,208.20270796236144,0.3855605703006693,1.2467228021698291,0.27632315592960555,0.06704621959983706,0.10775285292830955,0.21679615918510187,0.5407407407407407,0.2777777777777778,1.4198987681544126,4.232065897692208,5.65196466584662,0.5334834071062126,0.010466601233049296,0.03384409979548874,0.0026294421632489123,0.004225889190935752,0.008502387833259956,0.5425925925925926,0.28703703703703703,244.1252039792344,-394.79668260434613,-150.67147862511172,-0.27902125671316985,0.7265631070810548,1.4618275687379305,-2.3640519916427913,7.203157535373185,-9.847884057550575,-2.6447265221773892,-0.004897641707735906,0.021437968855277337,0.043132679852534044,-0.0589693656140753,0.5351851851851852,0.48333333333333334,0.512962962962963,0.4537037037037037
2009,00-0023459,A.Rodgers,538,350,162,0.6505576208178439,4445,4984,2377,8.262081784386616,12.7,27.438271604938272,9.263940520446097,4.4182156133829,14.24,6.791428571428572,30.765432098765434,14.67283950617284,0.8918539325842697,40,0.24691358024691357,7,31,11,0.9530497592295345,0.3548387096774194,4.428571428571429,173.4388672585952,0.49256505576208176,0.32237707668883864,1.0287474843055948,0.5598737570250562,0.05762081784386617,0.020446096654275093,0.013011152416356878,0.08857142857142856,0.03142857142857143,0.19135802469135801,0.06790123456790123,0.043209876543209874,1.0706102917197233,4.659159111183479,0.4944237918215613,0.00866014704680944,0.026561566327489378,0.5469507588908008,0.028760241427058512,20.22977438752722,0.03760181112923275,0.12487515054029147,111.37466968613938,234.32684645878166,345.701516144921,0.6425678738753179,2.133959976203216,0.5017012051109667,0.20701611465825165,0.31821334196039824,0.6874979610255517,0.5855018587360595,0.3252788104089219,3.1457556812177265,5.0711237186132,8.216879399830926,0.5670229395455588,0.015273010036860457,0.050721477776734115,0.005847129518992056,0.00898787337490779,0.019418244945788435,0.5724907063197026,0.32342007434944237,248.6869498208188,-415.11513930128905,-166.42818948047025,-0.30934607710124584,0.7105341423451965,1.5351046285235728,-2.5624391314894384,6.1573987696483075,-9.708516275650412,-3.551117506002105,-0.006600590159855214,0.017592567913280878,0.03800863438054511,-0.059929112812656865,0.516728624535316,0.5018587360594795,0.5130111524163569,0.49256505576208176
2009,00-0005106,B.Favre,529,362,156,0.6843100189035917,4212,4229,2225,7.96219281663516,11.6353591160221,27,7.994328922495274,4.206049149338375,11.682320441988951,6.1464088397790055,27.108974358974358,14.262820512820513,0.995980137148262,45,0.28846153846153844,7,34,22,1.0822889572002838,0.6470588235294118,4.857142857142857,195.9440485255885,0.5274102079395085,0.3704046285927949,1.0005820392065177,0.5765877557394633,0.06427221172022685,0.04158790170132325,0.013232514177693762,0.09392265193370165,0.06077348066298342,0.21794871794871795,0.14102564102564102,0.04487179487179487,1.2560515931127467,4.744213704907251,0.5311909262759924,0.008968267873170607,0.024297584829341783,0.5517936576775407,0.03041162631350802,10.436997788148402,0.01972967445774745,0.06690383197531026,121.56331873105324,158.29664702603074,279.859965757084,0.5290358520927864,1.7939741394684872,0.7001503340983977,0.2297983340851668,0.33581027273771613,0.7792520431477772,0.5822306238185255,0.3648393194706994,3.2114064855281574,4.113613764381533,7.325020249909691,0.6476724354401262,0.013846919186974841,0.0469552580122416,0.0060707116928698625,0.008871288634055683,0.02058593900979588,0.5784499054820416,0.3629489603024575,240.64737946170612,-324.5632966932016,-83.91591723149548,-0.15863122349999145,0.6647717664688014,1.5426114068058085,-2.0805339531615488,5.584319222693568,-7.690807185959716,-2.1064879632661473,-0.003982018834151507,0.0154262961952861,0.03579691809418954,-0.04930004606384433,0.5614366729678639,0.5198487712665406,0.553875236294896,0.5085066162570888
2009,00-0020531,D.Brees,513,363,149,0.7076023391812866,4390,4217,2413,8.557504873294347,12.09366391184573,29.463087248322147,8.22027290448343,4.703703703703703,11.617079889807162,6.647382920110193,28.302013422818792,16.19463087248322,1.0410244249466445,28,0.18791946308724833,11,37,19,1.0991225990040312,0.5135135135135135,3.3636363636363638,186.82116166904171,0.5536062378167641,0.3641738044230833,0.9522665965438517,0.5749612487946714,0.07212475633528265,0.037037037037037035,0.021442495126705652,0.10192837465564739,0.05234159779614325,0.24832214765100671,0.12751677852348994,0.0738255033557047,1.2538332997922264,5.1621636831942865,0.5555555555555556,0.01006269723819549,0.024229514513632134,0.5733568722460494,0.03464539384694152,11.869235772214099,0.023136911836674656,0.07965930048465839,103.29889781855415,151.98947153942225,255.28836935797642,0.4976381468966402,1.713344760791788,0.7318044380121093,0.20136237391531023,0.28456996644229793,0.6932811934131151,0.5555555555555556,0.35282651072124754,1.036599102946403,3.635361134914099,4.671960237860502,1.1049245756334327,0.009107134966589672,0.03135543783798995,0.0020206610193887,0.00285564491169808,0.006957040959371832,0.5653021442495126,0.3586744639376218,242.373876726864,-310.8410844157987,-68.4672076889347,-0.13346434247355693,0.6676966301015538,1.6266703136031142,-2.086181774602676,7.758714665502061,-7.268511220168277,0.4902034453337841,9.55562271605817e-4,0.02137386960193405,0.052071910506725244,-0.04878195449777367,0.5380116959064327,0.5087719298245614,0.5087719298245614,0.4853801169590643
2009,00-0021231,D.Garrard,513,313,154,0.6101364522417154,3593,4224,2061,7.003898635477583,11.47923322683706,23.33116883116883,8.23391812865497,4.017543859649122,13.495207667731629,6.584664536741214,27.428571428571427,13.383116883116884,0.8506155303030303,80,0.5194805194805194,10,17,10,0.8245738636363636,0.5882352941176471,1.7,50.417332757721574,0.45614035087719296,0.09827940108717656,0.8300553624333848,0.4426791394047498,0.03313840155945419,0.01949317738791423,0.01949317738791423,0.054313099041533544,0.03194888178913738,0.11038961038961038,0.06493506493506493,0.06493506493506493,0.3273852776475427,0.7797408589220057,0.45419103313840153,0.001519962687957126,0.0228854171291575,0.4229778314937929,0.005063252330662375,2.718309628356056,0.005298849178081981,0.017651361223091275,66.45128650913243,176.08997172199733,242.54125823112975,0.47278997705873244,1.5749432352670762,0.20787116025297586,0.12953467155776302,0.21230442974163716,0.43150186044891187,0.5769980506822612,0.30409356725146197,2.354621820078519,5.342336349383486,7.696958169462005,0.1013050664632243,0.015003817094467846,0.04998024785364938,0.004589906082024404,0.007522753418781211,0.015289752078431943,0.5730994152046783,0.30214424951267055,193.35604193251706,-385.4799674059252,-192.12392547340818,-0.3745105759715559,0.6177509326917477,1.2555587138475133,-2.5031166714670467,4.84135024012533,-11.725731051887777,-6.884380811762448,-0.013419845636963836,0.015467572652157603,0.03143733922159305,-0.076141110726544,0.45419103313840153,0.43079922027290446,0.4502923976608187,0.40545808966861596
