Season,Rusher_ID,Team,Player_Name,Carries,Drives,Car_per_Drive,Total_Yards,Yards_per_Car,Yards_per_Drive,Fumbles,TDs,TD_to_Fumbles,Total_EPA,Success_Rate,EPA_per_Car,EPA_Ratio,TD_per_Car,Fumbles_per_Car,Fumbles_per_Drive,TD_Drive,EPA_per_Drive,Total_WPA,WPA_per_Drive,Win_Success_Rate,WPA_per_Car,WPA_Ratio,Total_Clutch_EPA,Clutch_EPA_per_Car,Clutch_EPA_per_Drive
2009,00-0026164,TEN,C.Johnson,314,130,2.4153846153846152,1958,6.235668789808917,15.061538461538461,2,15,7.5,31.074213114066993,0.37261146496815284,0.09896246214671017,0.5594748851036236,0.04777070063694268,0.006369426751592357,0.015384615384615385,0.11538461538461539,0.23903240856974609,1.3525336089764395,0.010404104684434149,0.3980891719745223,0.0043074318757211445,0.5948371461107127,11.350652916025048,0.03614857616568486,0.08731271473865422
2009,00-0019641,NYJ,T.Jones,310,128,2.421875,1190,3.838709677419355,9.296875,2,13,6.5,-29.184316568487645,0.34516129032258064,-0.09414295667254079,0.4250668846367211,0.041935483870967745,0.0064516129032258064,0.015625,0.1015625,-0.22800247319130973,0.8050518033923805,0.0062894672140029724,0.3967741935483871,0.0025969413012657434,0.5722090986036302,0.058461221864946906,1.8858458666111907e-4,4.567282958198977e-4
2009,00-0022736,STL,S.Jackson,309,137,2.2554744525547443,1382,4.472491909385114,10.087591240875913,2,4,2,-34.69982271115065,0.36893203883495146,-0.1122971608775102,0.4200338624565957,0.012944983818770227,0.006472491909385114,0.014598540145985401,0.029197080291970802,-0.2532833774536544,-0.9415407598118728,-0.006872560290597612,0.36893203883495146,-0.0030470574751193294,0.41433791600655245,-0.5958539965454641,-0.0019283300859076508,-0.004349299244857403
2009,00-0025394,MIN,A.Peterson,291,126,2.3095238095238093,1297,4.457044673539519,10.293650793650794,6,17,2.8333333333333335,-36.8006190984225,0.3711340206185567,-0.12646260858564434,0.4154300490240287,0.058419243986254296,0.020618556701030927,0.047619047619047616,0.1349206349206349,-0.2920684055430357,-1.8251205055653068,-0.014485083377502435,0.4329896907216495,-0.006271891771702085,0.35197581176468873,-5.14335399126623,-0.01767475598373275,-0.04082026977195421
2009,00-0023439,CIN,C.Benson,283,94,3.0106382978723403,1188,4.1978798586572434,12.638297872340425,0,6,Inf,-17.394740932730407,0.36042402826855124,-0.06146551566335833,0.44919396852607785,0.02120141342756184,0,0,0.06382978723404255,-0.1850504354545788,-0.034998960394223726,-3.7232936589599706e-4,0.3957597173144876,-1.236712381421333e-4,0.49611549371576197,0.9505437395216284,0.0033588118004297825,0.010112167441719451
2009,00-0022984,GB,R.Grant,282,137,2.0583941605839415,1252,4.439716312056738,9.138686131386862,2,12,6,1.1502185523133246,0.37943262411347517,0.004078789192600442,0.5034443138704463,0.0425531914893617,0.0070921985815602835,0.014598540145985401,0.08759124087591241,0.008395755856301639,0.36218038690230075,0.0026436524591408814,0.4326241134751773,0.001284327613128726,0.5462361178519324,2.1822111021299917,0.007738337241595715,0.015928548190729867
2009,00-0024275,JAC,M.Jones-Drew,279,117,2.3846153846153846,1258,4.508960573476703,10.752136752136753,1,12,12,0.5794076525780631,0.34767025089605735,0.002076729937555782,0.5014726579018933,0.043010752688172046,0.0035842293906810036,0.008547008547008548,0.10256410256410256,0.004952202158786865,0.0822139258882027,7.026831272495957e-4,0.3763440860215054,2.9467356949176594e-4,0.5064662738722406,4.043637691621933,0.014493325059576822,0.03456100591129858
2009,00-0026184,CHI,M.Forte,237,113,2.0973451327433628,855,3.607594936708861,7.566371681415929,5,4,0.8,-46.45083121438485,0.29957805907172996,-0.19599506841512596,0.3462179733271899,0.016877637130801686,0.02109704641350211,0.04424778761061947,0.035398230088495575,-0.4110693027821668,-0.04555577545365281,-4.0314845534206026e-4,0.3459915611814346,-1.922184618297587e-4,0.4955854452027725,-1.3998340331454717,-0.005906472713693973,-0.012387911797747538
2009,00-0026195,BAL,R.Rice,235,111,2.1171171171171173,1253,5.3319148936170215,11.288288288288289,2,7,3.5,1.2334091502982132,0.3829787234042553,0.005248549575737078,0.5041046191172129,0.029787234042553193,0.00851063829787234,0.018018018018018018,0.06306306306306306,0.01111179414683075,0.7953916653532848,0.0071656906788584215,0.41702127659574467,0.003384645384482063,0.5838788094600892,1.1382718762254176,0.004843710111597521,0.010254701587616375
2009,00-0023500,SF,F.Gore,229,118,1.9406779661016949,1120,4.890829694323144,9.491525423728813,3,10,3.3333333333333335,-17.694841373816544,0.30131004366812225,-0.07727004966732115,0.45197054716229534,0.043668122270742356,0.013100436681222707,0.025423728813559324,0.0847457627118644,-0.14995628282895376,0.046443421724909555,3.9358831970262337e-4,0.3537117903930131,2.0280970185550023e-4,0.5047020278909632,3.229677590651498,0.01410339559236462,0.02737014907331778
2009,00-0026988,DEN,K.Moreno,226,106,2.1320754716981134,859,3.8008849557522124,8.10377358490566,2,7,3.5,-23.946064825991836,0.37610619469026546,-0.10595603905306122,0.42220105952933534,0.030973451327433628,0.008849557522123894,0.018867924528301886,0.0660377358490566,-0.22590627194331922,-0.5214691230300617,-0.004919520028585487,0.4026548672566372,-0.002307385500133016,0.4349895226332577,-1.6408099399379203,-0.007260220973176639,-0.015479339056018117
