Season,Team,Player_Name,Carries,Drives,Car_per_Drive,Total_Yards,Yards_per_Car,Yards_per_Drive,Fumbles,TDs,TD_to_Fumbles,Total_EPA,Success_Rate,EPA_per_Car,EPA_Ratio,TD_per_Car,Fumbles_per_Car,Fumbles_per_Drive,TD_Drive,EPA_per_Drive,Total_WPA,WPA_per_Drive,Win_Success_Rate,WPA_per_Car,WPA_Ratio,Total_Clutch_EPA,Clutch_EPA_per_Car,Clutch_EPA_per_Drive
2009,OAK,J.Harrison,529,167,3.1676646706586826,2517,4.758034026465029,15.071856287425149,12,24,2,-3.621119945269883,0.3799621928166352,-0.0068452172878447695,0.4953995439323143,0.045368620037807186,0.022684310018903593,0.0718562874251497,0.1437125748502994,-0.02168335296568792,0.7079059299099731,0.004238957664131576,0.44045368620037806,0.0013381964648581722,0.5360802378633694,4.151081090661577,0.007847034197847972,0.024856772997973516
2009,BUF,T.Jones,520,163,3.1901840490797544,2545,4.894230769230769,15.613496932515337,7,19,2.7142857142857144,6.099662262949534,0.4076923076923077,0.01173011973644141,0.5077804090856988,0.03653846153846154,0.013461538461538462,0.04294478527607362,0.1165644171779141,0.037421240876991,0.5855961344500619,0.0035926143217795206,0.4480769230769231,0.001126146412403965,0.5252017229074214,4.728797167845736,0.009093840707395646,0.02901102556960574
2009,KC,K.Moreno,514,188,2.734042553191489,2529,4.92023346303502,13.452127659574469,6,19,3.1666666666666665,-1.7038050726143341,0.4027237354085603,-0.0033147958611173815,0.49750289783831275,0.03696498054474708,0.011673151750972763,0.031914893617021274,0.10106382978723404,-0.009062792939437948,2.1266144168594896,0.011311778813082391,0.4396887159533074,0.004137382133967879,0.6076871027134753,3.2780701223327515,0.006377568331386676,0.017436543203897613
2009,TB,J.Stewart,514,164,3.1341463414634148,2574,5.007782101167315,15.695121951219512,7,16,2.2857142857142856,-0.5823150506407073,0.4143968871595331,-0.0011329086588340608,0.4991995912902799,0.0311284046692607,0.013618677042801557,0.042682926829268296,0.0975609756097561,-0.003550701528296996,1.0265875325472125,0.006259680076507393,0.4805447470817121,0.001997252008846717,0.5589314447730404,0.9518298621320682,0.0018518090702958525,0.005803840622756513
2009,CLE,R.Mendenhall,493,161,3.062111801242236,2339,4.744421906693712,14.527950310559007,8,15,1.875,-6.195269969970412,0.3995943204868154,-0.012566470527323351,0.4906299323012592,0.030425963488843813,0.016227180527383367,0.049689440993788817,0.09316770186335403,-0.03847993770167958,0.6556225241268666,0.004072189590850104,0.44421906693711966,0.0013298631321031777,0.538885159571634,1.1073528960757266,0.002246151919017701,0.0068779682986069976
2009,STL,M.Jones-Drew,479,162,2.95679012345679,2238,4.67223382045929,13.814814814814815,8,24,3,9.15709342082948,0.3883089770354906,0.019117105262692023,0.5129146259872981,0.05010438413361169,0.016701461377870562,0.04938271604938271,0.14814814814814814,0.0565252680298116,0.9466695040581989,0.0058436389139394996,0.4613778705636743,0.001976345519954486,0.554280360432389,0.9474175386287395,0.0019779071787656356,0.005848256411288515
2009,IND,M.Jones-Drew,461,143,3.2237762237762237,2057,4.462039045553145,14.384615384615385,6,10,1.6666666666666667,-12.736099921256395,0.40563991323210413,-0.027627114796651617,0.47715753084181134,0.021691973969631236,0.013015184381778741,0.04195804195804196,0.06993006993006994,-0.08906363581298178,0.16577297942053162,0.001159251604339382,0.4078091106290672,3.5959431544583864e-4,0.5108548907405994,1.1906200404473457,0.0025826898925105112,0.008326014268862557
2009,CHI,A.Peterson,457,165,2.7696969696969695,2045,4.474835886214442,12.393939393939394,10,14,1.4,-36.958477964372854,0.3938730853391685,-0.08087194302926226,0.44254722811670194,0.030634573304157548,0.02188183807439825,0.06060606060606061,0.08484848484848485,-0.22399077554165367,-0.5160606017394551,-0.0031276400105421523,0.4179431072210066,-0.001129235452383928,0.4699203232051739,-1.0903826243439425,-0.0023859576025031565,-0.0066083795414784395
2009,DEN,J.Charles,450,153,2.9411764705882355,2084,4.631111111111111,13.620915032679738,13,12,0.9230769230769231,-28.50840653552151,0.37555555555555553,-0.06335201452338113,0.45706438669909805,0.02666666666666667,0.028888888888888888,0.08496732026143791,0.0784313725490196,-0.18632945448053273,0.23926444359938145,0.0015638198928064147,0.41555555555555557,5.31698763554181e-4,0.5116303893056307,-8.537326339481828,-0.018971836309959616,-0.055799518558704755
2009,JAC,C.Johnson,442,136,3.25,1893,4.282805429864253,13.919117647058824,15,12,0.8,-53.726898843590234,0.35294117647058826,-0.12155406978187835,0.4218179526870631,0.027149321266968326,0.033936651583710405,0.11029411764705882,0.08823529411764706,-0.39505072679110464,-1.3195747835474025,-0.00970275576137796,0.3891402714932127,-0.0029854633111932186,0.42458467560662644,-2.672643400431706,-0.006046704525863588,-0.01965178970905666
2009,CAR,M.Turner,440,146,3.0136986301369864,2014,4.577272727272727,13.794520547945206,11,15,1.3636363636363635,-11.81286392017614,0.37727272727272726,-0.026847418000400317,0.48057197579902144,0.03409090909090909,0.025,0.07534246575342465,0.10273972602739725,-0.08091002685052151,0.5465631099555566,0.0037435829449010724,0.41818181818181815,0.0012421888862626286,0.5344721933152665,1.5953304026829007,0.003625750915188411,0.010926920566321238
2009,DET,R.Grant,435,162,2.685185185185185,2029,4.664367816091954,12.524691358024691,10,19,1.9,-37.434417694746834,0.37701149425287356,-0.08605613263160192,0.4441022622149858,0.04367816091954023,0.022988505747126436,0.06172839506172839,0.11728395061728394,-0.23107665243670886,-0.6675004764524302,-0.004120373311434754,0.43448275862068964,-0.0015344838539136326,0.45667018237364043,-8.746207711617561,-0.020106224624408187,-0.05398893649146643
