Season,Team,Player_Name,Attempts,Completions,Drives,Comp_Perc,Total_Yards,Total_Raw_AirYards,Total_Comp_AirYards,Yards_per_Att,Yards_per_Comp,Yards_per_Drive,Raw_AirYards_per_Att,Comp_AirYards_per_Att,Raw_AirYards_per_Comp,Comp_AirYards_per_Comp,Raw_AirYards_per_Drive,Comp_AirYards_per_Drive,TimesHit,TimesHit_per_Drive,Interceptions,TDs,Air_TDs,Air_TD_Rate,TD_to_Int,Total_EPA,Success_Rate,EPA_per_Att,EPA_per_Comp,EPA_Comp_Perc,TD_per_Att,Air_TD_per_Att,Int_per_Att,TD_per_Comp,Air_TD_per_Comp,TD_per_Drive,Air_TD_per_Drive,Int_per_Drive,EPA_per_Drive,Total_WPA,Win_Success_Rate,WPA_per_Att,WPA_per_Comp,WPA_Comp_Perc,WPA_per_Drive,Total_Clutch_EPA,Clutch_EPA_per_Att,Clutch_EPA_per_Drive,airEPA_Comp,airEPA_Incomp,Total_Raw_airEPA,Raw_airEPA_per_Att,Raw_airEPA_per_Drive,airEPA_per_Att,airEPA_per_Comp,airEPA_per_Drive,air_Success_Rate,air_Comp_Success_Rate,airWPA_Comp,airWPA_Incomp,Total_Raw_airWPA,Raw_airWPA_per_Att,Raw_airWPA_per_Drive,airWPA_per_Att,airWPA_per_Comp,airWPA_per_Drive,air_Win_Success_Rate,air_Comp_Win_Success_Rate,yacEPA_Comp,yacEPA_Drop,Total_yacEPA,yacEPA_per_Att,yacEPA_per_Comp,yacEPA_Rec_per_Drive,yacEPA_Drop_per_Drive,yacWPA_Comp,yacWPA_Drop,Total_yacWPA,yacWPA_per_Att,yacWPA_per_Comp,yacWPA_Comp_per_Drive,yacWPA_Drop_per_Drive,yac_Success_Rate,yac_Rec_Success_Rate,yac_Win_Success_Rate,yac_Comp_Win_Success_Rate
2009,SEA,M.Hasselbeck,611,372,173,0.60883797054009825,3800,4260,1694,6.219312602291326,10.21505376344086,21.965317919075144,6.972176759410802,2.772504091653028,11.451612903225806,4.553763440860215,24.6242774566474,9.791907514450868,50,0.28901734104046245,19,21,9,0.42857142857142855,1.105263157894737,-2.107190603526093,0.4320785597381342,-0.0034487571252472884,0.7090642372674122,0.3939884069152908,0.03436988543371522,0.014729950900163666,0.031096563011456628,0.056451612903225805,0.024193548387096774,0.12138728323699421,0.05202312138728324,0.10982658959537572,-0.012180292505931174,0.9849417334886768,0.41407528641571195,0.0016120159304233662,0.015166918090416844,0.36344243492505723,0.005693304817853623,-9.954132904796047,-0.01629154321570548,-0.057538340490150566,18.216599925547595,204.47316204859263,222.68976197414023,0.364467695538691,1.2872240576539897,0.029814402496804573,0.0489693546385688,0.10529826546559304,0.5384615384615384,0.265139116202946,0.2923225465713189,4.766631451730354,5.058953998301672,0.00827979377790781,0.02924250866070331,4.784329731118149e-4,7.858132972347283e-4,0.0016897257027243867,0.5351882160392799,0.2618657937806874,245.55529633792975,-468.4582489155961,-222.90295257766633,-0.36481661633005946,0.6600948826288434,1.4193947765198252,-2.7078511498011335,5.349770983063746,-9.410509691383826,-4.06073870832008,-0.006646053532438755,0.014381104793182114,0.030923531694010093,-0.054396009776785124,0.5008183306055647,0.46153846153846156,0.47299509001636664,0.42716857610474634
2009,IND,P.Manning,602,402,160,0.6677740863787376,4624,5176,2607,7.681063122923588,11.502487562189055,28.9,8.598006644518273,4.3305647840531565,12.875621890547263,6.485074626865671,32.35,16.29375,30,0.1875,20,34,18,0.5294117647058824,1.7,168.9027808155134,0.5431893687707641,0.28056940334802893,1.008217519206201,0.5474562303668211,0.05647840531561462,0.029900332225913623,0.03322259136212625,0.0845771144278607,0.04477611940298507,0.2125,0.1125,0.125,1.0556423800969588,6.804550071603451,0.5415282392026578,0.011303239321600418,0.03030693701449303,0.6163479675679358,0.04252843794752157,18.01336485000853,0.029922532973436094,0.1125835303125533,120.98412089981258,212.64740649797062,333.6315273977832,0.5542051950129289,2.085197046236145,0.20097030049802755,0.30095552462639946,0.7561507556238286,0.5930232558139535,0.33554817275747506,4.47153339544086,5.12815799202364,9.5996913874645,0.01594633120841279,0.05999807117165312,0.007427796337941627,0.011123217401594178,0.027947083721505374,0.5913621262458472,0.3338870431893688,284.3193218210802,-448.10106840335,-163.7817465822698,-0.2720627019639033,0.7072619945798015,1.7769957613817513,-2.8006316775209372,7.679666339860986,-10.488270114477405,-2.8086037746164205,-0.004665454775110333,0.01910364761159449,0.04799791462413116,-0.06555168821548378,0.521594684385382,0.49667774086378735,0.5199335548172758,0.49335548172757476
2009,HOU,M.Schaub,590,399,165,0.676271186440678,4805,4534,2630,8.14406779661017,12.042606516290727,29.12121212121212,7.684745762711865,4.4576271186440675,11.363408521303258,6.591478696741855,27.47878787878788,15.93939393939394,65,0.3939393939393939,17,32,15,0.46875,1.8823529411764706,127.5608866814593,0.5203389830508475,0.2162048926804395,0.909884613594232,0.5017535539378093,0.05423728813559322,0.025423728813559324,0.0288135593220339,0.08020050125313283,0.03759398496240601,0.19393939393939394,0.09090909090909091,0.10303030303030303,0.7730962829179351,5.780079833128312,0.5152542372881356,0.009796745479878495,0.02546688759688468,0.4878623478306595,0.03503078686744431,4.050680559819355,0.006865560270880263,0.024549579150420334,111.32405131376824,146.85040373573216,258.1744550495004,0.4375838221177973,1.5646936669666691,0.1886848327352004,0.27900764740292794,0.6746912200834438,0.5694915254237288,0.3525423728813559,2.8483237097288194,4.202701113165588,7.051024822894408,0.011950889530329505,0.042733483775117626,0.0048276673046251176,0.007138655914107317,0.017262567937750422,0.5559322033898305,0.3389830508474576,251.71990951033035,-381.38647787837147,-129.6665683680411,-0.2197738446915951,0.6308769661913042,1.5255752091535173,-2.3114331992628574,7.2806113544442574,-8.532461838993553,-1.2518504845492961,-0.0021217804822869428,0.018247146251739992,0.04412491729966217,-0.051711889933294265,0.5576271186440678,0.5203389830508475,0.5271186440677966,0.48983050847457626
2009,ARI,K.Warner,589,393,181,0.66723259762309,4229,4589,2435,7.179966044142614,10.760814249363868,23.364640883977902,7.791171477079796,4.134125636672326,11.676844783715012,6.195928753180661,25.353591160220994,13.453038674033149,67,0.3701657458563536,19,31,15,0.4838709677419355,1.631578947368421,73.52515600182906,0.5127334465195246,0.12483048557186598,0.7974216960239756,0.4597304515952394,0.05263157894736842,0.025466893039049237,0.03225806451612903,0.07888040712468193,0.03816793893129771,0.1712707182320442,0.08287292817679558,0.10497237569060773,0.406216331501818,4.439360847011741,0.5178268251273345,0.007537115190172736,0.01975450576607565,0.447471100699146,0.024526855508352163,-14.690364836322619,-0.024941196666082546,-0.08116223666476585,86.98121192067948,167.72326652581947,254.70447844649894,0.4324354472775873,1.4072070632403257,0.14767608135938792,0.22132623898391726,0.4805591818822071,0.5857385398981324,0.3548387096774194,2.0499122404270538,2.8252673033098987,4.8751795437369525,0.008277045065767322,0.02693469361180637,0.003480326384426237,0.005216061680475964,0.011325481991309689,0.5738539898132428,0.34804753820033957,226.40551461674292,-407.5848370614128,-181.17932244466988,-0.3076049617057214,0.5760954570400583,1.2508591967775853,-2.251849928516093,5.713608525640676,-6.149427222365887,-0.43581869672521095,-7.399298755945856e-4,0.014538444085599683,0.031566897931716444,-0.03397473603517064,0.5229202037351444,0.5008488964346349,0.5229202037351444,0.4923599320882852
2009,DET,M.Stafford,581,317,176,0.5456110154905336,3526,4799,1769,6.0688468158347675,11.123028391167193,20.03409090909091,8.259896729776248,3.044750430292599,15.138801261829652,5.580441640378549,27.267045454545453,10.051136363636363,50,0.2840909090909091,32,19,13,0.6842105263157895,0.59375,-88.04380337015529,0.40963855421686746,-0.1515383879004394,0.8361547404990545,0.381639230179385,0.03270223752151463,0.022375215146299483,0.055077452667814115,0.05993690851735016,0.04100946372239748,0.10795454545454546,0.07386363636363637,0.18181818181818182,-0.5002488827849733,2.63221170723385,0.3803786574870912,0.004530484866151205,0.021536231309106285,0.3959811582183644,0.014955748336555967,-17.040882805773425,-0.029330263004773538,-0.09682319776007628,47.41218077433258,240.29669845812904,287.70887923246164,0.49519600556361726,1.634709541093532,0.08160444195237966,0.14956523903574948,0.2693873907632533,0.5559380378657487,0.24096385542168675,1.903738636009397,5.185152272512319,7.088890908521716,0.012201189171293831,0.0402777892529643,0.003276658581771768,0.006005484656181064,0.010816696795507938,0.5352839931153184,0.23235800344234078,217.6488719638677,-591.5075545664846,-373.8586826026169,-0.6434744967342804,0.686589501463305,1.236641317976521,-3.3608383782186624,4.9232466889772954,-9.33315419422882,-4.409907505251525,-0.007590202246560283,0.015530746652925222,0.02797299255100736,-0.05302928519448193,0.4457831325301205,0.4079173838209983,0.4199655765920826,0.37005163511187605
2009,NE,T.Brady,562,372,157,0.6619217081850534,4387,4530,2132,7.806049822064057,11.793010752688172,27.94267515923567,8.06049822064057,3.793594306049822,12.17741935483871,5.731182795698925,28.853503184713375,13.579617834394904,51,0.3248407643312102,13,27,15,0.5555555555555556,2.076923076923077,147.53821550463712,0.5231316725978647,0.26252351513280625,0.9103692830416915,0.5468202810654644,0.04804270462633452,0.026690391459074734,0.023131672597864767,0.07258064516129033,0.04032258064516129,0.17197452229299362,0.09554140127388536,0.08280254777070063,0.9397338567174339,3.6728677550411715,0.5338078291814946,0.006535351877297458,0.024335287521284384,0.5199200124102307,0.0233940621340202,9.342512626042929,0.016623687946695602,0.05950644984740719,59.8059050240685,178.7508055286691,238.55671055273763,0.4244781326561168,1.5194694939664817,0.10641620111044217,0.16076856189265726,0.38092933136349366,0.5622775800711743,0.3291814946619217,1.8796632669273483,4.173729339802634,6.053392606729982,0.01077116122193947,0.03855664080719734,0.003344596560368947,0.0050528582444283555,0.011972377496352537,0.5587188612099644,0.3274021352313167,278.8514682674408,-367.97596331554126,-89.12449504810048,-0.15858451076174462,0.7496007211490344,1.7761240017034445,-2.343795944684976,7.173063690990443,-9.275968903079784,-2.1029052120893406,-0.0037418242207995383,0.019282429276856028,0.045688303764270334,-0.05908260447821519,0.5106761565836299,0.47330960854092524,0.50355871886121,0.4626334519572954
2009,GB,A.Rodgers,555,360,170,0.6486486486486487,4503,5077,2393,8.113513513513514,12.508333333333333,26.488235294117647,9.147747747747747,4.311711711711712,14.102777777777778,6.647222222222222,29.86470588235294,14.076470588235294,41,0.2411764705882353,8,31,11,0.3548387096774194,3.875,166.43066541905173,0.4918918918918919,0.2998750728271202,1.0209753442506773,0.5496662512124152,0.055855855855855854,0.01981981981981982,0.014414414414414415,0.08611111111111111,0.030555555555555555,0.18235294117647058,0.06470588235294118,0.047058823529411764,0.9790039142297161,5.638322095237798,0.4954954954954955,0.010159138910338374,0.025981643535241288,0.5266199562884745,0.03316660056022234,16.248681346522005,0.029276903327066676,0.09558047850895297,110.76255058633518,240.01055955835508,350.77311014469024,0.6320236218823247,2.0633712361452368,0.19957216321862195,0.30767375162870886,0.6515444152137364,0.5837837837837838,0.32432432432432434,3.243143182882475,5.073706362062861,8.316849544945336,0.014985314495397003,0.04892264438203139,0.005843501230418873,0.00900873106356243,0.019077312840485146,0.5711711711711712,0.3225225225225225,256.78857334390864,-433.40255866369154,-176.61398531978293,-0.31822339697258184,0.7133015926219685,1.5105210196700507,-2.549426815668774,6.116856591940954,-8.740359520868342,-2.6235029289273877,-0.004727032304373671,0.016991268310947095,0.03598150936435855,-0.05141387953451966,0.5117117117117117,0.4972972972972973,0.5099099099099099,0.4882882882882883
2009,PHI,D.McNabb,553,335,176,0.6057866184448463,4381,4671,2313,7.922242314647378,13.077611940298507,24.892045454545453,8.446654611211573,4.182640144665461,13.943283582089553,6.904477611940298,26.539772727272727,13.142045454545455,19,0.10795454545454546,13,28,13,0.4642857142857143,2.1538461538461537,93.67033437248985,0.4629294755877034,0.16938577644211544,0.9532141194447078,0.49621878820216625,0.05063291139240506,0.023508137432188065,0.023508137432188065,0.08358208955223881,0.03880597014925373,0.1590909090909091,0.07386363636363637,0.07386363636363637,0.5322178089346014,4.321155961356062,0.4701627486437613,0.007814025246575158,0.025307095764446213,0.49558057553471224,0.0245520225077049,1.1476755223989843,0.0020753626083164275,0.006520883649994229,99.38631767856423,208.71382599289177,308.100143671456,0.557143116946575,1.7505689981332728,0.17972209345129156,0.29667557515989323,0.5646949868100241,0.5822784810126582,0.30560578661844484,3.262591391398782,5.339030982333859,8.60162237373264,0.015554470838576202,0.048872854396208185,0.005899803601082788,0.00973907878029487,0.01853745108749308,0.5804701627486437,0.3092224231464738,219.9404123354129,-431.4409485975478,-211.50053626213486,-0.3824602825716724,0.6565385442848146,1.249661433723937,-2.4513690261224306,5.215285689690698,-9.503676586628956,-4.288390896938257,-0.00775477558216683,0.015568016984151337,0.029632305055060783,-0.053998162424028155,0.4719710669077758,0.4267631103074141,0.4665461121157324,0.41952983725135623
2009,SF,A.Smith,529,312,173,0.5897920604914934,3289,3644,1671,6.217391304347826,10.541666666666666,19.01156069364162,6.888468809073724,3.1587901701323253,11.679487179487179,5.355769230769231,21.063583815028903,9.658959537572255,44,0.2543352601156069,14,24,14,0.5833333333333334,1.7142857142857142,1.2032456146710357,0.3988657844990548,0.002274566379340332,0.7822276770720806,0.4010817264170466,0.045368620037807186,0.026465028355387523,0.026465028355387523,0.07692307692307693,0.04487179487179487,0.13872832369942195,0.08092485549132948,0.08092485549132948,0.006955176963416391,1.1225838276670106,0.387523629489603,0.0021220866307504927,0.020654125831124442,0.38882029570562304,0.0064889238593468825,-1.0615209189677761,-0.0020066558014513727,-0.006135959069177897,31.158288239682907,134.98877395917398,166.1470621988569,0.3140776223040773,0.960387642767959,0.05890035584061041,0.09986630846052214,0.1801057123681093,0.4706994328922495,0.22873345935727787,0.6797692311718269,4.122758775524432,4.802528006696259,0.009078502848197088,0.027760277495354098,0.0012850079984344552,0.0021787475358071373,0.0039293019142880165,0.46880907372400754,0.22873345935727787,212.89674700680624,-377.8405635909921,-164.94381658418584,-0.31180305592473695,0.6823613686115585,1.2306170347214234,-2.184049500525966,5.764318028138999,-9.444262207168247,-3.6799441790292486,-0.006956416217446595,0.018475378295317306,0.0333197573880867,-0.05459111102409391,0.500945179584121,0.43856332703213613,0.4820415879017013,0.4158790170132325
2009,CHI,J.Cutler,525,322,158,0.6133333333333333,3390,4245,1891,6.457142857142857,10.527950310559007,21.455696202531644,8.085714285714285,3.6019047619047617,13.183229813664596,5.872670807453416,26.867088607594937,11.968354430379748,41,0.25949367088607594,26,23,19,0.8260869565217391,0.8846153846153846,-31.691378495901787,0.4361904761904762,-0.06036453046838436,0.730271405228729,0.3817306196198039,0.04380952380952381,0.03619047619047619,0.049523809523809526,0.07142857142857142,0.059006211180124224,0.14556962025316456,0.12025316455696203,0.16455696202531644,-0.2005783449107708,0.22425529155940518,0.4247619047619048,4.271529363036289e-4,0.02062495309520423,0.4015317789181943,0.0014193372883506657,1.2330536563547085,0.0023486736311518256,0.00780413706553613,51.57794892822534,212.7442115370699,264.32216046529527,0.5034707818386577,1.672925066236046,0.09824371224423874,0.16017996561560666,0.32644271473560343,0.5676190476190476,0.2895238095238095,1.469622906970038,6.239964012840487,7.709586919810525,0.014684927466305762,0.048794853922851426,0.002799281727561977,0.004564046294938006,0.009301410803607834,0.5523809523809524,0.2838095238095238,183.56944355542538,-475.59503454214325,-292.0255909867179,-0.5562392209270817,0.5700914396131223,1.1618319212368695,-3.0100951553300206,5.171611989685725,-11.903275887328048,-6.731663897642323,-0.01282221694789014,0.016060906800266228,0.03273172145370712,-0.0753371891603041,0.47619047619047616,0.44,0.4723809523809524,0.4247619047619048
