Season,Team,Player_Name,Targets,Receptions,Drives,Targets_per_Drive,Rec_per_Drive,Total_Yards,Yards_per_Drive,Total_Raw_YAC,Yards_per_Rec,Yards_per_Target,YAC_per_Target,Total_Caught_YAC,Total_Dropped_YAC,Caught_YAC_per_Target,Dropped_YAC_per_Target,YAC_per_Rec,Caught_YAC_per_Rec,Dropped_YAC_per_Rec,YAC_per_Drive,Caught_YAC_per_Drive,Dropped_YAC_per_Drive,Rec_Percentage,Fumbles,TDs,TDs_per_Drive,Fumbles_per_Drive,AC_TDs,AC_TDs_per_Drive,AC_TD_Rate,TD_to_Fumbles,Total_EPA,EPA_per_Drives,Success_Rate,EPA_per_Rec,EPA_per_Target,EPA_Rec_Perc,TD_per_Targets,Fumbles_per_Rec,TD_per_Rec,Total_WPA,WPA_per_Drive,Win_Success_Rate,WPA_per_Target,WPA_per_Rec,WPA_Rec_Perc,Total_Clutch_EPA,Clutch_EPA_per_Drive,Total_Raw_AirYards,PACR,Total_Caught_AirYards,Raw_AirYards_per_Target,RACR,Total_Raw_airEPA,Total_Caught_airEPA,Raw_airEPA_per_Drive,Caught_airEPA_per_Drive,airEPA_per_Target,Caught_airEPA_per_Target,epa_RACR,Total_Raw_airWPA,Total_Caught_airWPA,Raw_airWPA_per_Drive,Caught_airWPA_per_Drive,airWPA_per_Target,Caught_airWPA_per_Target,yacEPA_Rec,yacEPA_Drop,Total_yacEPA,yacEPA_per_Target,yacEPA_per_Rec,yacEPA_Rec_per_Drive,yacEPA_Drop_per_Drive,yacWPA_Rec,yacWPA_Drop,Total_yacWPA,yacWPA_per_Target,yacWPA_per_Rec,yacWPA_Rec_per_Drive,yacWPA_Drop_per_Drive,wpa_RACR,yac_Success_Rate,yac_Rec_Success_Rate,air_Success_Rate,air_Rec_Success_Rate,yac_Win_Success_Rate,yac_Rec_Win_Success_Rate,air_Win_Success_Rate,air_Rec_Win_Success_Rate
2009,SEA,T.Houshmandzadeh,611,372,173,3.531791907514451,2.1502890173410405,3800,21.965317919075144,2077,10.21505376344086,6.219312602291326,3.399345335515548,2077,0,3.399345335515548,0,5.583333333333333,5.583333333333333,0,12.00578034682081,12.00578034682081,0,0.60883797054009825,6,21,0.12138728323699421,0.03468208092485549,12,0.06936416184971098,0.5714285714285714,3.5,-2.107190603526093,-0.012180292505931174,0.4320785597381342,0.7090642372674122,-0.0034487571252472884,0.3939884069152908,0.03436988543371522,0.016129032258064516,0.056451612903225805,-0.003539332276292524,-2.0458568071055053e-5,0.41243862520458263,-5.792687849905931e-6,0.015172153663756965,0.3849304947130789,-0.4265920539918908,-0.0024658500230745136,4260,0.892018779342723,1694,6.972176759410802,0.892018779342723,222.68976197414023,18.216599925547595,1.2872240576539897,0.10529826546559304,0.364467695538691,0.029814402496804573,-0.009462449395274804,5.059208977288118,0.2936643002172926,0.029243982527676984,0.0016974815041462,0.00828021109212458,4.8062896925907137e-4,245.55529633792975,-468.4582489155961,-222.90295257766633,-0.36481661633005946,0.6600948826288434,1.4193947765198252,-2.7078511498011335,5.3503768627002986,-10.399845138718202,-5.049468276017904,-0.008264268864186422,0.014382733501882523,0.030927033888441032,-0.06011471178449828,-6.995821465729823e-4,0.5008183306055647,0.46153846153846156,0.5384615384615384,0.265139116202946,0.4713584288052373,0.42716857610474634,0.5351882160392799,0.2618657937806874
2009,IND,R.Wayne,602,402,160,3.7625,2.5125,4624,28.9,1998,11.502487562189055,7.681063122923588,3.318936877076412,1998,0,3.318936877076412,0,4.970149253731344,4.970149253731344,0,12.4875,12.4875,0,0.6677740863787376,4,34,0.2125,0.025,16,0.1,0.47058823529411764,8.5,168.9027808155134,1.0556423800969588,0.5431893687707641,1.008217519206201,0.28056940334802893,0.5474562303668211,0.05647840531561462,0.009950248756218905,0.0845771144278607,6.804327268555825,0.04252704542847391,0.5415282392026578,0.011302869216870142,0.030305265951790863,0.6162488478313717,18.016317897397823,0.11260198685873639,5176,0.893353941267388,2607,8.598006644518273,0.893353941267388,333.6315273977832,120.98412089981258,2.085197046236145,0.7561507556238286,0.5542051950129289,0.20097030049802755,0.5062554553309151,9.599235323248127,4.471047265434558,0.0599952207703008,0.02794404540896599,0.015945573626658018,0.0074269888130142165,284.3193218210802,-448.10106840335,-163.7817465822698,-0.2720627019639033,0.7072619945798015,1.7769957613817513,-2.8006316775209372,7.679479987464218,-10.4878506240114,-2.8083706365471834,-0.0046650675025700725,0.019103184048418452,0.04799674992165136,-0.06554906640007126,0.7088405523382274,0.521594684385382,0.49667774086378735,0.5930232558139535,0.33554817275747506,0.5199335548172758,0.49335548172757476,0.5913621262458472,0.3338870431893688
2009,NE,W.Welker,595,391,166,3.5843373493975905,2.355421686746988,4605,27.740963855421686,2332,11.777493606138107,7.739495798319328,3.919327731092437,2332,0,3.919327731092437,0,5.964194373401535,5.964194373401535,0,14.048192771084338,14.048192771084338,0,0.6571428571428571,4,29,0.1746987951807229,0.024096385542168676,13,0.0783132530120482,0.4482758620689655,7.25,154.1187745174472,0.9284263525147423,0.5226890756302521,0.9185620374722253,0.2590231504494911,0.5485723956051933,0.04873949579831933,0.010230179028132993,0.0741687979539642,2.794572549766081,0.016834774396181213,0.5294117647058824,0.004696760587842153,0.022866469630835315,0.5012619831521072,9.524340651527885,0.05737554609354147,4797,0.9599749843652282,2203,8.06218487394958,0.9599749843652282,259.8834413154805,61.30651173113156,1.5655628994908466,0.3693163357297082,0.43677889296719413,0.103036154169969,0.5930303744529751,6.627044932548194,1.9544476184292878,0.03992195742498912,0.011773780833911373,0.011137890642938141,0.0032847859133265343,297.8512449205085,-401.72191171854183,-103.87066679803331,-0.17457254924039212,0.7617678898222724,1.7942846079548707,-2.420011516376758,6.986342007227321,-10.539652117615322,-3.5533101103880016,-0.005971949765357986,0.01786788237142537,0.04208639763389952,-0.06349188022659832,0.42169210835447407,0.5109243697478991,0.4722689075630252,0.5596638655462185,0.3226890756302521,0.5025210084033613,0.46218487394957986,0.5563025210084034,0.32100840336134456
2009,HOU,A.Johnson,590,399,165,3.5757575757575757,2.418181818181818,4805,29.12121212121212,2170,12.042606516290727,8.14406779661017,3.6779661016949152,2170,0,3.6779661016949152,0,5.43859649122807,5.43859649122807,0,13.151515151515152,13.151515151515152,0,0.676271186440678,6,32,0.19393939393939394,0.03636363636363636,17,0.10303030303030303,0.53125,5.333333333333333,127.5608866814593,0.7730962829179351,0.5203389830508475,0.909884613594232,0.2162048926804395,0.5017535539378093,0.05423728813559322,0.015037593984962405,0.08020050125313283,3.7553227262527566,0.02275953167425913,0.5101694915254237,0.006364953773309757,0.02546704688196978,0.49207428726585506,5.8789692974185686,0.03563011695405193,4534,1.0597706219673577,2630,7.684745762711865,1.0597706219673577,258.1744550495004,111.32405131376824,1.5646936669666691,0.6746912200834438,0.4375838221177973,0.1886848327352004,0.4940879478451954,7.052291247999304,2.849366404719909,0.04274115907878366,0.017268887301332782,0.011953036013558143,0.004829434584271032,251.71990951033035,-381.38647787837147,-129.6665683680411,-0.2197738446915951,0.6308769661913042,1.5255752091535173,-2.3114331992628574,7.279628063660467,-10.557496884865664,-3.277868821205198,-0.0055557098664494875,0.018244681863810695,0.04411895796157859,-0.06398482960524644,0.5324968289303311,0.5576271186440678,0.5203389830508475,0.5694915254237288,0.3525423728813559,0.5220338983050847,0.48983050847457626,0.5559322033898305,0.3389830508474576
2009,ARI,L.Fitzgerald,589,393,181,3.25414364640884,2.1712707182320443,4229,23.364640883977902,1770,10.760814249363868,7.179966044142614,3.00509337860781,1770,0,3.00509337860781,0,4.5038167938931295,4.5038167938931295,0,9.779005524861878,9.779005524861878,0,0.66723259762309,7,31,0.1712707182320442,0.03867403314917127,16,0.08839779005524862,0.5161290322580645,4.428571428571429,73.52515600182906,0.406216331501818,0.5127334465195246,0.7974216960239756,0.12483048557186598,0.4597304515952394,0.05263157894736842,0.017811704834605598,0.07888040712468193,3.266235369434434,0.01804549927864328,0.5144312393887945,0.00554539111958308,0.019756715118387967,0.5167262002783406,5.731242556638281,0.03166432351733857,4589,0.9215515362824145,2435,7.791171477079796,0.9215515362824145,254.70447844649894,86.98121192067948,1.4072070632403257,0.4805591818822071,0.4324354472775873,0.14767608135938792,0.28866848533750117,4.8749360656408784,2.050044447368641,0.02693334842895513,0.011326212416401332,0.008276631690391984,0.003480550844428932,226.40551461674292,-407.5848370614128,-181.17932244466988,-0.3076049617057214,0.5760954570400583,1.2508591967775853,-2.251849928516093,5.714344594157831,-7.323045290364275,-1.608700696206445,-0.0027312405708089047,0.014540317033480486,0.031570964608606804,-0.040458813758918646,0.6700057858102477,0.5229202037351444,0.5008488964346349,0.5857385398981324,0.3548387096774194,0.5178268251273345,0.4923599320882852,0.5738539898132428,0.34804753820033957
2009,DET,C.Johnson,581,317,176,3.3011363636363638,1.8011363636363635,3526,20.03409090909091,1702,11.123028391167193,6.0688468158347675,2.9294320137693632,1702,0,2.9294320137693632,0,5.369085173501578,5.369085173501578,0,9.670454545454545,9.670454545454545,0,0.5456110154905336,5,19,0.10795454545454546,0.028409090909090908,6,0.03409090909090909,0.3157894736842105,3.8,-88.04380337015529,-0.5002488827849733,0.40963855421686746,0.8361547404990545,-0.1515383879004394,0.381639230179385,0.03270223752151463,0.015772870662460567,0.05993690851735016,0.4447805784718862,0.0025271623776811714,0.3769363166953528,7.655431643233841e-4,0.02153580445412573,0.44818644416956827,-0.7400904177380488,-0.004205059191693459,4799,0.7347364034173787,1769,8.259896729776248,0.7347364034173787,287.70887923246164,47.41218077433258,1.634709541093532,0.2693873907632533,0.49519600556361726,0.08160444195237966,-0.3060169835739344,7.0904657565882445,1.9039218715548678,0.0402867372533423,0.010817737906561748,0.012203899753163931,0.003276973961368103,217.6488719638677,-591.5075545664846,-373.8586826026169,-0.6434744967342804,0.686589501463305,1.236641317976521,-3.3608383782186624,4.9229281404029885,-11.521765182191931,-6.598837041788943,-0.011357722963492157,0.015529741767832771,0.02797118261592607,-0.0654645748988178,0.06272938813061887,0.4457831325301205,0.4079173838209983,0.5559380378657487,0.24096385542168675,0.41480206540447506,0.37005163511187605,0.5370051635111877,0.23407917383820998
2009,ATL,R.White,564,331,158,3.569620253164557,2.0949367088607596,3712,23.49367088607595,1520,11.214501510574019,6.581560283687943,2.6950354609929077,1520,0,2.6950354609929077,0,4.59214501510574,4.59214501510574,0,9.620253164556962,9.620253164556962,0,0.5868794326241135,8,31,0.1962025316455696,0.05063291139240506,12,0.0759493670886076,0.3870967741935484,3.875,83.67894259127776,0.5296135607042897,0.46631205673758863,1.0040797262547303,0.14836691948808114,0.5009506261983673,0.0549645390070922,0.02416918429003021,0.09365558912386707,3.121643863249464,0.019757239640819393,0.45567375886524825,0.005534829544768553,0.03137523097754161,0.5137981956610004,14.160260340203989,0.08962190088736702,4732,0.7844463229078613,2152,8.390070921985815,0.7844463229078613,343.75279279649544,123.7924780966553,2.1756505873195913,0.783496696814274,0.6094907673696728,0.21949020939123282,0.24342767344676208,12.252281625695401,5.019445538641486,0.07754608623857849,0.03176864264962966,0.021723903591658513,0.00889972613234306,208.55791129366045,-468.6317614988781,-260.0738502052177,-0.46112384788159166,0.6300843241500316,1.319986780339623,-2.966023806954925,5.365755914924784,-14.496393677370722,-9.130637762445938,-0.016189074046889962,0.016210742945392098,0.033960480474207494,-0.0917493270719666,0.25478061626520027,0.4308510638297872,0.40070921985815605,0.6400709219858156,0.32978723404255317,0.4166666666666667,0.38475177304964536,0.6347517730496454,0.3280141843971631
2009,CHI,G.Olsen,560,342,172,3.255813953488372,1.9883720930232558,3663,21.296511627906977,1600,10.710526315789474,6.541071428571429,2.857142857142857,1600,0,2.857142857142857,0,4.678362573099415,4.678362573099415,0,9.30232558139535,9.30232558139535,0,0.6107142857142858,6,27,0.1569767441860465,0.03488372093023256,5,0.029069767441860465,0.18518518518518517,4.5,-24.27137861173164,-0.14111266634727698,0.4357142857142857,0.7559957975756477,-0.04334174752094936,0.3914662086603687,0.048214285714285716,0.017543859649122806,0.07894736842105263,0.4466236764924981,0.0025966492819331287,0.4232142857142857,7.975422794508896e-4,0.021526712444387686,0.4119833748082102,2.292135658089943,0.013326370105174087,4605,0.7954397394136807,2077,8.223214285714286,0.7954397394136807,295.04269035484606,67.12756703512248,1.7153644788072446,0.3902765525297819,0.5268619470622251,0.11987065541986157,-0.08226395503152646,7.982604542628511,1.4943439550855924,0.04641049152690995,0.00868804625049763,0.014254650968979484,0.0026684713483671294,191.42299573574905,-506.74911672784765,-315.3261209920986,-0.5630823589144618,0.5597163618004358,1.1129243938124944,-2.946215794929347,5.773893867034445,-13.20249991721751,-7.428606050183064,-0.013265367946755471,0.016882730605363876,0.033569150389735146,-0.07675872044893901,0.055949618211380656,0.475,0.4375,0.575,0.29642857142857143,0.46785714285714286,0.42142857142857143,0.5571428571428572,0.2875
2009,DEN,B.Marshall,558,341,174,3.206896551724138,1.9597701149425288,3845,22.097701149425287,1969,11.27565982404692,6.89068100358423,3.528673835125448,1969,0,3.528673835125448,0,5.774193548387097,5.774193548387097,0,11.316091954022989,11.316091954022989,0,0.6111111111111112,4,25,0.14367816091954022,0.022988505747126436,15,0.08620689655172414,0.6,6.25,41.97004198056526,0.24120713781934058,0.44265232974910396,0.8232502370016045,0.07521512899742878,0.4442193638280375,0.044802867383512544,0.011730205278592375,0.07331378299120235,2.548727714677686,0.014647860429182103,0.449820788530466,0.004567612391895495,0.025358129151793078,0.4823578954598558,7.5375635642122205,0.04331933082880587,3944,0.9748985801217038,1849,7.068100358422939,0.9748985801217038,214.3260213096543,35.226408159651534,1.2317587431589327,0.2024506216071927,0.384096812382893,0.06312976372697407,0.1958233616436509,5.7943916081880475,1.3971491866887384,0.03330110119648303,0.008029593026946773,0.010384214351591483,0.002503851589047918,245.50192265789562,-416.703235931152,-171.20131327325637,-0.3068123893785957,0.719946987266556,1.4109305899879059,-2.3948461835123678,7.241981630962152,-10.518624352722979,-3.2766427217608265,-0.005872119573048076,0.021237482788745314,0.04162058408598938,-0.06045186409610907,0.4398611428119705,0.5268817204301075,0.47491039426523296,0.5376344086021505,0.2724014336917563,0.5053763440860215,0.44623655913978494,0.5394265232974911,0.2831541218637993
2009,GB,G.Jennings,555,360,170,3.264705882352941,2.1176470588235294,4503,26.488235294117647,2099,12.508333333333333,8.113513513513514,3.781981981981982,2099,0,3.781981981981982,0,5.830555555555556,5.830555555555556,0,12.347058823529412,12.347058823529412,0,0.6486486486486487,8,31,0.18235294117647058,0.047058823529411764,20,0.11764705882352941,0.6451612903225806,3.875,166.43066541905173,0.9790039142297161,0.4918918918918919,1.0209753442506773,0.2998750728271202,0.5496662512124152,0.055855855855855854,0.022222222222222223,0.08611111111111111,4.669480643100025,0.027467533194706028,0.4936936936936937,0.00841347863621626,0.025989643848343753,0.5453695202641208,20.269197886022937,0.11923057580013492,5077,0.8869411069529249,2393,9.147747747747747,0.8869411069529249,350.77311014469024,110.76255058633518,2.0633712361452368,0.6515444152137364,0.6320236218823247,0.19957216321862195,0.47446814081729594,8.316268541329865,3.2450031529473398,0.04891922671370509,0.019088253840866706,0.014984267642035793,0.005846852527833044,256.78857334390864,-433.40255866369154,-176.61398531978293,-0.31822339697258184,0.7133015926219685,1.5105210196700507,-2.549426815668774,6.117874868701162,-9.709630122465976,-3.591755253764814,-0.00647163108786453,0.01699409685750323,0.035987499227653895,-0.057115471308623385,0.5614874772133467,0.5117117117117117,0.4972972972972973,0.5837837837837838,0.32432432432432434,0.5081081081081081,0.4882882882882883,0.5711711711711712,0.3225225225225225
