GameID,date,home,away,homescore,awayscore,Season
2013090500,2013-09-05,DEN,BAL,49,27,2013
2013090800,2013-09-08,BUF,NE,21,23,2013
2013090809,2013-09-08,PIT,TEN,9,16,2013
2013090808,2013-09-08,NO,ATL,23,17,2013
2013090807,2013-09-08,NYJ,TB,18,17,2013
2013090806,2013-09-08,JAC,KC,2,28,2013
2013090801,2013-09-08,CAR,SEA,7,12,2013
2013090802,2013-09-08,CHI,CIN,24,21,2013
2013090803,2013-09-08,CLE,MIA,10,23,2013
2013090804,2013-09-08,DET,MIN,34,24,2013
2013090805,2013-09-08,IND,OAK,21,17,2013
2013090811,2013-09-08,SF,GB,34,28,2013
2013090810,2013-09-08,STL,ARI,27,24,2013
2013090812,2013-09-08,DAL,NYG,36,31,2013
2013090900,2013-09-09,WAS,PHI,27,33,2013
2013090901,2013-09-09,SD,HOU,28,31,2013
2013091200,2013-09-12,NE,NYJ,13,10,2013
2013091500,2013-09-15,ATL,STL,31,24,2013
2013091508,2013-09-15,PHI,SD,30,33,2013
2013091507,2013-09-15,KC,DAL,17,16,2013
2013091506,2013-09-15,IND,MIA,20,24,2013
2013091505,2013-09-15,HOU,TEN,30,24,2013
2013091504,2013-09-15,GB,WAS,38,20,2013
2013091501,2013-09-15,BAL,CLE,14,6,2013
2013091502,2013-09-15,BUF,CAR,24,23,2013
2013091503,2013-09-15,CHI,MIN,31,30,2013
2013091510,2013-09-15,TB,NO,14,16,2013
2013091509,2013-09-15,ARI,DET,25,21,2013
2013091512,2013-09-15,OAK,JAC,19,9,2013
2013091511,2013-09-15,NYG,DEN,23,41,2013
2013091513,2013-09-15,SEA,SF,29,3,2013
2013091600,2013-09-16,CIN,PIT,20,10,2013
2013091900,2013-09-19,PHI,KC,16,26,2013
2013092200,2013-09-22,BAL,HOU,30,9,2013
2013092210,2013-09-22,CAR,NYG,38,0,2013
2013092209,2013-09-22,WAS,DET,20,27,2013
2013092208,2013-09-22,TEN,SD,20,17,2013
2013092207,2013-09-22,NO,ARI,31,7,2013
2013092206,2013-09-22,NE,TB,23,3,2013
2013092201,2013-09-22,CIN,GB,34,30,2013
2013092202,2013-09-22,DAL,STL,31,7,2013
2013092204,2013-09-22,MIN,CLE,27,31,2013
2013092203,2013-09-22,MIA,ATL,27,23,2013
