Player_ID_Name,Receptions.x,Targets,Rush_Attempts,Position,Total_Plays,Receptions.y,Rec_Drives,Rec_Perc,Rec_Yards_Gained,Total_AirYards,Total_AirYards_Rec,Total_YardsAfterCatch,Yards_per_Tgt,Yards_per_Rec,Yards_per_Drive,AirYards_per_Tgt,AirYards_per_Rec,AirYards_per_Drive,AirYards_Rec_per_Tgt,AirYards_Rec_per_Rec,AirYards_Rec_per_Drive,YardsAfterCatch_per_Tgt,YardsAfterCatch_per_Rec,YardsAfterCatch_per_Drive,RACR,Rec_INTs,Rec_TDs,Air_TDs,Air_TD_Rate,TD_to_INT,TD_per_Tgt,Air_TD_per_Tgt,TD_per_Rec,Air_TD_per_Rec,TD_per_Drive,Air_TD_per_Drive,Rec_INTs_per_Tgt,Rec_INTs_per_Rec,Rec_INTs_per_Drive,Rec_EPA,Rec_EPA_per_Tgt,Rec_EPA_per_Rec,Rec_EPA_per_Drive,Rec_Success_Rate,Caught_EPA,Caught_EPA_per_Tgt,Caught_EPA_per_Rec,Caught_EPA_per_Drive,EPA_Rec_Perc,Rec_WPA,Rec_WPA_per_Tgt,Rec_WPA_per_Rec,Rec_WPA_per_Drive,Rec_Win_Rate,Caught_WPA,Caught_WPA_per_Tgt,Caught_WPA_per_Rec,Caught_WPA_per_Drive,WPA_Rec_Perc,Rec_Clutch_EPA,Rec_Clutch_EPA_per_Tgt,Rec_Clutch_EPA_per_Rec,Rec_Clutch_EPA_per_Drives,Total_airEPA,airEPA_per_Tgt,airEPA_per_Rec,airEPA_per_Drive,air_Success_Rate,air_Rec_Success_Rate,Total_airWPA,airWPA_per_Tgt,airWPA_per_Rec,airWPA_per_Drive,air_Win_Rate,air_Rec_Win_Rate,Total_yacEPA,yacEPA_per_Tgt,yacEPA_per_Rec,yacEPA_per_Drive,yac_Success_Rate,Total_yacWPA,yacWPA_per_Tgt,yacWPA_per_Rec,yacWPA_per_Drive,yac_Win_Rate,Rush_Drives,Rush_Yards_Gained,Sack_Yards_Lost,Rush_Yards_per_Rush,Rush_Yards_per_Drive,Rush_TDs,Rush_TD_per_Rush,Rush_TD_per_Drive,Rush_EPA,Rush_EPA_per_Rush,Rush_EPA_per_Drive,Rush_Success_Rate,Pos_EPA_Ratio,Rush_WPA,Rush_WPA_per_Rush,Rush_WPA_per_Drive,Rush_Win_Rate,Pos_WPA_Ratio,Fumbles,Fumbles_per_Rush,Fumbles_per_Drive,Rush_Clutch_EPA,Rush_Clutch_EPA_per_Rush,Rush_Clutch_EPA_per_Drive,Replacement_Level_Receiver,Replacement_Level_Rusher,Player_Model_ID_Rec,Player_Model_ID_Rush,air_iPA,yac_iPA,rush_iPA,air_iPAA,yac_iPAA,rush_iPAA,air_iPAR,yac_iPAR,rush_iPAR,total_iPAR,air_WAR,yac_WAR,rush_WAR,total_WAR
A.Becht-00-0019457,3,4,0,TE,7,3,4,0.75,26,22,16,10,6.5,8.666666666666666,6.5,5.5,7.333333333333333,5.5,4,5.333333333333333,4,2.5,3.3333333333333335,2.5,1.1818181818181819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4892562575554786,0.37231406438886966,0.4964187525184929,0.37231406438886966,0.5,1.7643600362066785,0.4410900090516696,0.5881200120688929,0.4410900090516696,0.7894794175581001,0.004345604796466368,0.001086401199116592,0.001448534932155456,0.001086401199116592,0.5,0.04994732505985955,0.012486831264964887,0.016649108353286517,0.012486831264964887,0.5106044328027343,0.04936598163873172,0.01234149540968293,0.016455327212910573,0.01234149540968293,0.4946827790666055,0.12367069476665138,0.1648942596888685,0.12367069476665138,0.75,0.5,0.00786385926113331,0.0019659648152833276,0.00262128642037777,0.0019659648152833276,0.5,0.5,1.269677257140073,0.31741931428501824,0.4232257523800243,0.31741931428501824,0.5,0.04208346579872624,0.01052086644968156,0.014027821932908746,0.01052086644968156,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.0018128404800296627,1.4818551986924708e-4,-3.7944213055203425e-5,-0.007251361920118651,5.927420794769883e-4,-0,0,0,0,0,0,0,0,0
A.Fasano-00-0024268,32,54,0,TE,86,32,45,0.5925925925925926,451,570,347,104,8.351851851851851,14.09375,10.022222222222222,10.555555555555555,17.8125,12.666666666666666,6.425925925925926,10.84375,7.711111111111111,1.9259259259259258,3.25,2.311111111111111,0.7912280701754386,2,5,3,0.6,2.5,0.09259259259259259,0.05555555555555555,0.15625,0.09375,0.1111111111111111,0.06666666666666667,0.037037037037037035,0.0625,0.044444444444444446,17.611106393738538,0.326131599884047,0.5503470748043293,0.3913579198608564,0.5185185185185185,41.69387316472307,0.7721087623096865,1.302933536397596,0.9265305147716238,0.5992393535630893,0.4900740624899059,0.009075445601664924,0.01531481445280956,0.01089053472199791,0.5185185185185185,1.0740410997747352,0.01988964999582843,0.033563784367960474,0.023867579994994115,0.6010969289237136,1.2040418818373515,0.02229707188587688,0.037626308807417234,0.026756486263052257,28.312895752872798,0.5243128843124593,0.8847779922772749,0.629175461174951,0.7407407407407407,0.46296296296296297,0.7022264316186898,0.013004193178123886,0.021944575988084056,0.015605031813748662,0.7407407407407407,0.46296296296296297,13.380977411850273,0.24779587799722727,0.418155544120321,0.29735505359667275,0.37037037037037035,0.3718146681560453,0.006885456817704543,0.011619208379876416,0.00826254818124545,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A.Fasano-00-0024268,Replacement_WR_TE_rush,0.001883634478789852,7.778277703154522e-6,-3.7944213055203425e-5,0.10171626185465202,4.2002699597034417e-4,-0,0.1996096477762538,-0.007581991076968998,0,0.19202765669928482,0.1996096477762538,-0.007581991076968998,0,0.19202765669928482
A.Gates-00-0021547,63,87,0,TE,150,63,56,0.7241379310344828,752,777,500,252,8.64367816091954,11.936507936507937,13.428571428571429,8.931034482758621,12.333333333333334,13.875,5.747126436781609,7.936507936507937,8.928571428571429,2.896551724137931,4,4.5,0.9678249678249679,3,8,6,0.75,2.6666666666666665,0.09195402298850575,0.06896551724137931,0.12698412698412698,0.09523809523809523,0.14285714285714285,0.10714285714285714,0.034482758620689655,0.047619047619047616,0.05357142857142857,48.727646205347554,0.560087887417788,0.7734547016721834,0.8701365393812063,0.6896551724137931,83.50283114096334,0.9598026567926821,1.325441764142275,1.4911219846600596,0.6969550898018279,1.4102834223319747,0.01621015427967787,0.02238545114812658,0.025183632541642405,0.6436781609195402,2.417644902506985,0.027789021867896377,0.03837531591280928,0.04317223040191044,0.6869175120399506,2.381091717073519,0.027368870311189872,0.03779510662021458,0.04251949494774141,41.048569489814064,0.4718226378139548,0.6515645950764137,0.7330101694609654,0.7471264367816092,0.5402298850574713,1.446973096531508,0.016631874672775954,0.022967826929071556,0.0258388052952055,0.7126436781609196,0.5172413793103449,42.45426165114928,0.4879800189787274,0.6738771690658616,0.7581118151990943,0.4942528735632184,0.9706718059754766,0.01115714719512042,0.015407488983737724,0.01733342510670494,0.45977011494252873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A.Gates-00-0021547,Replacement_WR_TE_rush,0.002312080413010521,5.5027411039643064e-5,-3.7944213055203425e-5,0.20115099593191532,0.0047873847604489464,-0,0.358868117694496,-0.008104755468175549,0,0.35076336222632043,0.358868117694496,-0.008104755468175549,0,0.35076336222632043
A.Hernandez-00-0027713,78,113,5,TE,196,78,73,0.6902654867256637,911,725,389,506,8.061946902654867,11.679487179487179,12.479452054794521,6.415929203539823,9.294871794871796,9.931506849315069,3.4424778761061945,4.987179487179487,5.328767123287672,4.477876106194691,6.487179487179487,6.931506849315069,1.256551724137931,2,8,5,0.625,4,0.07079646017699115,0.04424778761061947,0.10256410256410256,0.0641025641025641,0.1095890410958904,0.0684931506849315,0.017699115044247787,0.02564102564102564,0.0273972602739726,37.64936352833027,0.33318020821531213,0.482684147799106,0.515744705867538,0.5575221238938053,69.22656970165566,0.6126245106341209,0.8875201243802008,0.948309173995283,0.5524377555783506,1.3363363962035515,0.011825985807111075,0.01713251790004553,0.018305978030185636,0.5663716814159292,2.191031127093643,0.01938965599197914,0.028090142655046703,0.03001412502868004,0.588803715267983,3.289811684122434,0.029113377735596763,0.042177072873364536,0.04506591348112923,2.534739508930195,0.022431323087877833,0.03249666037089993,0.03472245902644103,0.45132743362831856,0.23893805309734514,0.4713993870201237,0.0041716759913285285,0.00604358188487338,0.006457525849590735,0.4424778761061947,0.23008849557522124,66.69183019272548,0.5901931875462432,0.855023464009301,0.9135867149688421,0.5575221238938053,1.7196317400735193,0.015217980000650612,0.022046560770173324,0.023556599179089303,0.5575221238938053,5,45,0,9,9,0,0,0,2.696537099474765,0.539307419894953,0.539307419894953,0.6,0.791239354576135,0.09333966009360815,0.01866793201872163,0.01866793201872163,0.6,0.8457326825599295,0,0,0,0.17717109438449952,0.0354342188768999,0.0354342188768999,0,0,A.Hernandez-00-0027713,A.Hernandez-00-0027713,-6.860255178731448e-4,0.001253849369290619,6.943419606005151e-6,-0.07752088351966537,0.14168497872983993,3.4717098030025754e-5,0.1273300907236865,0.12494001498461502,2.2443816330604288e-4,0.2524945438716076,0.1273300907236865,0.12494001498461502,2.2443816330604288e-4,0.2524945438716076
A.Hill-00-0026908,2,3,0,TE,5,2,3,0.6666666666666666,10,1,-2,12,3.3333333333333335,5,3.3333333333333335,0.3333333333333333,0.5,0.3333333333333333,-0.6666666666666666,-1,-0.6666666666666666,4,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7904893452409225,-0.26349644841364084,-0.39524467262046126,-0.26349644841364084,0.6666666666666666,0.1654157111687049,0.0551385703895683,0.08270785558435245,0.0551385703895683,0.1475186369070342,-8.005521124771387e-5,-2.6685070415904623e-5,-4.002760562385693e-5,-2.6685070415904623e-5,0.6666666666666666,8.626851284017287e-4,2.875617094672429e-4,4.3134256420086434e-4,2.875617094672429e-4,0.47782926721031366,-8.272169498949096e-4,-2.7573898329830317e-4,-4.136084749474548e-4,-2.7573898329830317e-4,-1.6319204576955444,-0.5439734858985148,-0.8159602288477722,-0.5439734858985148,0,0,-0.032816277198082805,-0.010938759066027601,-0.016408138599041402,-0.010938759066027601,0,0,1.7973361688642493,0.5991120562880831,0.8986680844321246,0.5991120562880831,0.6666666666666666,0.033678962326484534,0.011226320775494845,0.016839481163242267,0.011226320775494845,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.0018128404800296627,1.4818551986924708e-4,-3.7944213055203425e-5,-0.005438521440088988,4.4455655960774125e-4,-0,0,0,0,0,0,0,0,0
A.McCoy-00-0027783,13,24,0,TE,37,13,19,0.5416666666666666,146,174,69,77,6.083333333333333,11.23076923076923,7.684210526315789,7.25,13.384615384615385,9.157894736842104,2.875,5.3076923076923075,3.6315789473684212,3.2083333333333335,5.923076923076923,4.052631578947368,0.8390804597701149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762780121289899,0.031782505053745795,0.058675393945376846,0.04014632217315258,0.3333333333333333,10.732169001924117,0.44717370841350484,0.8255514616864705,0.5648510001012693,0.43246236369541025,0.029629985815705355,0.0012345827423210565,0.0022792296781311812,0.001559472937668703,0.3333333333333333,0.2998668548444158,0.01249445228518399,0.023066681141878136,0.015782466044442934,0.43523186764986715,0.2548714615886305,0.010619644232859604,0.01960549704527927,0.013414287452033184,-1.6232055968837358,-0.06763356653682233,-0.1248619689910566,-0.08543187352019661,0.5,0.16666666666666666,0.0018244783107153606,7.601992961314002e-5,1.403444854396431e-4,9.602517424817687e-5,0.5,0.16666666666666666,12.355374598807852,0.5148072749503272,0.9504134306775271,0.650282873621466,0.5416666666666666,0.2980423765337004,0.01241843235557085,0.022926336656438492,0.01568644087019476,0.5416666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A.McCoy-00-0027783,Replacement_WR_TE_rush,-8.149028886498804e-4,1.5080346743395344e-4,-3.7944213055203425e-5,-0.01955766932759713,0.0036192832184148826,-0,0.023950502193114773,6.283074155295255e-5,0,0.024013332934667724,0.023950502193114773,6.283074155295255e-5,0,0.024013332934667724
A.Quarless-00-0027753,3,4,0,TE,7,3,4,0.75,36,18,17,19,9,12,9,4.5,6,4.5,4.25,5.666666666666667,4.25,4.75,6.333333333333333,4.75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3655386723084955,0.8413846680771239,1.1218462241028317,0.8413846680771239,0.75,3.7202222169978696,0.9300555542494674,1.2400740723326231,0.9300555542494674,0.9129590804223862,0.07055045139092292,0.01763761284773073,0.02351681713030764,0.01763761284773073,0.75,0.07592289844555394,0.018980724611388486,0.02530763281518465,0.018980724611388486,0.9339144569522888,0.10981742617004951,0.027454356542512378,0.036605808723349835,0.027454356542512378,1.128345763279285,0.28208644081982126,0.37611525442642835,0.28208644081982126,0.75,0.5,0.026100810900263505,0.006525202725065876,0.008700270300087834,0.006525202725065876,0.75,0.5,2.5918764537185845,0.6479691134296461,0.8639588179061949,0.6479691134296461,0.75,0.04982208754529044,0.01245552188632261,0.016607362515096813,0.01245552188632261,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.0018128404800296627,1.4818551986924708e-4,-3.7944213055203425e-5,-0.007251361920118651,5.927420794769883e-4,-0,0,0,0,0,0,0,0,0
A.Reisner-00-0028267,1,1,0,TE,2,1,1,1,5,5,5,0,5,5,5,5,5,5,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4638742828621565,0.4638742828621565,0.4638742828621565,0.4638742828621565,1,0.4638742828621565,0.4638742828621565,0.4638742828621565,0.4638742828621565,1,0.0049195290397281155,0.0049195290397281155,0.0049195290397281155,0.0049195290397281155,1,0.0049195290397281155,0.0049195290397281155,0.0049195290397281155,0.0049195290397281155,1,0.0022820430053234328,0.0022820430053234328,0.0022820430053234328,0.0022820430053234328,0.4638742828621565,0.4638742828621565,0.4638742828621565,0.4638742828621565,1,1,0.0049195290397281155,0.0049195290397281155,0.0049195290397281155,0.0049195290397281155,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.0018128404800296627,1.4818551986924708e-4,-3.7944213055203425e-5,-0.0018128404800296627,1.4818551986924708e-4,-0,0,0,0,0,0,0,0,0
Al.Smith-00-0023506,14,25,0,TE,39,14,23,0.56,140,113,73,58,5.6,10,6.086956521739131,4.52,8.071428571428571,4.913043478260869,2.92,5.214285714285714,3.1739130434782608,2.32,4.142857142857143,2.5217391304347827,1.238938053097345,0,1,1,1,Inf,0.04,0.04,0.07142857142857142,0.07142857142857142,0.043478260869565216,0.043478260869565216,0,0,0,9.236953688447063,0.3694781475378825,0.6597824063176473,0.40160668210639405,0.52,16.924575733767927,0.6769830293507171,1.208898266697709,0.7358511188594751,0.6816325880336692,0.13187283776049818,0.005274913510419928,0.009419488411464156,0.005733601641760791,0.52,0.5100922336508426,0.0204036893460337,0.03643515954648875,0.022177923202210546,0.5731713186772359,0.526355324793259,0.02105421299173036,0.037596808913804215,0.022885014121446043,5.617377526341687,0.22469510105366747,0.4012412518815491,0.24423380549311682,0.52,0.36,0.21707738689145373,0.008683095475658148,0.015505527635103837,0.009438147256150163,0.52,0.36,11.30719820742624,0.45228792829704956,0.8076570148161599,0.4916173133663582,0.32,0.2930148467593889,0.011720593870375556,0.02092963191138492,0.012739775946060386,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Al.Smith-00-0023506,Replacement_WR_TE_rush,-8.684302686078588e-5,-3.9960280016438195e-4,-3.7944213055203425e-5,-0.002171075671519647,-0.009990070004109548,-0,0.04314993632922192,-0.013694708000840725,0,0.029455228328381197,0.04314993632922192,-0.013694708000840725,0,0.029455228328381197
B.Bajema-00-0023679,7,12,0,TE,19,7,10,0.5833333333333334,59,77,42,17,4.916666666666667,8.428571428571429,5.9,6.416666666666667,11,7.7,3.5,6,4.2,1.4166666666666667,2.4285714285714284,1.7,0.7662337662337663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2757316817153446,-0.10631097347627871,-0.18224738310219207,-0.12757316817153447,0.4166666666666667,4.82783532527043,0.40231961043920245,0.6896907607529185,0.482783532527043,0.3973245118563287,-0.12953878108947864,-0.01079489842412322,-0.018505540155639804,-0.012953878108947863,0.4166666666666667,0.15497555460164658,0.012914629550137216,0.02213936494309237,0.015497555460164658,0.32397300083228153,-0.10753475692207293,-0.008961229743506077,-0.015362108131724703,-0.010753475692207293,2.8103391805616287,0.23419493171346906,0.4014770257945184,0.28103391805616285,0.5,0.25,0.11266551360358926,0.009388792800299105,0.016095073371941323,0.011266551360358926,0.4166666666666667,0.25,2.017496144708801,0.16812467872573342,0.28821373495840014,0.20174961447088008,0.4166666666666667,0.04231004099805734,0.0035258367498381114,0.006044291571151049,0.004231004099805734,0.4166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B.Bajema-00-0023679,Replacement_WR_TE_rush,-5.334899480087065e-4,-7.680849356733897e-4,-3.7944213055203425e-5,-0.006401879376104478,-0.009217019228080676,-0,0.015352206384251473,-0.01099524546651164,0,0.004356960917739832,0.015352206384251473,-0.01099524546651164,0,0.004356960917739832
