season,season_type,full_player_name,abbr_player_name,team,position,gsis_id
2015,reg,A.J. Green,A.Green,CIN,WR,00-0027942
2015,reg,Aaron Dobson,A.Dobson,NE,WR,00-0030540
2015,reg,Aaron Rodgers,A.Rodgers,GB,QB,00-0023459
2015,reg,Adam Humphries,A.Humphries,TB,WR,00-0032009
2015,reg,Adam Thielen,A.Thielen,MIN,WR,00-0030035
2015,reg,Adrian Peterson,A.Peterson,MIN,RB,00-0025394
2015,reg,Ahmad Bradshaw,A.Bradshaw,IND,RB,00-0025637
2015,reg,AJ McCarron,A.McCarron,CIN,QB,00-0031288
2015,reg,Akeem Hunt,A.Hunt,HOU,RB,00-0031743
2015,reg,Albert Wilson,A.Wilson,KC,WR,00-0030669
2015,reg,Alex Smith,A.Smith,KC,QB,00-0023436
2015,reg,Alex Smith,A.Smith,WAS,TE,00-0023506
2015,reg,Alex Tanney,A.Tanney,TEN,QB,00-0029623
2015,reg,Alfred Blue,A.Blue,HOU,RB,00-0031075
2015,reg,Alfred Morris,A.Morris,WAS,RB,00-0029141
2015,reg,Allen Hurns,A.Hurns,JAC,WR,00-0030821
2015,reg,Allen Robinson,A.Robinson,JAC,WR,00-0031428
2015,reg,Alshon Jeffery,A.Jeffery,CHI,WR,00-0029137
2015,reg,Amari Cooper,A.Cooper,OAK,WR,00-0031544
2015,reg,Ameer Abdullah,A.Abdullah,DET,RB,00-0032104
2015,reg,Andre Caldwell,A.Caldwell,DEN,WR,00-0026237
2015,reg,Andre Ellington,A.Ellington,ARI,RB,00-0030287
2015,reg,Andre Holmes,A.Holmes,OAK,WR,00-0028263
2015,reg,Andre Johnson,A.Johnson,IND,WR,00-0022044
2015,reg,Andre Roberts,A.Roberts,WAS,WR,00-0027691
2015,reg,Andre Williams,A.Williams,NYG,RB,00-0031055
2015,reg,Andrew Hawkins,A.Hawkins,CLE,WR,00-0027918
2015,reg,Andrew Luck,A.Luck,IND,QB,00-0029668
2015,reg,Andrew Quarless,A.Quarless,GB,TE,00-0027753
2015,reg,Andrew Turzilli,A.Turzilli,TEN,WR,00-0032045
2015,reg,Andy Dalton,A.Dalton,CIN,QB,00-0027973
2015,reg,Anquan Boldin,A.Boldin,SF,WR,00-0022084
2015,reg,Anthony Dixon,A.Dixon,BUF,RB,00-0027772
2015,reg,Anthony Fasano,A.Fasano,TEN,TE,00-0024268
2015,reg,Anthony Sherman,A.Sherman,KC,FB,00-0028074
2015,reg,Antone Smith,A.Smith,CHI,RB,00-0026855
2015,reg,Antonio Andrews,A.Andrews,TEN,RB,00-0030789
2015,reg,Antonio Brown,A.Brown,PIT,WR,00-0027793
2015,reg,Antonio Gates,A.Gates,SD,TE,00-0021547
2015,reg,Arian Foster,A.Foster,HOU,RB,00-0026796
2015,reg,Austin Davis,A.Davis,CLE,QB,00-0028957
2015,reg,Austin Johnson,A.Johnson,NO,FB,00-0029729
2015,reg,Austin Seferian-Jenkins,A.Seferian-Jenkins,TB,TE,00-0031418
2015,reg,B.J. Daniels,B.Daniels,HOU,QB,00-0030120
2015,reg,Ben Edwards,B.Edwards,NYG,WR,00-0032001
2015,reg,Ben Roethlisberger,B.Roethlisberger,PIT,QB,00-0022924
2015,reg,Benjamin Watson,B.Watson,NO,TE,00-0022943
2015,reg,Bennie Fowler,B.Fowler,DEN,WR,00-0030670
2015,reg,Benny Cunningham,B.Cunningham,STL,RB,00-0029795
2015,reg,Bernard Pierce,B.Pierce,JAC,RB,00-0029264
2015,reg,Bilal Powell,B.Powell,NYJ,RB,00-0028064
2015,reg,Bishop Sankey,B.Sankey,TEN,RB,00-0031413
2015,reg,Blaine Gabbert,B.Gabbert,SF,QB,00-0027948
2015,reg,Blake Bell,B.Bell,SF,TE,00-0032062
2015,reg,Blake Bortles,B.Bortles,JAC,QB,00-0031407
2015,reg,Bobby Rainey,B.Rainey,TB,RB,00-0029384
2015,reg,Bradley Marquez,B.Marquez,STL,WR,00-0031818
2015,reg,Branden Oliver,B.Oliver,SD,RB,00-0031277
2015,reg,Brandin Cooks,B.Cooks,NO,WR,00-0031236
2015,reg,Brandon Bolden,B.Bolden,NE,RB,00-0029239
2015,reg,Brandon Coleman,B.Coleman,NO,WR,00-0030801
2015,reg,Brandon LaFell,B.LaFell,NE,WR,00-0027681
2015,reg,Brandon Marshall,B.Marshall,NYJ,WR,00-0024334
2015,reg,Brandon Myers,B.Myers,TB,TE,00-0027135
2015,reg,Brandon Pettigrew,B.Pettigrew,DET,TE,00-0026996
2015,reg,Brandon Tate,B.Tate,CIN,WR,00-0027057
2015,reg,Brandon Weeden,B.Weeden,HOU,QB,00-0029677
2015,reg,Brent Celek,B.Celek,PHI,TE,00-0025549
2015,reg,Brenton Bersin,B.Bersin,CAR,WR,00-0029394
2015,reg,Brian Hartline,B.Hartline,CLE,WR,00-0027077
2015,reg,Brian Hoyer,B.Hoyer,HOU,QB,00-0026625
2015,reg,Brian Leonhardt,B.Leonhardt,SF,TE,00-0029755
2015,reg,Brian Parker,B.Parker,KC,TE,00-0032089
2015,reg,Brian Quick,B.Quick,STL,WR,00-0029640
2015,reg,Brice Butler,B.Butler,DAL,WR,00-0030516
2015,reg,Brittan Golden,B.Golden,ARI,WR,00-0029336
2015,reg,Brock Osweiler,B.Osweiler,DEN,QB,00-0029682
2015,reg,Bruce Ellington,B.Ellington,SF,WR,00-0031326
2015,reg,Bruce Miller,B.Miller,SF,FB,00-0028149
