season,season_type,full_player_name,abbr_player_name,team,position,gsis_id
2015,pre,A.J. Cruz,A.Cruz,CHI,WR,00-0032270
2015,pre,A.J. Green,A.Green,CIN,WR,00-0027942
2015,pre,A.J. Jenkins,A.Jenkins,DAL,WR,00-0029654
2015,pre,Aaron Dobson,A.Dobson,NE,WR,00-0030540
2015,pre,Aaron Murray,A.Murray,KC,QB,00-0031287
2015,pre,Aaron Rodgers,A.Rodgers,GB,QB,00-0023459
2015,pre,Adam Humphries,A.Humphries,TB,WR,00-0032009
2015,pre,Adam Thielen,A.Thielen,MIN,WR,00-0030035
2015,pre,Adrien Robinson,A.Robinson,NYG,TE,00-0029281
2015,pre,AJ McCarron,A.McCarron,CIN,QB,00-0031288
2015,pre,Alan Bonner,A.Bonner,HOU,WR,00-0030105
2015,pre,Albert Wilson,A.Wilson,KC,WR,00-0030669
2015,pre,Aldrick Robinson,A.Robinson,BAL,WR,00-0028116
2015,pre,Alex Smith,A.Smith,KC,QB,00-0023436
2015,pre,Alfred Blue,A.Blue,HOU,RB,00-0031075
2015,pre,Alfred Morris,A.Morris,WAS,RB,00-0029141
2015,pre,Allen Hurns,A.Hurns,JAC,WR,00-0030821
2015,pre,Allen Robinson,A.Robinson,JAC,WR,00-0031428
2015,pre,Amari Cooper,A.Cooper,OAK,WR,00-0031544
2015,pre,Ameer Abdullah,A.Abdullah,DET,RB,00-0032104
2015,pre,Andre Caldwell,A.Caldwell,DEN,WR,00-0026237
2015,pre,Andre Ellington,A.Ellington,ARI,RB,00-0030287
2015,pre,Andre Holmes,A.Holmes,OAK,WR,00-0028263
2015,pre,Andre Johnson,A.Johnson,IND,WR,00-0022044
2015,pre,Andre Roberts,A.Roberts,WAS,WR,00-0027691
2015,pre,Andre Williams,A.Williams,NYG,RB,00-0031055
2015,pre,Andrew Gleichert,A.Gleichert,PHI,TE,00-0031651
2015,pre,Andrew Hawkins,A.Hawkins,CLE,WR,00-0027918
2015,pre,Andrew Luck,A.Luck,IND,QB,00-0029668
2015,pre,Andrew Peacock,A.Peacock,DET,WR,00-0030729
2015,pre,Andrew Quarless,A.Quarless,GB,TE,00-0027753
2015,pre,Andy Dalton,A.Dalton,CIN,QB,00-0027973
2015,pre,Anquan Boldin,A.Boldin,SF,WR,00-0022084
2015,pre,Anthony Denham,A.Denham,HOU,TE,00-0031140
2015,pre,Anthony Fasano,A.Fasano,TEN,TE,00-0024268
2015,pre,Antonio Andrews,A.Andrews,TEN,RB,00-0030789
2015,pre,Antonio Brown,A.Brown,PIT,WR,00-0027793
2015,pre,Antonio Gates,A.Gates,SD,TE,00-0021547
2015,pre,Arrelious Benn,A.Benn,JAC,WR,00-0027654
2015,pre,Austin Johnson,A.Johnson,NO,FB,00-0029729
2015,pre,Austin Pettis,A.Pettis,SD,WR,00-0028016
2015,pre,Austin Seferian-Jenkins,A.Seferian-Jenkins,TB,TE,00-0031418
2015,pre,Ben Koyack,B.Koyack,JAC,TE,00-0032139
2015,pre,Ben Malena,B.Malena,DAL,RB,00-0030958
2015,pre,Ben Roethlisberger,B.Roethlisberger,PIT,QB,00-0022924
2015,pre,Benjamin Watson,B.Watson,NO,TE,00-0022943
2015,pre,Bennie Fowler,B.Fowler,DEN,WR,00-0030670
2015,pre,Benny Cunningham,B.Cunningham,STL,RB,00-0029795
2015,pre,Bernard Pierce,B.Pierce,JAC,RB,00-0029264
2015,pre,Bernard Reedy,B.Reedy,ATL,WR,00-0030743
2015,pre,Bilal Powell,B.Powell,NYJ,RB,00-0028064
2015,pre,Bishop Sankey,B.Sankey,TEN,RB,00-0031413
2015,pre,Blaine Gabbert,B.Gabbert,SF,QB,00-0027948
2015,pre,Blake Bell,B.Bell,SF,TE,00-0032062
2015,pre,Blake Bortles,B.Bortles,JAC,QB,00-0031407
2015,pre,Blake Renaud,B.Renaud,MIN,RB,00-0031803
2015,pre,Bobby Rainey,B.Rainey,TB,RB,00-0029384
2015,pre,Brad Sorensen,B.Sorensen,SD,QB,00-0030292
2015,pre,Bradley Marquez,B.Marquez,STL,WR,00-0031818
2015,pre,Branden Oliver,B.Oliver,SD,RB,00-0031277
2015,pre,Brandin Cooks,B.Cooks,NO,WR,00-0031236
2015,pre,Brandon Barden,B.Barden,DAL,TE,00-0028961
2015,pre,Brandon Bolden,B.Bolden,NE,RB,00-0029239
2015,pre,Brandon Coleman,B.Coleman,NO,WR,00-0030801
2015,pre,Brandon Gibson,B.Gibson,NE,WR,00-0026937
2015,pre,Brandon Marshall,B.Marshall,NYJ,WR,00-0024334
2015,pre,Brandon Myers,B.Myers,TB,TE,00-0027135
2015,pre,Brandon Pettigrew,B.Pettigrew,DET,TE,00-0026996
2015,pre,Brandon Tate,B.Tate,CIN,WR,00-0027057
2015,pre,Brandon Wegher,B.Wegher,CAR,RB,00-0031875
2015,pre,Braylon Heard,B.Heard,PIT,RB,00-0032305
2015,pre,Brent Celek,B.Celek,PHI,TE,00-0025549
2015,pre,Brenton Bersin,B.Bersin,CAR,WR,00-0029394
2015,pre,Brett Hundley,B.Hundley,GB,QB,00-0031589
2015,pre,Brian Hartline,B.Hartline,CLE,WR,00-0027077
2015,pre,Brian Hoyer,B.Hoyer,HOU,QB,00-0026625
2015,pre,Brittan Golden,B.Golden,ARI,WR,00-0029336
2015,pre,Brock Osweiler,B.Osweiler,DEN,QB,00-0029682
2015,pre,Bruce Ellington,B.Ellington,SF,WR,00-0031326
2015,pre,Bruce Gradkowski,B.Gradkowski,PIT,QB,00-0024408
2015,pre,Bryan Bennett,B.Bennett,IND,QB,00-0031513
2015,pre,Bryan Walters,B.Walters,JAC,WR,00-0027595
2015,pre,Bryce Petty,B.Petty,NYJ,QB,00-0031568
2015,pre,C.J. Anderson,C.Anderson,DEN,RB,00-0029854
2015,pre,C.J. Fiedorowicz,C.Fiedorowicz,HOU,TE,00-0031302
2015,pre,C.J. Uzomah,C.Uzomah,CIN,TE,00-0032134
2015,pre,Cam Newton,C.Newton,CAR,QB,00-0027939
2015,pre,Cameron Artis-Payne,C.Artis-Payne,CAR,RB,00-0031599
2015,pre,Cameron Clear,C.Clear,PIT,TE,00-0031774
2015,pre,Cameron Meredith,C.Meredith,CHI,WR,00-0031912
2015,pre,Cameron Stingily,C.Stingily,PIT,RB,00-0031986
2015,pre,Carlos Hyde,C.Hyde,SF,RB,00-0031045
2015,pre,Carlton Mitchell,C.Mitchell,ATL,WR,00-0027776
2015,pre,Carson Palmer,C.Palmer,ARI,QB,00-0021429
2015,pre,Case Keenum,C.Keenum,STL,QB,00-0028986
2015,pre,Casey Pierce,C.Pierce,DET,TE,00-0031660
2015,pre,Cecil Shorts,C.Shorts,HOU,WR,00-0028052
2015,pre,Cedric Peerman,C.Peerman,CIN,RB,00-0026932
2015,pre,Chad Henne,C.Henne,JAC,QB,00-0026197
2015,pre,Chandler Worthy,C.Worthy,HOU,WR,00-0031932
2015,pre,Charcandrick West,C.West,KC,RB,00-0030668
2015,pre,Charles Clay,C.Clay,BUF,TE,00-0028112
2015,pre,Charles D. Johnson,C.Johnson,MIN,WR,00-0030113
2015,pre,Charles Sims,C.Sims,TB,RB,00-0031390
2015,pre,Chase Daniel,C.Daniel,KC,QB,00-0026544
