season,season_type,full_player_name,abbr_player_name,team,position,gsis_id
2018,post,Adam Shaheen,A.Shaheen,CHI,TE,00-0033896
2018,post,Alfred Blue,A.Blue,HOU,RB,00-0031075
2018,post,Allen Hurns,A.Hurns,DAL,WR,00-0030821
2018,post,Allen Robinson,A.Robinson,CHI,WR,00-0031428
2018,post,Alshon Jeffery,A.Jeffery,PHI,WR,00-0029137
2018,post,Alvin Kamara,A.Kamara,NO,RB,00-0033906
2018,post,Amari Cooper,A.Cooper,DAL,WR,00-0031544
2018,post,Andrew Luck,A.Luck,IND,QB,00-0029668
2018,post,Anthony Miller,A.Miller,CHI,WR,00-0034353
2018,post,Antonio Gates,A.Gates,LAC,TE,00-0021547
2018,post,Austin Carr,A.Carr,NO,WR,00-0033382
2018,post,Austin Ekeler,A.Ekeler,LAC,RB,00-0033699
2018,post,Ben Braunecker,B.Braunecker,CHI,TE,00-0032661
2018,post,Benjamin Watson,B.Watson,NO,TE,00-0022943
2018,post,Benny Cunningham,B.Cunningham,CHI,RB,00-0029795
2018,post,Blake Jarwin,B.Jarwin,DAL,TE,00-0033658
2018,post,Brandin Cooks,B.Cooks,LA,WR,00-0031236
2018,post,C.J. Anderson,C.Anderson,LA,RB,00-0029854
2018,post,Chester Rogers,C.Rogers,IND,WR,00-0032355
2018,post,Chris Carson,C.Carson,SEA,RB,00-0033594
2018,post,Chris Conley,C.Conley,KC,WR,00-0032128
2018,post,Chris Hogan,C.Hogan,NE,WR,00-0028237
2018,post,Chris Moore,C.Moore,BAL,WR,00-0032398
2018,post,Cole Beasley,C.Beasley,DAL,WR,00-0029000
2018,post,Cordarrelle Patterson,C.Patterson,NE,WR,00-0030578
2018,post,D'Onta Foreman,D.Foreman,HOU,RB,00-0033925
2018,post,Dak Prescott,D.Prescott,DAL,QB,00-0033077
2018,post,Dallas Goedert,D.Goedert,PHI,TE,00-0034351
2018,post,Dalton Schultz,D.Schultz,DAL,TE,00-0034383
2018,post,Damien Williams,D.Williams,KC,RB,00-0030874
2018,post,Dan Arnold,D.Arnold,NO,TE,00-0034011
2018,post,Darrel Williams,D.Williams,KC,RB,00-0034301
2018,post,Darren Sproles,D.Sproles,PHI,RB,00-0023564
2018,post,DeAndre Hopkins,D.Hopkins,HOU,WR,00-0030564
2018,post,Demarcus Robinson,D.Robinson,KC,WR,00-0032775
2018,post,Demetrius Harris,D.Harris,KC,TE,00-0030155
2018,post,Deshaun Watson,D.Watson,HOU,QB,00-0033537
2018,post,Dontrelle Inman,D.Inman,IND,WR,00-0028411
2018,post,Doug Baldwin,D.Baldwin,SEA,WR,00-0028434
2018,post,Drew Brees,D.Brees,NO,QB,00-0020531
2018,post,Ed Dickson,E.Dickson,SEA,TE,00-0027675
2018,post,Eric Ebron,E.Ebron,IND,TE,00-0031387
2018,post,Ezekiel Elliott,E.Elliott,DAL,RB,00-0033045
2018,post,Garrett Griffin,G.Griffin,NO,TE,00-0033095
2018,post,Gehrig Dieter,G.Dieter,KC,WR,00-0033474
2018,post,Gerald Everett,G.Everett,LA,TE,00-0033895
2018,post,Golden Tate,G.Tate,PHI,WR,00-0027891
2018,post,Gus Edwards,G.Edwards,BAL,RB,00-0034184
2018,post,Hayden Hurst,H.Hurst,BAL,TE,00-0034830
2018,post,Hunter Henry,H.Henry,LAC,TE,00-0033090
2018,post,James Develin,J.Develin,NE,FB,00-0027925
2018,post,James White,J.White,NE,RB,00-0031062
2018,post,Jared Goff,J.Goff,LA,QB,00-0033106
2018,post,John Brown,J.Brown,BAL,WR,00-0031051
2018,post,Jordan Akins,J.Akins,HOU,TE,00-0034364
2018,post,Jordan Howard,J.Howard,CHI,RB,00-0032780
2018,post,Jordan Matthews,J.Matthews,PHI,WR,00-0031299
2018,post,Jordan Wilkins,J.Wilkins,IND,RB,00-0034400
2018,post,Josh Adams,J.Adams,PHI,RB,00-0034457
2018,post,Josh Bellamy,J.Bellamy,CHI,WR,00-0029319
2018,post,Josh Hill,J.Hill,NO,TE,00-0030216
2018,post,Josh Reynolds,J.Reynolds,LA,WR,00-0033943
2018,post,Julian Edelman,J.Edelman,NE,WR,00-0027150
2018,post,Justin Jackson,J.Jackson,LAC,RB,00-0034440
2018,post,Keenan Allen,K.Allen,LAC,WR,00-0030279
2018,post,Keith Kirkwood,K.Kirkwood,NO,WR,00-0034317
2018,post,Keke Coutee,K.Coutee,HOU,WR,00-0034366
