Player_ID_Name,Receptions,Targets,Rush_Attempts,Position,Total_Plays,Replacement_Level_Receiver,Replacement_Level_Rusher,Player_Model_ID_Rec,Player_Model_ID_Rush,air_iPA,yac_iPA,rush_iPA,air_iPAA,yac_iPAA,rush_iPAA,air_iPAR,yac_iPAR,rush_iPAR,total_iPAR,air_WAR,yac_WAR,rush_WAR,total_WAR
A.Armstrong-00-0026465,6,26,2,WR,34,0,1,A.Armstrong-00-0026465,Replacement_WR_TE_rush,-0.09510020133553529,-0.07451922331775512,1.3734941020551262e-5,-2.4726052347239174,-1.9374998062616333,2.7469882041102525e-5,0.9942619863683944,1.7520329051108705,0,2.746294891479265,0.027179568236687737,0.047894316136249386,0,0.07507388437293712
A.Arrington-00-0026377,2,3,0,WR,5,1,1,Replacement_WR_rec,Replacement_WR_TE_rush,-0.13334104696508892,-0.14190510428355785,1.3734941020551262e-5,-0.40002314089526675,-0.42571531285067354,0,0,0,0,0,0,0,0,0
A.Battle-00-0022064,0,1,0,WR,1,1,1,Replacement_WR_rec,Replacement_WR_TE_rush,-0.13334104696508892,-0.14190510428355785,1.3734941020551262e-5,-0.13334104696508892,-0.14190510428355785,0,0,0,0,0,0,0,0,0
A.Benn-00-0027654,29,51,6,WR,86,0,0,A.Benn-00-0027654,A.Benn-00-0027654,-0.014263652480439117,0.013604852529158034,-0.00755237053098785,-0.727446276502395,0.6938474789870598,-0.0453142231859271,6.07294711871714,7.93100779744851,-0.04539663283205041,13.9585582833336,0.16601266353736527,0.2168053999568122,-0.001240981649395376,0.3815770818447821
A.Boldin-00-0022084,57,106,0,WR,163,0,1,A.Boldin-00-0022084,Replacement_WR_TE_rush,0.0807302566929355,-0.02436893825424122,1.3734941020551262e-5,8.557407209451164,-2.5831074549495696,0,22.691558187750587,12.458833599107562,0,35.15039178685815,0.62030607889721745,0.3405799704696888,0,0.9608860493669064
A.Brown-00-0027793,69,123,7,WR,199,0,0,A.Brown-00-0027793,A.Brown-00-0027793,0.07669359412852199,0.06488839614209088,-2.896391044652545e-4,9.433312077808205,7.9812727254771785,-0.0020274737312567814,25.83426085451414,25.435600552354796,-0.0021236183184006403,51.26773778855054,0.7062163346950004,0.695318387238138,-5.80521329237103e-5,1.4014766698002148
A.Caldwell-00-0026237,37,68,0,WR,105,0,1,A.Caldwell-00-0026237,Replacement_WR_TE_rush,-0.23086537914853714,-0.13300584786661432,1.3734941020551262e-5,-15.698845782100525,-9.044397654929774,0,-6.631654588474479,0.6051494363521588,0,-6.02650515212232,-0.18128572839030457,0.016542622190357396,0,-0.16474310619994717
A.Collie-00-0027092,54,96,0,WR,150,0,1,A.Collie-00-0027092,Replacement_WR_TE_rush,-0.13069973842552768,-0.01871133897523738,1.3734941020551262e-5,-12.547174888850657,-1.7962885416227885,0,0.25356561979787884,11.826601469598765,0,12.080167089396644,0.006931577552257854,0.32329700426862173,0,0.3302285818208796
A.Gonzalez-00-0025419,0,2,0,WR,2,1,1,Replacement_WR_rec,Replacement_WR_TE_rush,-0.13334104696508892,-0.14190510428355785,1.3734941020551262e-5,-0.26668209393017783,-0.2838102085671157,0,0,0,0,0,0,0,0,0
A.Green-00-0027942,62,112,5,WR,179,0,0,A.Green-00-0027942,A.Green-00-0027942,0.057745198463054564,0.011549629861896619,0.0032933524906757776,6.467462227862111,1.2935585445324214,0.01646676245337889,21.40165948795207,17.1869302242909,0.016398087748276134,38.60498779999125,0.5850448598118501,0.46982922933274346,4.4826509613767534e-4,1.0553223542407313
A.Hawkins-00-0027918,23,34,5,WR,62,0,0,A.Hawkins-00-0027918,A.Hawkins-00-0027918,-0.09898854706776797,0.05767924165047335,0.002283642557566651,-3.365610600304111,1.9610942161160938,0.011418212787833256,1.167984996508912,6.785867761757061,0.011349538082730499,7.965202296348703,0.031928534276959845,0.18550136523823396,3.102557967655853e-4,0.21774015531195937
A.Johnson-00-0022044,33,51,1,WR,85,0,1,A.Johnson-00-0022044,Replacement_WR_TE_rush,-0.004283495698052866,-0.010244796320071825,1.3734941020551262e-5,-0.2184582806006962,-0.5224846123236631,1.3734941020551262e-5,6.5819351146188385,6.714675706137787,0,13.296610820756626,0.17992657572141144,0.18355522894805784,0,0.36348180466946933
A.Pettis-00-0028016,26,47,1,WR,74,0,1,A.Pettis-00-0028016,Replacement_WR_TE_rush,-0.06547280576128904,-0.03142969843628663,1.3734941020551262e-5,-3.0772218707805847,-1.4771958265054717,1.3734941020551262e-5,3.189807336578594,5.192344074821747,0,8.382151411400342,0.0871979290720885,0.14194012445899645,0,0.22913805353108496
A.Roberts-00-0027691,51,98,3,WR,152,0,0,A.Roberts-00-0027691,A.Roberts-00-0027691,-0.14203626206240152,-0.1001516803773134,0.0032084989723711156,-13.91955368211535,-9.814864676976713,0.009625496917113348,-0.852131079536635,4.091835542811957,0.009584292094051695,3.2492887553693737,-0.023294217359615416,0.11185615549416632,2.6200028216115005e-4,0.08882393841671206
B.Banks-00-0027618,1,1,1,WR,3,1,1,Replacement_WR_rec,Replacement_WR_TE_rush,-0.13334104696508892,-0.14190510428355785,1.3734941020551262e-5,-0.13334104696508892,-0.14190510428355785,1.3734941020551262e-5,0,0,0,0,0,0,0,0
B.Berrian-00-0022807,7,23,0,WR,30,0,1,B.Berrian-00-0022807,Replacement_WR_TE_rush,-0.053799706146967545,-0.04916772647184656,1.3734941020551262e-5,-1.2373932413802535,-1.1308577088524707,0,1.8294508388167916,2.13295968966936,0,3.9624105284861515,0.05001064567590032,0.05830749261894492,0,0.10831813829484524
