Season,Player,Team,Pos,name,GSIS_ID
2013,Aaron Rodgers,GB,QB,A.Rodgers,00-0023459
2013,Alex Smith,KC,QB,A.Smith,00-0023436
2013,Andrew Luck,IND,QB,A.Luck,00-0029668
2013,Andy Dalton,CIN,QB,A.Dalton,00-0027973
2013,Ben Roethlisberger,PIT,QB,B.Roethlisberger,00-0022924
2013,Blaine Gabbert,JAC,QB,B.Gabbert,00-0027948
2013,Brandon Weeden,CLE,QB,B.Weeden,00-0029677
2013,Brian Hoyer,CLE,QB,B.Hoyer,00-0026625
2013,Brock Osweiler,DEN,QB,B.Osweiler,00-0029682
2013,Cam Newton,CAR,QB,C.Newton,00-0027939
2013,Carson Palmer,ARI,QB,C.Palmer,00-0021429
2013,Case Keenum,HOU,QB,C.Keenum,00-0028986
2013,Chad Henne,JAC,QB,C.Henne,00-0026197
2013,Chase Daniel,KC,QB,C.Daniel,00-0026544
2013,Christian Ponder,MIN,QB,C.Ponder,00-0027950
2013,Colin Kaepernick,SF,QB,C.Kaepernick,00-0027974
2013,Colt McCoy,SF,QB,C.McCoy,00-0027688
2013,Curtis Painter,NYG,QB,C.Painter,00-0027134
2013,Dominique Davis,ATL,QB,D.Davis,00-0028863
2013,Drew Brees,NO,QB,D.Brees,00-0020531
2013,EJ Manuel,BUF,QB,E.Manuel,00-0030526
2013,Eli Manning,NYG,QB,E.Manning,00-0022803
2013,Geno Smith,NYJ,QB,G.Smith,00-0030565
2013,Jake Locker,TEN,QB,J.Locker,00-0027946
2013,Jason Campbell,CLE,QB,J.Campbell,00-0023460
2013,Jay Cutler,CHI,QB,J.Cutler,00-0024226
2013,Jeff Tuel,BUF,QB,J.Tuel,00-0030024
2013,Joe Flacco,BAL,QB,J.Flacco,00-0026158
2013,Josh Freeman,MIN,QB,J.Freeman,00-0026993
2013,Josh McCown,CHI,QB,J.McCown,00-0021206
2013,Kellen Clemens,STL,QB,K.Clemens,00-0024264
2013,Kirk Cousins,WAS,QB,K.Cousins,00-0029604
2013,Kyle Orton,DAL,QB,K.Orton,00-0023541
2013,Luke McCown,NO,QB,L.McCown,00-0022864
2013,Matt Barkley,PHI,QB,M.Barkley,00-0030533
2013,Matt Cassel,MIN,QB,M.Cassel,00-0023662
2013,Matt Flynn,GB,QB,M.Flynn,00-0026349
2013,Matt Hasselbeck,IND,QB,M.Hasselbeck,00-0007091
2013,Matt McGloin,OAK,QB,M.McGloin,00-0030419
2013,Matt Moore,MIA,QB,M.Moore,00-0025708
2013,Matt Ryan,ATL,QB,M.Ryan,00-0026143
2013,Matt Schaub,HOU,QB,M.Schaub,00-0022787
2013,Matt Simms,NYJ,QB,M.Simms,00-0029151
2013,Matthew Stafford,DET,QB,M.Stafford,00-0026498
2013,Mike Glennon,TB,QB,M.Glennon,00-0030520
2013,Mike Vick,PHI,QB,M.Vick,00-0020245
2013,Nick Foles,PHI,QB,N.Foles,00-0029567
2013,Peyton Manning,DEN,QB,P.Manning,00-0010346
2013,Philip Rivers,SD,QB,P.Rivers,00-0022942
2013,Robert Griffin III,WAS,QB,R.III,00-0029665
2013,Russell Wilson,SEA,QB,R.Wilson,00-0029263
2013,Ryan Fitzpatrick,TEN,QB,R.Fitzpatrick,00-0023682
2013,Ryan Tannehill,MIA,QB,R.Tannehill,00-0029701
2013,Sam Bradford,STL,QB,S.Bradford,00-0027854
2013,Scott Tolzien,GB,QB,S.Tolzien,00-0028595
2013,Seneca Wallace,GB,QB,S.Wallace,00-0022055
2013,T.J. Yates,HOU,QB,T.Yates,00-0028090
2013,Tarvaris Jackson,SEA,QB,T.Jackson,00-0024279
2013,Terrelle Pryor,OAK,QB,T.Pryor,00-0028825
2013,Thad Lewis,BUF,QB,T.Lewis,00-0027253
2013,Tom Brady,NE,QB,T.Brady,00-0019596
2013,Tony Romo,DAL,QB,T.Romo,00-0021678
2013,Tyrod Taylor,BAL,QB,T.Taylor,00-0028118
2013,Adrian Peterson,MIN,RB,A.Peterson,00-0025394
2013,Ahmad Bradshaw,IND,RB,A.Bradshaw,00-0025637
2013,Alex Green,NYJ,RB,A.Green,00-0028034
2013,Alfonso Smith,ARI,RB,A.Smith,00-0027346
2013,Alfred Morris,WAS,RB,A.Morris,00-0029141
2013,Andre Brown,NYG,RB,A.Brown,00-0027094
2013,Andre Ellington,ARI,RB,A.Ellington,00-0030287
2013,Anthony Dixon,SF,RB,A.Dixon,00-0027772
2013,Anthony Sherman,KC,FB,A.Sherman,00-0028074
2013,Antone Smith,ATL,RB,A.Smith,00-0026855
2013,Arian Foster,HOU,RB,A.Foster,00-0026796
2013,Armond Smith,CAR,RB,A.Smith,00-0028706
2013,Ben Tate,HOU,RB,B.Tate,00-0027890
2013,BenJarvus Green-Ellis,CIN,RB,B.Green-Ellis,00-0025860
2013,Benny Cunningham,STL,RB,B.Cunningham,00-0029795
2013,Bernard Pierce,BAL,RB,B.Pierce,00-0029264
2013,Bernard Scott,BAL,RB,B.Scott,00-0026941
2013,Bilal Powell,NYJ,RB,B.Powell,00-0028064
2013,Bobby Rainey,TB,RB,B.Rainey,00-0029384
2013,Brandon Bolden,NE,RB,B.Bolden,00-0029239
2013,Brandon Jacobs,NYG,RB,B.Jacobs,00-0023545
2013,Brian Leonard,TB,RB,B.Leonard,00-0025439
2013,Bruce Miller,SF,FB,B.Miller,00-0028149
2013,Bryce Brown,PHI,RB,B.Brown,00-0029429
2013,C.J. Anderson,DEN,RB,C.Anderson,00-0029854
2013,C.J. Spiller,BUF,RB,C.Spiller,00-0027861
2013,Cedric Peerman,CIN,RB,C.Peerman,00-0026932
2013,Chris Ivory,NYJ,RB,C.Ivory,00-0027531
2013,Chris Johnson,TEN,RB,C.Johnson,00-0026164
2013,Chris Ogbonnaya,CLE,RB,C.Ogbonnaya,00-0027140
2013,Chris Polk,PHI,RB,C.Polk,00-0029438
2013,Christine Michael,SEA,RB,C.Michael,00-0030432
2013,Cyrus Gray,KC,RB,C.Gray,00-0029298
2013,Da'Rel Scott,NYG,RB,D.Scott,00-0028159
2013,Dan Herron,IND,RB,D.Herron,00-0029588
2013,Daniel Thomas,MIA,RB,D.Thomas,00-0028000
2013,Danny Woodhead,SD,RB,D.Woodhead,00-0026019
2013,Darrel Young,WAS,FB,D.Young,00-0026852
2013,Darren McFadden,OAK,RB,D.McFadden,00-0026144
2013,Darren Sproles,NO,RB,D.Sproles,00-0023564
2013,Daryl Richardson,STL,RB,D.Richardson,00-0029612
2013,David Wilson,NYG,RB,D.Wilson,00-0029251
2013,DeAngelo Williams,CAR,RB,D.Williams,00-0024242
2013,Deji Karim,HOU,RB,D.Karim,00-0027779
2013,DeMarco Murray,DAL,RB,D.Murray,00-0028009
2013,Denard Robinson,JAC,RB,D.Robinson,00-0030547
2013,Dennis Johnson,HOU,RB,D.Johnson,00-0030236
2013,Derrick Coleman,SEA,FB,D.Coleman,00-0029068
2013,Donald Brown,IND,RB,D.Brown,00-0027003
2013,Doug Martin,TB,RB,D.Martin,00-0029613
2013,Eddie Lacy,GB,RB,E.Lacy,00-0030485
2013,Edwin Baker,CLE,RB,E.Baker,00-0029317
2013,Evan Royster,WAS,RB,E.Royster,00-0028115
2013,Felix Jones,PIT,RB,F.Jones,00-0026162
2013,Fozzy Whittaker,CLE,RB,F.Whittaker,00-0029731
2013,Frank Gore,SF,RB,F.Gore,00-0023500
2013,Frank Summers,BUF,FB,F.Summers,00-0026926
2013,Fred Jackson,BUF,RB,F.Jackson,00-0024204
2013,Giovani Bernard,CIN,RB,G.Bernard,00-0030456
2013,Greg Jones,HOU,FB,G.Jones,00-0022897
2013,Isaac Redman,PIT,RB,I.Redman,00-0026566
2013,Isaiah Pead,STL,RB,I.Pead,00-0029626
2013,Jackie Battle,TEN,RB,J.Battle,00-0025701
2013,Jacquizz Rodgers,ATL,RB,J.Rodgers,00-0028083
2013,Jamaal Charles,KC,RB,J.Charles,00-0026213
2013,James Develin,NE,FB,J.Develin,00-0027925
2013,James Starks,GB,RB,J.Starks,00-0027791
2013,Jamize Olawale,OAK,RB,J.Olawale,00-0029492
2013,Jason Snelling,ATL,FB,J.Snelling,00-0025631
2013,Jed Collins,NO,FB,J.Collins,00-0026072
2013,Jeff Demps,TB,RB,J.Demps,00-0029722
2013,Jeremy Stewart,OAK,FB,J.Stewart,00-0029441
2013,John Kuhn,GB,FB,J.Kuhn,00-0022999
2013,Johnathan Franklin,GB,RB,J.Franklin,00-0030078
2013,Joique Bell,DET,RB,J.Bell,00-0027218
2013,Jonathan Dwyer,PIT,RB,J.Dwyer,00-0027786
2013,Jonathan Grimes,HOU,RB,J.Grimes,00-0029510
2013,Jonathan Stewart,CAR,RB,J.Stewart,00-0026153
2013,Jordan Todman,JAC,RB,J.Todman,00-0028121
2013,Joseph Randle,DAL,RB,J.Randle,00-0030388
2013,Josh Vaughan,ATL,RB,J.Vaughan,00-0026644
2013,Justin Forsett,JAC,RB,J.Forsett,00-0026373
2013,Kendall Hunter,SF,RB,K.Hunter,00-0028053
2013,Kenjon Barner,CAR,RB,K.Barner,00-0030465
2013,Khiry Robinson,NO,RB,K.Robinson,00-0030348
2013,Knile Davis,KC,RB,K.Davis,00-0030280
2013,Knowshon Moreno,DEN,RB,K.Moreno,00-0026988
2013,Lamar Miller,MIA,RB,L.Miller,00-0029615
2013,LaMichael James,SF,RB,L.James,00-0029260
2013,Lance Dunbar,DAL,RB,L.Dunbar,00-0029004
2013,LaRod Stephens-Howling,PIT,RB,L.Stephens-Howling,00-0026956
2013,Le'Ron McClain,SD,FB,L.McClain,00-0025524
2013,Le'Veon Bell,PIT,RB,L.Bell,00-0030496
2013,LeGarrette Blount,NE,RB,L.Blount,00-0027325
2013,LeSean McCoy,PHI,RB,L.McCoy,00-0027029
2013,Marcel Reece,OAK,FB,M.Reece,00-0026393
2013,Marcus Thigpen,MIA,RB,M.Thigpen,00-0026577
2013,Mark Ingram,NO,RB,M.Ingram,00-0027966
2013,Marshawn Lynch,SEA,RB,M.Lynch,00-0025399
2013,Matt Asiata,MIN,RB,M.Asiata,00-0028198
2013,Matt Forte,CHI,RB,M.Forte,00-0026184
2013,Maurice Jones-Drew,JAC,RB,M.Jones-Drew,00-0024275
2013,Michael Bush,CHI,RB,M.Bush,00-0025487
2013,Michael Cox,NYG,RB,M.Cox,00-0030128
2013,Michael Hill,TB,RB,M.Hill,00-0030320
2013,Michael Robinson,SEA,FB,M.Robinson,00-0024315
2013,Mike Gillislee,MIA,RB,M.Gillislee,00-0030433
2013,Mike Goodson,NYJ,RB,M.Goodson,00-0027080
2013,Mike James,TB,RB,M.James,00-0030391
2013,Mike Tolbert,CAR,FB,M.Tolbert,00-0026069
2013,Mikel Leshoure,DET,RB,M.Leshoure,00-0027995
2013,Montee Ball,DEN,RB,M.Ball,00-0030522
2013,Peyton Hillis,NYG,RB,P.Hillis,00-0026367
2013,Phillip Tanner,DAL,RB,P.Tanner,00-0028613
2013,Pierre Thomas,NO,RB,P.Thomas,00-0024813
2013,Rashad Jennings,OAK,RB,R.Jennings,00-0027155
2013,Rashard Mendenhall,ARI,RB,R.Mendenhall,00-0026163
2013,Ray Graham,HOU,RB,R.Graham,00-0030233
2013,Ray Rice,BAL,RB,R.Rice,00-0026195
2013,Reggie Bush,DET,RB,R.Bush,00-0024217
2013,Robert Turbin,SEA,RB,R.Turbin,00-0029273
2013,Ronnie Brown,SD,RB,R.Brown,00-0023437
2013,Ronnie Hillman,DEN,RB,R.Hillman,00-0029683
2013,Ronnie Wingo,BUF,RB,R.Wingo,00-0029791
2013,Roy Helu,WAS,RB,R.Helu,00-0028043
