Season,Player,Team,Pos,name,GSIS_ID
2010,Aaron Rodgers,GB,QB,A.Rodgers,00-0023459
2010,Alex Smith,SF,QB,A.Smith,00-0023436
2010,Ben Roethlisberger,PIT,QB,B.Roethlisberger,00-0022924
2010,Billy Volek,SD,QB,B.Volek,00-0019041
2010,Brett Favre,MIN,QB,B.Favre,00-0005106
2010,Brian Brohm,BUF,QB,B.Brohm,00-0026196
2010,Brian Hoyer,NE,QB,B.Hoyer,00-0026625
2010,Brian St. Pierre,CAR,QB,B.Pierre,00-0022101
2010,Brodie Croyle,KC,QB,B.Croyle,00-0024300
2010,Bruce Gradkowski,OAK,QB,B.Gradkowski,00-0024408
2010,Byron Leftwich,PIT,QB,B.Leftwich,00-0022177
2010,Caleb Hanie,CHI,QB,C.Hanie,00-0025970
2010,Carson Palmer,CIN,QB,C.Palmer,00-0021429
2010,Chad Henne,MIA,QB,C.Henne,00-0026197
2010,Chad Pennington,MIA,QB,C.Pennington,00-0019559
2010,Charlie Batch,PIT,QB,C.Batch,00-0000865
2010,Charlie Whitehurst,SEA,QB,C.Whitehurst,00-0024296
2010,Chase Daniel,NO,QB,C.Daniel,00-0026544
2010,Chris Redman,ATL,QB,C.Redman,00-0019709
2010,Colt McCoy,CLE,QB,C.McCoy,00-0027688
2010,David Carr,SF,QB,D.Carr,00-0020608
2010,David Garrard,JAC,QB,D.Garrard,00-0021231
2010,Dennis Dixon,PIT,QB,D.Dixon,00-0026296
2010,Derek Anderson,ARI,QB,D.Anderson,00-0023645
2010,Donovan McNabb,WAS,QB,D.McNabb,00-0011022
2010,Drew Brees,NO,QB,D.Brees,00-0020531
2010,Drew Stanton,DET,QB,D.Stanton,00-0025430
2010,Eli Manning,NYG,QB,E.Manning,00-0022803
2010,Jake Delhomme,CLE,QB,J.Delhomme,00-0004161
2010,Jason Campbell,OAK,QB,J.Campbell,00-0023460
2010,Jay Cutler,CHI,QB,J.Cutler,00-0024226
2010,Jimmy Clausen,CAR,QB,J.Clausen,00-0027659
2010,Joe Flacco,BAL,QB,J.Flacco,00-0026158
2010,Joe Webb,MIN,QB,J.Webb,00-0027796
2010,John Skelton,ARI,QB,J.Skelton,00-0027754
2010,Jon Kitna,DAL,QB,J.Kitna,00-0009311
2010,Jordan Palmer,CIN,QB,J.Palmer,00-0025592
2010,Josh Freeman,TB,QB,J.Freeman,00-0026993
