Season,Receiver_ID,Team,Player_Name,Targets,Receptions,Drives,Targets_per_Drive,Rec_per_Drive,Total_Yards,Yards_per_Drive,Total_Raw_YAC,Yards_per_Rec,Yards_per_Target,YAC_per_Target,Total_Caught_YAC,Total_Dropped_YAC,Caught_YAC_per_Target,Dropped_YAC_per_Target,YAC_per_Rec,Caught_YAC_per_Rec,Dropped_YAC_per_Rec,YAC_per_Drive,Caught_YAC_per_Drive,Dropped_YAC_per_Drive,Rec_Percentage,Fumbles,TDs,TDs_per_Drive,Fumbles_per_Drive,AC_TDs,AC_TDs_per_Drive,AC_TD_Rate,TD_to_Fumbles,Total_EPA,EPA_per_Drives,Success_Rate,EPA_per_Rec,EPA_per_Target,EPA_Rec_Perc,TD_per_Targets,Fumbles_per_Rec,TD_per_Rec,Total_WPA,WPA_per_Drive,Win_Success_Rate,WPA_per_Target,WPA_per_Rec,WPA_Rec_Perc,Total_Clutch_EPA,Clutch_EPA_per_Drive,Total_Raw_AirYards,PACR,Total_Caught_AirYards,Raw_AirYards_per_Target,RACR,Total_Raw_airEPA,Total_Caught_airEPA,Raw_airEPA_per_Drive,Caught_airEPA_per_Drive,airEPA_per_Target,Caught_airEPA_per_Target,epa_RACR,Total_Raw_airWPA,Total_Caught_airWPA,Raw_airWPA_per_Drive,Caught_airWPA_per_Drive,airWPA_per_Target,Caught_airWPA_per_Target,yacEPA_Rec,yacEPA_Drop,Total_yacEPA,yacEPA_per_Target,yacEPA_per_Rec,yacEPA_Rec_per_Drive,yacEPA_Drop_per_Drive,yacWPA_Rec,yacWPA_Drop,Total_yacWPA,yacWPA_per_Target,yacWPA_per_Rec,yacWPA_Rec_per_Drive,yacWPA_Drop_per_Drive,wpa_RACR,yac_Success_Rate,yac_Rec_Success_Rate,air_Success_Rate,air_Rec_Success_Rate,yac_Win_Success_Rate,yac_Rec_Win_Success_Rate,air_Win_Success_Rate,air_Rec_Win_Success_Rate
2009,00-0026345,IND,P.Garcon,32,21,18,1.7777777777777777,1.1666666666666667,251,13.944444444444445,89,11.952380952380953,7.84375,2.78125,89,0,2.78125,0,4.238095238095238,4.238095238095238,0,4.944444444444445,4.944444444444445,0,0.65625,1,2,0.1111111111111111,0.05555555555555555,0,0,0,2,7.047416837593797,0.39152315764409984,0.5625,0.8923401138157145,0.22023177617480616,0.5510228552933905,0.0625,0.047619047619047616,0.09523809523809523,0.2782012650139311,0.015455625834107284,0.5625,0.008693789531685347,0.028814687995064463,0.5904520678986176,0.6527315055965646,0.03626286142203136,338,0.742603550295858,162,10.5625,0.742603550295858,31.686112942005074,10.015309079284297,1.7603396078891709,0.5564060599602387,0.9901910294376586,0.31297840872763427,0.22241342289262955,0.8253758476150472,0.2849201303414318,0.04585421375639151,0.015828896130079546,0.025792995237970226,0.008903754073169744,8.72383331084571,-33.36252941525699,-24.638696104411277,-0.7699592532628524,0.41542063384979566,0.48465740615809494,-1.8534738564031659,0.32018831755492183,-0.867362900156038,-0.5471745826011162,-0.01709920570628488,0.015247062740710563,0.017788239864162322,-0.048186827786446555,0.33706009912672336,0.46875,0.46875,0.78125,0.4375,0.5,0.5,0.78125,0.4375
2009,00-0020498,IND,R.Wayne,27,16,13,2.076923076923077,1.2307692307692308,160,12.307692307692308,48,10,5.925925925925926,1.7777777777777777,48,0,1.7777777777777777,0,3,3,0,3.6923076923076925,3.6923076923076925,0,0.5925925925925926,1,2,0.15384615384615385,0.07692307692307693,0,0,0,2,-2.5693605690702865,-0.19764312069771434,0.48148148148148145,0.9963325853794017,-0.09516150255815876,0.4499108520834208,0.07407407407407407,0.0625,0.125,0.04007456713728601,0.003082659010560462,0.48148148148148145,0.0014842432273068891,0.027366171497042,0.49905810553354146,-1.1432793989355292,-0.08794456914888686,230,0.6956521739130435,103,8.518518518518519,0.6956521739130435,20.561565961895678,11.269935732464745,1.5816589201458213,0.8669181332665189,0.7615394800702103,0.4174050271283239,-0.12495938168482786,0.6644008130603519,0.3041716380082886,0.0511077548507963,0.023397818308329894,0.024607437520753776,0.011265616222529208,4.6713856336056825,-27.802312164571646,-23.130926530965965,-0.856700982628369,0.29196160210035516,0.35933735643120635,-2.138639397274742,0.13368710594438335,-0.7580133518674492,-0.6243262459230658,-0.023123194293446885,0.00835544412152396,0.010283623534183335,-0.05830871937441917,0.0603168544491919,0.4444444444444444,0.4074074074074074,0.7407407407407407,0.4074074074074074,0.4074074074074074,0.37037037037037035,0.7407407407407407,0.4074074074074074
2009,00-0022165,IND,D.Clark,26,18,14,1.8571428571428572,1.2857142857142858,180,12.857142857142858,61,10,6.923076923076923,2.3461538461538463,61,0,2.3461538461538463,0,3.388888888888889,3.388888888888889,0,4.357142857142857,4.357142857142857,0,0.6923076923076923,0,1,0.07142857142857142,0,1,0.07142857142857142,1,Inf,12.422262131637206,0.8873044379740861,0.6153846153846154,1.0028912413408804,0.47777931275527713,0.6670277696922162,0.038461538461538464,0,0.05555555555555555,0.3461639252740901,0.024725994662435007,0.5,0.013313997125926543,0.028700889913908727,0.6377223752462918,0.8348475735704376,0.059631969540745546,166,1.0843373493975903,119,6.384615384615385,1.0843373493975903,6.098221795671485,5.633204886413861,0.4355872711193918,0.40237177760099,0.23454699214121094,0.2166617264005331,2.037030227476233,0.15485554102410193,0.13843810346758953,0.011061110073150138,0.009888435961970681,0.0059559823470808435,0.005324542441061135,12.418837457721985,-6.0947971217562635,6.324040335965721,0.2432323206140662,0.6899354143178881,0.8870598184087132,-0.4353426515540188,0.3781779149827676,-0.18686953073277943,0.19130838424998817,0.007358014778845698,0.02100988416570931,0.027012708213054827,-0.01334782362376996,2.235399024050503,0.5769230769230769,0.5769230769230769,0.6538461538461539,0.4230769230769231,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.38461538461538464
2009,00-0027092,IND,A.Collie,26,17,15,1.7333333333333334,1.1333333333333333,241,16.066666666666666,50,14.176470588235293,9.26923076923077,1.9230769230769231,50,0,1.9230769230769231,0,2.9411764705882355,2.9411764705882355,0,3.3333333333333335,3.3333333333333335,0,0.6538461538461539,0,2,0.13333333333333333,0,0,0,0,Inf,16.4576447989444,1.0971763199296267,0.5384615384615384,1.4362862690638831,0.6329863384209384,0.6904836471974377,0.07692307692307693,0,0.11764705882352941,0.48135989979361166,0.03209065998624078,0.5384615384615384,0.018513842299754293,0.040239937138648985,0.6861517328922483,1.3197634226287112,0.08798422817524741,337,0.7151335311572701,191,12.961538461538462,0.7151335311572701,35.984664357933845,19.894670747501387,2.3989776238622564,1.326311383166759,1.3840255522282248,0.7651796441346688,0.45735162721660466,0.9329219354101479,0.5710809134807775,0.06219479569400986,0.0380720608987185,0.035881612900390304,0.021964650518491443,4.522195826584626,-24.049215385574072,-19.527019558989448,-0.7510392138072864,0.2660115192108603,0.30147972177230836,-1.6032810257049381,0.11299801787625527,-0.5645600534927915,-0.45156203561653624,-0.01736777060063601,0.006646942228015016,0.0075332011917503515,-0.03763733689951943,0.5159701809154992,0.4230769230769231,0.4230769230769231,0.8846153846153846,0.5384615384615384,0.38461538461538464,0.38461538461538464,0.8846153846153846,0.5384615384615384
2009,00-0024466,NO,M.Colston,23,15,15,1.5333333333333334,1,188,12.533333333333333,51,12.533333333333333,8.173913043478262,2.217391304347826,51,0,2.217391304347826,0,3.4,3.4,0,3.4,3.4,0,0.6521739130434783,0,1,0.06666666666666667,0,0,0,0,Inf,10.770799171473454,0.7180532780982303,0.6086956521739131,1.1456223402288748,0.4682956161510198,0.7237995328370321,0.043478260869565216,0,0.06666666666666667,0.2289379624220971,0.015262530828139807,0.6086956521739131,0.009953824453134657,0.029377097779453097,0.6720722313557277,0.5316712331859857,0.035444748879065714,263,0.714828897338403,137,11.434782608695652,0.714828897338403,23.63889711178369,11.63808383212139,1.5759264741189127,0.7758722554747594,1.027778135294943,0.5060036448748431,0.4556388193806363,0.3908767896604489,0.2580801592513513,0.02605845264402993,0.017205343950090088,0.01699464302871517,0.011220876489189187,5.546251271311731,-18.414349211621968,-12.868097940310236,-0.5594825191439233,0.3697500847541154,0.3697500847541154,-1.2276232807747978,0.18257630744044517,-0.344515134678797,-0.16193882723835185,-0.0070408185755805154,0.012171753829363011,0.012171753829363011,-0.022967675645253136,0.585703650045257,0.43478260869565216,0.43478260869565216,0.8695652173913043,0.5217391304347826,0.43478260869565216,0.43478260869565216,0.8695652173913043,0.5652173913043478
2009,00-0022811,NYJ,J.Cotchery,19,14,15,1.2666666666666666,0.9333333333333333,194,12.933333333333334,28,13.857142857142858,10.210526315789474,1.4736842105263157,28,0,1.4736842105263157,0,2,2,0,1.8666666666666667,1.8666666666666667,0,0.7368421052631579,0,0,0,0,0,0,NaN,NaN,16.981333187524438,1.132088879168296,0.631578947368421,1.6959408560255527,0.8937543782907599,0.7477310356095491,0,0,0,0.6407523619524707,0.04271682413016471,0.631578947368421,0.03372380852381424,0.06039909560589709,0.7947017689090704,1.6516452809150861,0.11010968539433907,210,0.9238095238095239,166,11.052631578947368,0.9238095238095239,24.957351769838922,20.351815404787608,1.663823451322595,1.3567876936525072,1.3135448299915222,1.0711481791993478,0.6804140657281779,0.8757146237759469,0.7151227626845579,0.05838097491839646,0.04767485084563719,0.046090243356628785,0.03763804014129252,3.3913565795701284,-11.367375161884612,-7.976018582314484,-0.4197904517007623,0.2422397556835806,0.22609043863800857,-0.7578250107923075,0.13046457579800141,-0.3654268376214777,-0.2349622618234763,-0.012366434832814542,0.009318898271285816,0.008697638386533427,-0.02436178917476518,0.7316908323280533,0.3684210526315789,0.3684210526315789,0.8421052631578947,0.631578947368421,0.3684210526315789,0.3684210526315789,0.8421052631578947,0.631578947368421
2009,00-0022127,DAL,J.Witten,18,14,12,1.5,1.1666666666666667,125,10.416666666666666,37,8.928571428571429,6.944444444444445,2.0555555555555554,37,0,2.0555555555555554,0,2.642857142857143,2.642857142857143,0,3.0833333333333335,3.0833333333333335,0,0.7777777777777778,0,0,0,0,0,0,NaN,NaN,4.847850252281848,0.40398752102348734,0.6111111111111112,0.5433505804285271,0.2693250140156582,0.44131957918119175,0,0,0,0.22122914989112474,0.01843576249092706,0.6666666666666666,0.012290508327284708,0.01815449746120938,0.8561298678600147,0.4312870168153194,0.03594058473460995,97,1.288659793814433,88,5.388888888888889,1.288659793814433,-2.0468499880955178,-0.20592990691238122,-0.17057083234129314,-0.01716082557603177,-0.11371388822752876,-0.011440550384021178,-2.3684443317668378,0.024351097161374815,0.03841849074351813,0.0020292580967812344,0.0032015408952931774,0.0013528387311874898,0.0021343605968621184,7.8128380329117615,-0.9181377925343961,6.894700240377365,0.383038902243187,0.5580598594936973,0.6510698360759801,-0.07651148271119967,0.21574447371341315,-0.018866420983663233,0.19687805272974992,0.010937669596097217,0.015410319550958082,0.01797870614278443,-0.0015722017486386028,9.084976681955574,0.7777777777777778,0.7222222222222222,0.4444444444444444,0.4444444444444444,0.8333333333333334,0.7222222222222222,0.4444444444444444,0.4444444444444444
2009,00-0022807,MIN,B.Berrian,18,12,11,1.6363636363636365,1.0909090909090908,134,12.181818181818182,58,11.166666666666666,7.444444444444445,3.2222222222222223,58,0,3.2222222222222223,0,4.833333333333333,4.833333333333333,0,5.2727272727272725,5.2727272727272725,0,0.6666666666666666,1,0,0,0.09090909090909091,0,0,NaN,0,2.224308570977247,0.20220987008884064,0.5,0.5600283048710492,0.12357269838762483,0.3220478867724592,0,0.08333333333333333,0,0.11322789479032613,0.010293444980938739,0.5,0.006290438599462563,0.019961499670102727,0.3958360656670023,0.09732809034069397,0.008848008212790361,185,0.7243243243243244,76,10.277777777777779,0.7243243243243244,10.045962220359971,2.3387217521596453,0.9132692927599974,0.21261106837814958,0.5581090122422206,0.1299289862310914,0.22141319290145056,0.36718386391664243,0.14221570489551655,0.033380351265149315,0.012928700445046959,0.02039910355092458,0.007900872494195363,4.381617906292945,-12.20327155567567,-7.821653649382724,-0.4345363138545958,0.36513482552441207,0.3983289005720859,-1.1093883232432427,0.09732229114571617,-0.35127826027203246,-0.2539559691263163,-0.014108664951462017,0.00811019092880968,0.008847481013246923,-0.0319343872974575,0.30836838411840173,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.2777777777777778,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.2777777777777778
2009,00-0022929,NO,D.Henderson,18,15,16,1.125,0.9375,182,11.375,34,12.133333333333333,10.11111111111111,1.8888888888888888,34,0,1.8888888888888888,0,2.2666666666666666,2.2666666666666666,0,2.125,2.125,0,0.8333333333333334,0,2,0.125,0,1,0.0625,0.5,Inf,10.130992342102436,0.6331870213814023,0.5555555555555556,0.8100171734594805,0.5628329078945797,0.738307048896958,0.1111111111111111,0,0.13333333333333333,0.2444371654595992,0.01527732284122495,0.6111111111111112,0.013579842525533289,0.01878695182619149,0.7071422283717147,0.5307698921319226,0.03317311825824516,190,0.9578947368421052,148,10.555555555555555,0.9578947368421052,10.009315998679488,5.934967536082682,0.625582249917468,0.3709354710051676,0.5560731110377494,0.3297204186712601,1.0121563095259456,0.1503026086075253,0.1376409788889119,0.009393913037970332,0.008602561180556995,0.008350144922640294,0.007646721049383996,6.215290065809528,-6.09361372238658,0.12167634342294709,0.006759796856830393,0.41435267105396856,0.3884556291130955,-0.38085085764916127,0.14416329850396042,-0.05002874165188653,0.09413455685207389,0.005229697602892994,0.009610886566930694,0.009010206156497527,-0.0031267963532429083,1.6263002200971832,0.3333333333333333,0.2777777777777778,0.6111111111111112,0.5,0.3333333333333333,0.2777777777777778,0.6666666666666666,0.5555555555555556
2009,00-0023921,DAL,M.Austin,18,11,13,1.3846153846153846,0.8461538461538461,116,8.923076923076923,72,10.545454545454545,6.444444444444445,4,72,0,4,0,6.545454545454546,6.545454545454546,0,5.538461538461538,5.538461538461538,0,0.6111111111111112,0,1,0.07692307692307693,0,1,0.07692307692307693,1,Inf,1.2690146207318573,0.09761650928706594,0.4444444444444444,0.7433881468859468,0.07050081226288096,0.458736513534611,0.05555555555555555,0,0.09090909090909091,0.08640664131268984,0.006646664716360757,0.5,0.004800368961816102,0.01645349508068903,0.5496906542984031,0.23615606324474112,0.01816585101882624,135,0.8592592592592593,44,7.5,0.8592592592592593,10.486336728397532,-2.5815725771228455,0.8066412867998102,-0.19858250593252658,0.5825742626887518,-0.14342069872904697,0.12101600907925275,0.24490326827963693,-0.006164128465748875,0.018838712944587457,-4.7416372813452885e-4,0.013605737126646497,-3.4245158143049307e-4,10.75884219286826,-19.976164300533934,-9.217322107665675,-0.5120734504258708,0.9780765629880236,0.8276032456052508,-1.536628023117995,0.18715257435332822,-0.3456492013202753,-0.1584966269669471,-0.008805368164830395,0.01701387039575711,0.014396351873332939,-0.02658840010155964,0.35281946998775243,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.2777777777777778,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.2777777777777778
