Player_ID_Name,Receptions,Targets,Rush_Attempts,Position,Total_Plays,Replacement_Level_Receiver,Replacement_Level_Rusher,Player_Model_ID_Rec,Player_Model_ID_Rush,air_iPA,yac_iPA,rush_iPA,air_iPAA,yac_iPAA,rush_iPAA,air_iPAR,yac_iPAR,rush_iPAR,total_iPAR,air_WAR,yac_WAR,rush_WAR,total_WAR
A.Becht-00-0019457,3,4,0,TE,7,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.1020984508278871,-0.058413993943055596,1.3734941020551262e-5,-0.4083938033115484,-0.23365597577222239,0,0,0,0,0,0,0,0,0
A.Fasano-00-0024268,32,54,0,TE,86,0,1,A.Fasano-00-0024268,Replacement_WR_TE_rush,0.0962042036561784,-0.0019919408448412592,1.3734941020551262e-5,5.195026997433634,-0.10756480562142799,0,10.708343342139537,3.0467908673035744,0,13.755134209443112,0.29272782481872245,0.08328837008368893,0,0.3760161949024114
A.Gates-00-0021547,63,87,0,TE,150,0,1,A.Gates-00-0021547,Replacement_WR_TE_rush,0.06751053728207061,0.04849957841440649,1.3734941020551262e-5,5.873416743540143,4.219463322053365,0,14.75598196556632,9.301480795099202,0,24.057462760665523,0.40337579454017475,0.25426923229363807,0,0.6576450268338128
A.Hernandez-00-0027713,78,113,5,TE,196,0,0,A.Hernandez-00-0027713,A.Hernandez-00-0027713,-0.07304983403829786,0.0928818624037546,0.004996799615128291,-8.254631246327659,10.49565045162427,0.024983998075641455,3.2824936972235843,17.096431767189554,0.0249153233705387,20.403840787783675,0.08973164281987263,0.46735532504612254,6.810958690698504e-4,0.5577680637350649
A.Hill-00-0026908,2,3,0,TE,5,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.1020984508278871,-0.058413993943055596,1.3734941020551262e-5,-0.3062953524836613,-0.17524198182916678,0,0,0,0,0,0,0,0,0
A.McCoy-00-0027783,13,24,0,TE,37,0,1,A.McCoy-00-0027783,Replacement_WR_TE_rush,-0.0480964384675343,0.02129014207746117,1.3734941020551262e-5,-1.1543145232208232,0.5109634098590681,0,1.2960482966484672,1.9128992644924023,0,3.2089475611408695,0.035429327078535175,0.052291827307090685,0,0.08772115438562586
A.Quarless-00-0027753,3,4,0,TE,7,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.1020984508278871,-0.058413993943055596,1.3734941020551262e-5,-0.4083938033115484,-0.23365597577222239,0,0,0,0,0,0,0,0,0
A.Reisner-00-0028267,1,1,0,TE,2,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.1020984508278871,-0.058413993943055596,1.3734941020551262e-5,-0.1020984508278871,-0.058413993943055596,0,0,0,0,0,0,0,0,0
Al.Smith-00-0023506,14,25,0,TE,39,0,1,Al.Smith-00-0023506,Replacement_WR_TE_rush,0.02660712109890699,0.016766785100121022,1.3734941020551262e-5,0.6651780274726747,0.41916962750302555,0,3.2176392981698525,1.8795194760794156,0,5.097158774249268,0.08795875540317805,0.05137934322408682,0,0.13933809862726484
B.Bajema-00-0023679,7,12,0,TE,19,0,1,B.Bajema-00-0023679,Replacement_WR_TE_rush,-0.00128932084751091,-0.022605364912709907,1.3734941020551262e-5,-0.01547185017013092,-0.27126437895251887,0,1.2097095597645142,0.42970354836414826,0,1.6394131081286625,0.033069134671724856,0.011746558828995451,0,0.04481569350072031
