GameID,Team,Opponent,Player_Name,Carries,Drives,Car_per_Drive,Total_Yards,Yards_per_Car,Yards_per_Drive,Fumbles,TDs,TD_to_Fumbles,Total_EPA,Success_Rate,EPA_per_Car,EPA_Ratio,TD_per_Car,Fumbles_per_Car,Fumbles_per_Drive,TD_Drive,EPA_per_Drive,Total_WPA,WPA_per_Drive,Win_Success_Rate,WPA_per_Car,WPA_Ratio,Total_Clutch_EPA,Clutch_EPA_per_Car,Clutch_EPA_per_Drive
2010010900,DAL,PHI,F.Jones,34,11,3.090909090909091,199,5.852941176470588,18.09090909090909,0,2,Inf,4.020588769001639,0.35294117647058826,0.1182526108529894,0.5700317475083121,0.058823529411764705,0,0,0.18181818181818182,0.36550806990923995,0.0747564833194474,0.006796043938131582,0.4411764705882353,0.0021987200976308057,0.5915064767404857,0.4180541099410157,0.012295709115912226,0.03800491908554688
2010010900,PHI,DAL,L.McCoy,13,8,1.625,56,4.3076923076923075,7,1,0,0,-2.630335509825543,0.38461538461538464,-0.20233350075581102,0.39318065947634956,0,0.07692307692307693,0.125,0,-0.3287919387281929,-0.09329741363035034,-0.011662176703793792,0.38461538461538464,-0.007176724125411565,0.2681099187876387,-0.23866944715554933,-0.018359188242734564,-0.029833680894443666
2010010901,NYJ,CIN,S.Greene,38,11,3.4545454545454546,173,4.552631578947368,15.727272727272727,0,2,Inf,-5.1017853358714405,0.3157894736842105,-0.13425750883872212,0.3977838226849715,0.05263157894736842,0,0,0.18181818181818182,-0.4637986668974037,-0.09651858309068395,-0.008774416644607631,0.3157894736842105,-0.0025399627129127356,0.4234311126847419,0.2314585549223268,0.006091014603219126,0.02104168681112062
2010010901,CIN,NYJ,C.Benson,22,10,2.2,171,7.7727272727272725,17.1,0,1,Inf,5.805862735539236,0.5,0.2639028516154198,0.6824898998490163,0.045454545454545456,0,0,0.1,0.5805862735539236,0.16180444078826578,0.01618044407882658,0.5,0.0073547473085575354,0.6616614519480898,0.6032024991095835,0.027418295414071977,0.06032024991095834
2010011000,ARI,GB,C.Wells,23,9,2.5555555555555554,156,6.782608695652174,17.333333333333332,0,1,Inf,4.274844646954801,0.4782608695652174,0.18586281073716523,0.6422193739258895,0.043478260869565216,0,0,0.1111111111111111,0.4749827385505334,0.07809364056043111,0.008677071173381234,0.4782608695652174,0.003395375676540483,0.6265620984102029,0.159358727465294,0.0069286403245780006,0.017706525273921556
2010011000,GB,ARI,R.Grant,19,9,2.111111111111111,91,4.7894736842105265,10.11111111111111,0,2,Inf,4.634258022037062,0.5789473684210527,0.24390831694931905,0.6797973522627012,0.10526315789473684,0,0,0.2222222222222222,0.514917558004118,0.08852455480389038,0.009836061644876708,0.5263157894736842,0.004659187094941598,0.6698101978691082,0.18075809099335274,0.00951358373649225,0.02008423233259475
2010011001,BAL,NE,R.Rice,49,12,4.083333333333333,236,4.816326530612245,19.666666666666668,0,4,Inf,9.323175853855675,0.42857142857142855,0.19026889497664642,0.6390015687514617,0.08163265306122448,0,0,0.3333333333333333,0.7769313211546396,0.28949378642382295,0.024124482201985247,0.4897959183673469,0.00590803645762904,0.8212638529799686,1.7156153922961874,0.035012559026452804,0.14296794935801563
2010011001,NE,BAL,K.Faulk,18,11,1.6363636363636365,64,3.5555555555555554,5.818181818181818,0,0,NaN,0.16160788315589203,0.4444444444444444,0.00897821573088289,0.5077587480331858,0,0,0,0,0.01469162574144473,-0.0060091426227262944,-5.462856929751177e-4,0.3888888888888889,-3.3384125681812745e-4,0.47438050042759583,0.025395807522412425,0.001410878195689579,0.0023087097747647657
2010011600,IND,BAL,J.Addai,23,9,2.5555555555555554,44,1.9130434782608696,4.888888888888889,0,0,NaN,-8.617852756979007,0.17391304347826086,-0.3746892503034351,0.13974779744523458,0,0,0,0,-0.9575391952198896,-0.10114342499625417,-0.01123815833291713,0.2608695652173913,-0.004397540217228442,0.27561506182626183,-0.12809627582722247,-0.00556940329683576,-0.014232919536358052
2010011600,BAL,IND,R.Rice,19,8,2.375,87,4.578947368421052,10.875,1,0,0,-3.2449772956859553,0.3157894736842105,-0.17078827872031344,0.35207857217085836,0,0.05263157894736842,0.125,0,-0.4056221619607444,-0.031211920767641725,-0.0039014900959552156,0.2631578947368421,-0.0016427326719811435,0.4312982057683129,-0.061011487892671364,-0.0032111309417195456,-0.0076264359865839204
2010011601,NO,ARI,P.Thomas,32,9,3.5555555555555554,174,5.4375,19.333333333333332,0,2,Inf,4.571147584919693,0.5,0.1428483620287404,0.5992760184115052,0.0625,0,0,0.2222222222222222,0.5079052872132992,0.20085615855271888,0.022317350950302097,0.5,0.006276754954772465,0.8231184204017364,0.4306194803080709,0.013456858759627216,0.04784660892311899
2010011601,ARI,NO,C.Wells,15,10,1.5,94,6.266666666666667,9.4,2,2,1,0.2521960050721346,0.2,0.01681306700480897,0.5090165149249312,0.13333333333333333,0.13333333333333333,0.2,0.2,0.025219600507213457,0.15616800830824426,0.015616800830824427,0.2,0.01041120055388295,0.7654601004116766,1.0732222741320026,0.07154815160880017,0.10732222741320026
2010011700,MIN,DAL,A.Peterson,33,12,2.75,109,3.303030303030303,9.083333333333334,0,0,NaN,-6.009939075161484,0.24242424242424243,-0.18211936591398437,0.3308804715632141,0,0,0,0,-0.5008282562634571,-0.02899634978493426,-0.002416362482077855,0.30303030303030304,-8.786772662101292e-4,0.4329400357487243,0.010760200049060847,3.26066668153359e-4,8.966833374217373e-4
