Season,Rusher_ID,Player_Name,Carries,Drives,Car_per_Drive,Total_Yards,Yards_per_Car,Yards_per_Drive,Fumbles,TDs,TD_to_Fumbles,Total_EPA,Success_Rate,EPA_per_Car,EPA_Ratio,TD_per_Car,Fumbles_per_Car,Fumbles_per_Drive,TD_Drive,EPA_per_Drive,Total_WPA,WPA_per_Drive,Win_Success_Rate,WPA_per_Car,WPA_Ratio,Total_Clutch_EPA,Clutch_EPA_per_Car,Clutch_EPA_per_Drive
2009,00-0026164,C.Johnson,358,150,2.3866666666666667,2133,5.9581005586592175,14.22,3,15,5,18.14963675395631,0.35195530726256985,0.05069730936859305,0.5305974009575152,0.04189944134078212,0.008379888268156424,0.02,0.1,0.12099757835970874,1.1869075221753083,0.007912716814502055,0.37988826815642457,0.0033153841401544924,0.5732370176985054,11.483756907998977,0.032077533262566973,0.07655837938665985
2009,00-0019641,T.Jones,332,140,2.3714285714285714,1400,4.216867469879518,10,2,14,7,-17.36364797649225,0.35542168674698793,-0.05230014450750677,0.4602911814885788,0.04216867469879518,0.006024096385542169,0.014285714285714285,0.1,-0.12402605697494463,-0.10981398756928315,-7.843856254948796e-4,0.39759036144578314,-3.3076502279904565e-4,0.48948705201577036,2.8394092936875843,0.008552437631589109,0.020281494954911317
2009,00-0022736,S.Jackson,325,144,2.2569444444444446,1432,4.406153846153846,9.944444444444445,2,4,2,-39.438122343533735,0.3630769230769231,-0.12134806874933457,0.4133555579248253,0.012307692307692308,0.006153846153846154,0.013888888888888888,0.027777777777777776,-0.27387584960787315,-1.1029573486419304,-0.007659426032235628,0.36615384615384616,-0.0033937149188982474,0.4058243543352929,-0.6949915482569909,-0.0021384355330984336,-0.0048263301962291035
2009,00-0025394,A.Peterson,315,138,2.282608695652174,1391,4.415873015873016,10.079710144927537,6,19,3.1666666666666665,-37.218498073209,0.3873015873015873,-0.11815396213717143,0.4190299049978111,0.06031746031746032,0.01904761904761905,0.043478260869565216,0.13768115942028986,-0.2696992614000652,-0.9087635677953682,-0.0065852432448939725,0.44126984126984126,-0.002884963707286883,0.4177582133437782,-3.821933721912798,-0.012133122926707296,-0.027695171897918827
2009,00-0024275,M.Jones-Drew,312,127,2.456692913385827,1391,4.458333333333333,10.952755905511811,2,15,7.5,1.6236434526968433,0.3557692307692308,0.005203985425310395,0.5035869758432056,0.04807692307692308,0.00641025641025641,0.015748031496062992,0.11811023622047244,0.012784594115723176,0.6486136812637397,0.005107194340659368,0.38461538461538464,0.002078890004050448,0.5423719090324193,4.714211599851552,0.01510965256362677,0.037119776376783875
2009,00-0023439,C.Benson,301,105,2.8666666666666667,1264,4.1993355481727574,12.038095238095238,1,6,6,-18.50315278245,0.3588039867109635,-0.061472268380232564,0.4486469064344405,0.019933554817275746,0.0033222591362126247,0.009523809523809525,0.05714285714285714,-0.17622050269,0.060769195943873706,5.787542470845115e-4,0.3920265780730897,2.018910164248296e-4,0.5059596287535384,1.4604457564779891,0.004851979257401958,0.013909007204552277
2009,00-0022984,R.Grant,282,137,2.0583941605839415,1252,4.439716312056738,9.138686131386862,2,12,6,1.1502185523133246,0.37943262411347517,0.004078789192600442,0.5034443138704463,0.0425531914893617,0.0070921985815602835,0.014598540145985401,0.08759124087591241,0.008395755856301639,0.3622389902066058,0.002644080220486174,0.4326241134751773,0.0012845354262645597,0.5462441507521415,2.182413152391715,0.007739053731885515,0.015930023010158504
2009,00-0026184,M.Forte,258,123,2.097560975609756,929,3.60077519379845,7.5528455284552845,5,4,0.8,-48.64728119318012,0.29844961240310075,-0.18855535346193844,0.348234268337465,0.015503875968992248,0.01937984496124031,0.04065040650406504,0.032520325203252036,-0.395506351164066,-0.9521852259466895,-0.00774134330037959,0.3449612403100775,-0.0036906404106460833,0.39625855641505153,-0.9838781093131654,-0.0038134810438494784,-0.007999009018806224
2009,00-0026195,R.Rice,254,121,2.0991735537190084,1341,5.2795275590551185,11.082644628099173,2,7,3.5,-4.7403581472523415,0.3779527559055118,-0.018662827351387173,0.4856671568331762,0.027559055118110236,0.007874015748031496,0.01652892561983471,0.05785123966942149,-0.03917651361365571,-0.7774879653305968,-0.006425520374633032,0.4094488188976378,-0.003060976241459043,0.42910596224207675,-2.3666975641246624,-0.009317706945372687,-0.019559484001030268
2009,00-0026988,K.Moreno,247,117,2.111111111111111,947,3.834008097165992,8.094017094017094,2,7,3.5,-26.94504253719517,0.3724696356275304,-0.109089241041276,0.41990891051111157,0.02834008097165992,0.008097165991902834,0.017094017094017096,0.05982905982905983,-0.23029950886491599,-0.45942628631489435,-0.0039267203958537975,0.4048582995951417,-0.0018600254506675885,0.4504244139022341,-1.6604271781708888,-0.006722377239558254,-0.014191685283511871
2009,00-0026163,R.Mendenhall,242,107,2.2616822429906542,1108,4.578512396694215,10.355140186915888,3,7,2.3333333333333335,-16.15433184505343,0.3677685950413223,-0.06675343737625385,0.4499708924782668,0.028925619834710745,0.012396694214876033,0.028037383177570093,0.06542056074766354,-0.15097506397246196,-0.22968597802458035,-0.002146597925463368,0.3884297520661157,-9.491156116718196e-4,0.47461543786453414,-0.31922724248344053,-0.001319120836708432,-0.0029834321727424348
2009,00-0017915,R.Williams,241,114,2.1140350877192984,1120,4.647302904564316,9.824561403508772,4,11,2.75,-1.4553935605931412,0.4107883817427386,-0.006038977429847059,0.4952039552024417,0.04564315352697095,0.016597510373443983,0.03508771929824561,0.09649122807017543,-0.01276661018064159,0.2830999291017842,0.0024833327114191597,0.4149377593360996,0.00117468850249703,0.5321582836627166,1.264526058142138,0.005246996091876091,0.011092333843352087
