Date,GameID,play_id,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam,DefensiveTeam,desc,PlayAttempted,Yards.Gained,sp,Touchdown,ExPointResult,TwoPointConv,DefTwoPoint,Safety,Onsidekick,PuntResult,PlayType,Passer,Passer_ID,PassAttempt,PassOutcome,PassLength,AirYards,YardsAfterCatch,QBHit,PassLocation,InterceptionThrown,Interceptor,Rusher,Rusher_ID,RushAttempt,RunLocation,RunGap,Receiver,Receiver_ID,Reception,ReturnResult,Returner,BlockingPlayer,Tackler1,Tackler2,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,RecFumbPlayer,Sack,Challenge.Replay,ChalReplayResult,Accepted.Penalty,PenalizedTeam,PenaltyType,PenalizedPlayer,Penalty.Yards,PosTeamScore,DefTeamScore,ScoreDiff,AbsScoreDiff,HomeTeam,AwayTeam,Timeout_Indicator,Timeout_Team,posteam_timeouts_pre,HomeTimeouts_Remaining_Pre,AwayTimeouts_Remaining_Pre,HomeTimeouts_Remaining_Post,AwayTimeouts_Remaining_Post,No_Score_Prob,Opp_Field_Goal_Prob,Opp_Safety_Prob,Opp_Touchdown_Prob,Field_Goal_Prob,Safety_Prob,Touchdown_Prob,ExPoint_Prob,TwoPoint_Prob,ExpPts,EPA,airEPA,yacEPA,Home_WP_pre,Away_WP_pre,Home_WP_post,Away_WP_post,Win_Prob,WPA,airWPA,yacWPA,Season
2017-01-07,2017010700,36,1,1,NA,15:00,15,3600,0,OAK,35,35,0,0,0,NA,HOU,OAK,S.Janikowski kicks 57 yards from OAK 35 to HOU 8. A.Hunt to HOU 25 for 17 yards (T.Carrie).,1,17,0,0,NA,NA,NA,0,0,NA,Kickoff,NA,None,0,NA,NA,0,0,0,NA,0,NA,NA,None,0,NA,NA,NA,None,0,NA,A.Hunt,NA,T.Carrie,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,HOU,OAK,0,None,3,3,3,3,3,0.0013736795911316055,0.16263150951886152,0.004440726358228023,0.25417863378642963,0.23308117414857005,0.0036557130265806544,0.34063856357019856,0,0,0.8149984757122131,0.0011865538543482934,NA,NA,0.5000068217219346,0.49999317827806544,0.5002796894107426,0.49972031058925737,0.5000068217219346,2.728676888080761e-4,NA,NA,2016
2017-01-07,2017010700,58,1,1,1,14:56,15,3596,4,HOU,25,75,10,3,0,0,HOU,OAK,(14:56) L.Miller left guard to HOU 28 for 3 yards (M.Edwards).,1,3,0,0,NA,NA,NA,0,0,NA,Run,NA,None,0,NA,NA,0,0,0,NA,0,NA,L.Miller,00-0029615,1,left,guard,NA,None,0,NA,NA,NA,M.Edwards,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,HOU,OAK,0,None,3,3,3,3,3,0.001395943233254911,0.16260416609365963,0.00443972032366261,0.25409740829772454,0.23310134816813394,0.0036550230220831347,0.3407063908614813,0,0,0.8161850295665614,-0.27921634484659297,NA,NA,0.5002796894107426,0.49972031058925737,0.49383961853258423,0.5061603814674158,0.5002796894107426,-0.006440070878158399,NA,NA,2016
2017-01-07,2017010700,79,1,1,2,14:27,15,3567,29,HOU,28,72,7,3,0,0,HOU,OAK,(14:27) (Shotgun) B.Osweiler pass incomplete short middle to L.Miller.,1,0,0,0,NA,NA,NA,0,0,NA,Pass,B.Osweiler,00-0029682,1,Incomplete Pass,Short,1,0,0,middle,0,NA,NA,None,0,NA,NA,L.Miller,00-0029615,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,HOU,OAK,0,None,3,3,3,3,3,0.0015370657501890107,0.17297413409262039,0.004264118949151864,0.2687730456790507,0.22533045646628833,0.00400179563765488,0.32311938342504476,0,0,0.5369686847199684,-0.9769368003671757,-0.7815772989628731,-0.19535950140430258,0.49383961853258423,0.5061603814674158,0.4657293082285244,0.5342706917714757,0.49383961853258423,-0.02811031030405986,-0.022383561537491714,-0.005726748766568146,2016
2017-01-07,2017010700,101,1,1,3,14:22,15,3562,5,HOU,28,72,7,13,0,1,HOU,OAK,(14:22) (Shotgun) B.Osweiler pass short right to R.Griffin to HOU 38 for 10 yards (M.Smith).,1,10,0,0,NA,NA,NA,0,0,NA,Pass,B.Osweiler,00-0029682,1,Complete,Short,6,4,0,right,0,NA,NA,None,0,NA,NA,R.Griffin,00-0030108,1,NA,NA,NA,M.Smith,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,HOU,OAK,0,None,3,3,3,3,3,0.0015538614561078743,0.20936818472723523,0.005390348759117909,0.3229222039905232,0.18602071197956116,0.004380479112894028,0.2703642099745607,0,0,-0.4399681156472073,2.4625290990947626,-0.4120071458306782,2.874536244925441,0.4657293082285244,0.5342706917714757,0.539823410491538,0.460176589508462,0.4657293082285244,0.07409410226301366,-0.011724021336645685,0.08581812359965935,2016
2017-01-07,2017010700,125,1,1,1,13:59,14,3539,23,HOU,38,62,10,20,0,0,HOU,OAK,(13:59) L.Miller right end to HOU 45 for 7 yards (P.Riley; D.Amerson).,1,7,0,0,NA,NA,NA,0,0,NA,Run,NA,None,0,NA,NA,0,0,0,NA,0,NA,L.Miller,00-0029615,1,right,end,NA,None,0,NA,NA,NA,P.Riley,D.Amerson,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,HOU,OAK,0,None,3,3,3,3,3,0.001325224898314588,0.11997843344949824,0.0014923129654563013,0.18672632080175916,0.2806196269417298,0.0036600584177211622,0.40619802252552073,0,0,2.0225609834475553,0.48753869318762844,NA,NA,0.539823410491538,0.46017658950846196,0.5571270116284189,0.44287298837158107,0.539823410491538,0.017303601136880897,NA,NA,2016
2017-01-07,2017010700,146,1,1,2,13:22,14,3502,37,HOU,45,55,3,33,0,1,HOU,OAK,(13:22) (Shotgun) B.Osweiler pass short right to R.Griffin to OAK 42 for 13 yards (K.Joseph).,1,13,0,0,NA,NA,NA,0,0,NA,Pass,B.Osweiler,00-0029682,1,Complete,Short,10,3,0,right,0,NA,NA,None,0,NA,NA,R.Griffin,00-0030108,1,NA,NA,NA,K.Joseph,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,HOU,OAK,0,None,3,3,3,3,3,0.001373743958820907,0.10505048297118831,9.911512118950657e-4,0.16047555583442866,0.2888325823832043,0.0037741627638624613,0.4395023208766003,0,0,2.5100996766351837,0.9495410946163001,0.7653792862352615,0.18416180838103857,0.5571270116284189,0.44287298837158107,0.5903476644029442,0.40965233559705583,0.5571270116284189,0.03322065277452524,0.025097697376204597,0.008122955398320642,2016
2017-01-07,2017010700,170,1,1,1,12:35,13,3455,47,OAK,42,42,10,34,0,0,HOU,OAK,"(12:35) (Shotgun) L.Miller right tackle to OAK 41 for 1 yard (T.Carrie, B.Irvin).",1,1,0,0,NA,NA,NA,0,0,NA,Run,NA,None,0,NA,NA,0,0,0,NA,0,NA,L.Miller,00-0029615,1,right,tackle,NA,None,0,NA,NA,NA,T.Carrie,B.Irvin,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,HOU,OAK,0,None,3,3,3,3,3,0.0010936175388315433,0.06820348905903706,2.5307692952011856e-4,0.10549998891727332,0.33868732392124773,0.003328436498765211,0.482934067135325,0,0,3.459640771251484,-0.4326434483965014,NA,NA,0.5903476644029442,0.40965233559705583,0.5772584781885242,0.42274152181147584,0.5903476644029442,-0.013089186214420012,NA,NA,2016
2017-01-07,2017010700,191,1,1,2,12:06,13,3426,29,OAK,41,41,9,34,0,0,HOU,OAK,(12:06) (Shotgun) B.Osweiler pass incomplete short right to R.Griffin (M.Smith).,1,0,0,0,NA,NA,NA,0,0,NA,Pass,B.Osweiler,00-0029682,1,Incomplete Pass,Short,4,0,0,right,0,NA,NA,None,0,NA,NA,R.Griffin,00-0030108,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,HOU,OAK,0,None,3,3,3,3,3,0.001297360223857241,0.07802442586854019,4.4923680146976614e-4,0.12207890255541018,0.3631436160370791,0.003590933151065537,0.4314155253625779,0,0,3.0269973228549825,-0.8481692132213805,-0.30542976980883996,-0.5427394434125405,0.5772584781885242,0.42274152181147584,0.5504359626298593,0.4495640373701407,0.5772584781885242,-0.026822515558664883,-0.009662365694014796,-0.017160149864650087,2016
2017-01-07,2017010700,213,1,1,3,12:01,13,3421,5,OAK,41,41,9,38,0,0,HOU,OAK,(12:01) (Shotgun) B.Osweiler scrambles up the middle to OAK 37 for 4 yards (B.Irvin).,1,4,0,0,NA,NA,NA,0,0,NA,Run,NA,None,0,NA,NA,0,0,0,NA,0,NA,B.Osweiler,00-0029682,1,middle,NA,NA,None,0,NA,NA,NA,B.Irvin,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,HOU,OAK,0,None,3,3,3,3,3,0.0014773143054390154,0.09829174188974077,6.767272267238395e-4,0.1575406118421892,0.39820011341165035,0.0046907413706304,0.3391227499536264,0,0,2.178828109633602,-0.9446453905842058,NA,NA,0.5504359626298593,0.4495640373701407,0.522953766945315,0.47704623305468496,0.5504359626298593,-0.02748219568454424,NA,NA,2016
2017-01-07,2017010700,234,1,1,4,11:25,12,3385,36,OAK,37,37,5,38,0,1,HOU,OAK,"(11:25) S.Lechler punts 30 yards to OAK 7, Center-J.Weeks, fair catch by T.Carrie. (the Punt Hang time was 4.1 seconds.)",1,0,0,0,NA,NA,NA,0,0,Clean,Punt,NA,None,0,NA,NA,0,0,0,NA,0,NA,NA,None,0,NA,NA,NA,None,0,Fair Catch,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,HOU,OAK,0,None,3,3,3,3,3,0.0021127021071490606,0.1180909375141514,0.0011000498241628416,0.18357889873391825,0.48991549609970886,0.006090395193578103,0.19911152052733155,0,0,1.2341827190493961,-0.3428832119875005,NA,NA,0.522953766945315,0.47704623305468496,0.5392301844231353,0.4607698155768647,0.522953766945315,0.01627641747782027,NA,NA,2016
