Season,Rusher_ID,Team,Player_Name,Carries,Drives,Car_per_Drive,Total_Yards,Yards_per_Car,Yards_per_Drive,Fumbles,TDs,TD_to_Fumbles,Total_EPA,Success_Rate,EPA_per_Car,EPA_Ratio,TD_per_Car,Fumbles_per_Car,Fumbles_per_Drive,TD_Drive,EPA_per_Drive,Total_WPA,WPA_per_Drive,Win_Success_Rate,WPA_per_Car,WPA_Ratio,Total_Clutch_EPA,Clutch_EPA_per_Car,Clutch_EPA_per_Drive
2009,00-0026899,NYJ,S.Greene,54,19,2.8421052631578947,304,5.62962962962963,16,0,2,Inf,5.408554460899414,0.42592592592592593,0.10015841594258175,0.5799784090253841,0.037037037037037035,0,0,0.10526315789473684,0.2846607610999692,0.2792191126838194,0.0146957427728326,0.5,0.005170724308959618,0.6290562632886665,0.9831663838559253,0.018206784886220836,0.051745599150311856
2009,00-0025394,MIN,A.Peterson,51,23,2.217391304347826,178,3.4901960784313726,7.739130434782608,2,3,1.5,-1.9778042153763102,0.3137254901960784,-0.0387804748113002,0.46951649412449553,0.058823529411764705,0.0392156862745098,0.08695652173913043,0.13043478260869565,-0.08599148762505697,0.24055186419523084,0.010458776704140471,0.35294117647058826,0.00471670321951433,0.6272165453607964,0.6272042468883349,0.012298122488006566,0.027269749864710213
2009,00-0019641,NYJ,T.Jones,45,21,2.142857142857143,117,2.6,5.571428571428571,0,1,Inf,-17.722544411620298,0.2222222222222222,-0.39383432025822884,0.17463303454938442,0.022222222222222223,0,0,0.047619047619047616,-0.8439306862676332,-0.42600715855672644,-0.020286055169367927,0.2222222222222222,-0.009466825745705032,0.22376718528948084,-0.47203992395237593,-0.010489776087830575,-0.022478091616779806
2009,00-0024245,IND,J.Addai,40,19,2.1052631578947367,180,4.5,9.473684210526315,1,1,1,-6.441824124762911,0.325,-0.16104560311907276,0.39400674505446326,0.025,0.025,0.05263157894736842,0.05263157894736842,-0.33904337498752163,-0.012732658393213915,-6.701399154323114e-4,0.375,-3.1831645983034786e-4,0.49233929559595796,-0.3686605235042943,-0.009216513087607358,-0.019403185447594437
2009,00-0024813,NO,P.Thomas,36,21,1.7142857142857142,143,3.9722222222222223,6.809523809523809,0,1,Inf,2.7904333034201025,0.4166666666666667,0.07751203620611397,0.5629809716039526,0.027777777777777776,0,0,0.047619047619047616,0.13287777635333822,0.1657027061833189,0.007890605056348518,0.4444444444444444,0.004602852949536636,0.6047081363644692,0.2962854290798269,0.00823015080777297,0.014108829956182234
2009,00-0026195,BAL,R.Rice,35,18,1.9444444444444444,226,6.457142857142857,12.555555555555555,1,2,2,3.7152709734419314,0.4,0.10615059924119803,0.5709685490846851,0.05714285714285714,0.02857142857142857,0.05555555555555555,0.1111111111111111,0.2064039429689962,0.1889686437376358,0.010498257985424211,0.37142857142857144,0.005399104106789595,0.6973393130640488,1.543901395693401,0.04411146844838288,0.08577229976074449
2009,00-0026162,DAL,F.Jones,30,18,1.6666666666666667,217,7.233333333333333,12.055555555555555,0,1,Inf,7.725986987278479,0.5666666666666667,0.2575328995759493,0.643292244887493,0.03333333333333333,0,0,0.05555555555555555,0.4292214992932488,0.12941456843221014,0.0071896982462338966,0.5333333333333333,0.004313818947740338,0.6543036801742153,0.4217872767332503,0.014059575891108343,0.02343262648518057
2009,00-0022178,BAL,W.McGahee,22,8,2.75,69,3.1363636363636362,8.625,0,1,Inf,-1.0844361085918603,0.3181818181818182,-0.049292550390539105,0.44879272774631107,0.045454545454545456,0,0,0.125,-0.13555451357398254,-0.017870934087386797,-0.0022338667609233497,0.45454545454545453,-8.12315185790309e-4,0.3699041793507409,-0.0026666820657579252,-1.2121282117081478e-4,-3.3333525821974065e-4
2009,00-0023439,CIN,C.Benson,21,10,2.1,169,8.047619047619047,16.9,0,1,Inf,4.95421112994122,0.47619047619047616,0.23591481571148668,0.6645293964830954,0.047619047619047616,0,0,0.1,0.49542111299412206,0.13624922131376668,0.013624922131376668,0.47619047619047616,0.006488058157798414,0.6434543514450645,0.5814383554127166,0.027687540733938885,0.05814383554127166
2009,00-0027007,ARI,C.Wells,19,11,1.7272727272727273,98,5.157894736842105,8.909090909090908,0,1,Inf,-0.3883475002578842,0.3684210526315789,-0.020439342118836013,0.48383433238113527,0.05263157894736842,0,0,0.09090909090909091,-0.035304318205262204,0.08922105504961468,0.008111005004510426,0.3684210526315789,0.004695845002611299,0.7090980925079311,0.1423936136613812,0.007494400719020063,0.012944873969216474
2009,00-0024217,NO,R.Bush,17,13,1.3076923076923077,117,6.882352941176471,9,0,1,Inf,4.848603764580362,0.5294117647058824,0.285211986151786,0.6683175360871085,0.058823529411764705,0,0,0.07692307692307693,0.37296952035233555,-0.013554409109629156,-0.0010426468545868582,0.5294117647058824,-7.973181829193622e-4,0.48555458816175523,0.21133067215934603,0.012431216009373296,0.016256205550718925
2009,00-0027003,IND,D.Brown,16,12,1.3333333333333333,46,2.875,3.8333333333333335,0,0,NaN,-2.763176661489924,0.3125,-0.17269854134312024,0.3316576385130458,0,0,0,0,-0.230264721790827,-0.014219346095953933,-0.0011849455079961612,0.375,-8.887091309971208e-4,0.4577454500692576,0.02925352770257397,0.001828345481410873,0.0024377939752144974
2009,00-0026262,DAL,T.Choice,15,8,1.875,43,2.8666666666666667,5.375,0,1,Inf,-3.01108514221945,0.26666666666666666,-0.20073900948129667,0.3321896816573799,0.06666666666666667,0,0,0.125,-0.37638564277743125,0.007489288663841409,9.361610829801761e-4,0.4,4.992859109227606e-4,0.5343673409841938,0.010611315412083176,7.074210274722117e-4,0.001326414426510397
