Season,Player,Team,Pos,name
2013,Albert McClellan,BAL,OLB,A.McClellan
2013,Anthony Levine,BAL,DB,A.Levine
2013,Arthur Brown,BAL,ILB,A.Brown
2013,Arthur Jones,BAL,DE,A.Jones
2013,Asa Jackson,BAL,CB,A.Jackson
2013,Bernard Pierce,BAL,RB,B.Pierce
2013,Bernard Scott,BAL,RB,B.Scott
2013,Billy Bajema,BAL,TE,B.Bajema
2013,Brandon Stokley,BAL,WR,B.Stokley
2013,Brandon Williams,BAL,DT,B.Williams
2013,Brynden Trawick,BAL,DB,B.Trawick
2013,Chris Canty,BAL,DE,C.Canty
2013,Chykie Brown,BAL,DB,C.Brown
2013,Corey Graham,BAL,CB,C.Graham
2013,Courtney Upshaw,BAL,OLB,C.Upshaw
2013,Dallas Clark,BAL,TE,D.Clark
2013,Daryl Smith,BAL,ILB,D.Smith
2013,DeAngelo Tyson,BAL,DE,D.Tyson
2013,Dennis Pitta,BAL,TE,D.Pitta
2013,Deonte Thompson,BAL,WR,D.Thompson
2013,Ed Dickson,BAL,TE,E.Dickson
2013,Elvis Dumervil,BAL,OLB,E.Dumervil
2013,Haloti Ngata,BAL,NT,H.Ngata
2013,Jacoby Jones,BAL,WR,J.Jones
2013,Jameel McClain,BAL,ILB,J.McClain
2013,James Ihedigbo,BAL,SS,J.Ihedigbo
2013,Jeromy Miles,BAL,SS,J.Miles
2013,Jimmy Smith,BAL,CB,J.Smith
2013,Joe Flacco,BAL,QB,J.Flacco
2013,John Simon,BAL,LB,J.Simon
2013,Josh Bynes,BAL,ILB,J.Bynes
2013,Justin Tucker,BAL,K,J.Tucker
2013,Kyle Juszczyk,BAL,RB,K.Juszczyk
2013,Lardarius Webb,BAL,CB,L.Webb
2013,Marcus Spears,BAL,DE,M.Spears
2013,Marlon Brown,BAL,WR,M.Brown
2013,Matt Elam,BAL,FS,M.Elam
2013,Omar Brown,BAL,DB,O.Brown
2013,Pernell McPhee,BAL,LB,P.McPhee
2013,Ray Rice,BAL,RB,R.Rice
2013,Sam Koch,BAL,P,S.Koch
2013,Shaun Draughn,BAL,RB,S.Draughn
2013,Tandon Doss,BAL,WR,T.Doss
2013,Terrell Suggs,BAL,OLB,T.Suggs
2013,Terrence Cody,BAL,NT,T.Cody
2013,Torrey Smith,BAL,WR,T.Smith
2013,Tyrod Taylor,BAL,QB,T.Taylor
2013,Vonta Leach,BAL,FB,V.Leach
2013,Andre Caldwell,DEN,WR,A.Caldwell
2013,Brandon Marshall,DEN,LB,B.Marshall
2013,Britton Colquitt,DEN,P,B.Colquitt
2013,Brock Osweiler,DEN,QB,B.Osweiler
2013,C.J. Anderson,DEN,RB,C.Anderson
2013,Champ Bailey,DEN,CB,C.Bailey
2013,Chris Harris,DEN,CB,C.Harris
2013,Danny Trevathan,DEN,OLB,D.Trevathan
2013,David Bruton,DEN,SS,D.Bruton
2013,Demaryius Thomas,DEN,WR,D.Thomas
2013,Derek Wolfe,DEN,DE,D.Wolfe
2013,Dominique Rodgers-Cromartie,DEN,CB,D.Rodgers-Cromartie
2013,Duke Ihenacho,DEN,SS,D.Ihenacho
2013,Eric Decker,DEN,WR,E.Decker
2013,Jacob Tamme,DEN,TE,J.Tamme
2013,Jeremy Mincey,DEN,DE,J.Mincey
2013,Joel Dreessen,DEN,TE,J.Dreessen
2013,Julius Thomas,DEN,TE,J.Thomas
2013,Kayvon Webster,DEN,CB,K.Webster
2013,Kevin Vickerson,DEN,DT,K.Vickerson
2013,Knowshon Moreno,DEN,RB,K.Moreno
2013,Malik Jackson,DEN,DE,M.Jackson
2013,Matt Prater,DEN,K,M.Prater
2013,Michael Huff,DEN,FS,M.Huff
2013,Mike Adams,DEN,FS,M.Adams
2013,Mitch Unrein,DEN,DT,M.Unrein
2013,Montee Ball,DEN,RB,M.Ball
2013,Nate Irving,DEN,OLB,N.Irving
2013,Omar Bolden,DEN,SS,O.Bolden
2013,Paris Lenon,DEN,MLB,P.Lenon
2013,Peyton Manning,DEN,QB,P.Manning
2013,Quentin Jammer,DEN,CB,Q.Jammer
2013,Rahim Moore,DEN,FS,R.Moore
2013,Robert Ayers,DEN,DE,R.Ayers
2013,Ronnie Hillman,DEN,RB,R.Hillman
2013,Shaun Phillips,DEN,DE,S.Phillips
2013,Steven Johnson,DEN,LB,S.Johnson
2013,Sylvester Williams,DEN,DT,S.Williams
2013,Terrance Knighton,DEN,DT,T.Knighton
2013,Tony Carter,DEN,CB,T.Carter
2013,Trindon Holliday,DEN,WR,T.Holliday
2013,Virgil Green,DEN,TE,V.Green
2013,Von Miller,DEN,OLB,V.Miller
2013,Wes Welker,DEN,WR,W.Welker
