Season,Player,Team,Pos,name
2017,ArDarius Stewart,NYJ,WR,A.Stewart
2017,Austin Seferian-Jenkins,NYJ,TE,A.Seferian-Jenkins
2017,Bilal Powell,NYJ,RB,B.Powell
2017,Bruce Carter,NYJ,OLB,B.Carter
2017,Buster Skrine,NYJ,CB,B.Skrine
2017,Chandler Catanzaro,NYJ,K,C.Catanzaro
2017,Charone Peake,NYJ,WR,C.Peake
2017,Claude Pelon,NYJ,DE,C.Pelon
2017,Darron Lee,NYJ,ILB,D.Lee
2017,Darryl Roberts,NYJ,CB,D.Roberts
2017,David Bass,NYJ,OLB,D.Bass
2017,Demario Davis,NYJ,ILB,D.Davis
2017,Derrick Jones,NYJ,CB,D.Jones
2017,Dylan Donahue,NYJ,LB,D.Donahue
2017,Ed Stinson,NYJ,DE,E.Stinson
2017,Edmond Robinson,NYJ,LB,E.Robinson
2017,Elijah McGuire,NYJ,RB,E.McGuire
2017,Eric Tomlinson,NYJ,TE,E.Tomlinson
2017,Freddie Bishop,NYJ,OLB,F.Bishop
2017,Jamal Adams,NYJ,SS,J.Adams
2017,Jeremy Kerley,NYJ,WR,J.Kerley
2017,Jermaine Kearse,NYJ,WR,J.Kearse
2017,Jordan Jenkins,NYJ,OLB,J.Jenkins
2017,Josh Martin,NYJ,OLB,J.Martin
2017,Josh McCown,NYJ,QB,J.McCown
2017,Julian Stanford,NYJ,ILB,J.Stanford
2017,Juston Burris,NYJ,CB,J.Burris
2017,Kony Ealy,NYJ,DE,K.Ealy
2017,Lac Edwards,NYJ,P,L.Edwards
2017,Lawrence Thomas,NYJ,FB,L.Thomas
2017,Leonard Williams,NYJ,DE,L.Williams
2017,Marcus Maye,NYJ,FS,M.Maye
2017,Matt Forte,NYJ,RB,M.Forte
2017,Mike Pennel,NYJ,DE,M.Pennel
2017,Morris Claiborne,NYJ,CB,M.Claiborne
2017,Muhammad Wilkerson,NYJ,DE,M.Wilkerson
2017,Neal Sterling,NYJ,WR,N.Sterling
2017,Obum Gwacham,NYJ,LB,O.Gwacham
2017,Robby Anderson,NYJ,WR,R.Anderson
2017,Robert Nelson,NYJ,DB,R.Nelson
2017,Rontez Miles,NYJ,FS,R.Miles
2017,Steve McLendon,NYJ,NT,S.McLendon
2017,Terrence Brooks,NYJ,DB,T.Brooks
2017,Travaris Cadet,NYJ,RB,T.Cadet
2017,Xavier Coleman,NYJ,CB,X.Coleman
2017,A.J. Francis,WAS,DT,A.Francis
2017,Anthony Lanier,WAS,DE,A.Lanier
2017,Bashaud Breeland,WAS,CB,B.Breeland
2017,Brian Quick,WAS,WR,B.Quick
2017,Chris Carter,WAS,LB,C.Carter
2017,Chris Thompson,WAS,RB,C.Thompson
2017,D.J. Swearinger,WAS,FS,D.Swearinger
2017,Deshazor Everett,WAS,SS,D.Everett
2017,Dustin Hopkins,WAS,K,D.Hopkins
2017,Fabian Moreau,WAS,CB,F.Moreau
