Season,Player,Team,Pos,name,GSIS_ID
2012,Aaron Rodgers,GB,QB,A.Rodgers,00-0023459
2012,Alex Smith,SF,QB,A.Smith,00-0023436
2012,Andrew Luck,IND,QB,A.Luck,00-0029668
2012,Andy Dalton,CIN,QB,A.Dalton,00-0027973
2012,Ben Roethlisberger,PIT,QB,B.Roethlisberger,00-0022924
2012,Blaine Gabbert,JAC,QB,B.Gabbert,00-0027948
2012,Brady Quinn,KC,QB,B.Quinn,00-0025409
2012,Brandon Weeden,CLE,QB,B.Weeden,00-0029677
2012,Brian Hoyer,ARI,QB,B.Hoyer,00-0026625
2012,Brock Osweiler,DEN,QB,B.Osweiler,00-0029682
2012,Bruce Gradkowski,CIN,QB,B.Gradkowski,00-0024408
2012,Byron Leftwich,PIT,QB,B.Leftwich,00-0022177
2012,Cam Newton,CAR,QB,C.Newton,00-0027939
2012,Carson Palmer,OAK,QB,C.Palmer,00-0021429
2012,Chad Henne,JAC,QB,C.Henne,00-0026197
2012,Charlie Batch,PIT,QB,C.Batch,00-0000865
2012,Chase Daniel,NO,QB,C.Daniel,00-0026544
2012,Christian Ponder,MIN,QB,C.Ponder,00-0027950
2012,Colin Kaepernick,SF,QB,C.Kaepernick,00-0027974
2012,Colt McCoy,CLE,QB,C.McCoy,00-0027688
2012,Dan Orlovsky,TB,QB,D.Orlovsky,00-0023578
2012,David Carr,NYG,QB,D.Carr,00-0020608
2012,Derek Anderson,CAR,QB,D.Anderson,00-0023645
2012,Drew Brees,NO,QB,D.Brees,00-0020531
2012,Eli Manning,NYG,QB,E.Manning,00-0022803
2012,Graham Harrell,GB,QB,G.Harrell,00-0027602
2012,Greg McElroy,NYJ,QB,G.McElroy,00-0028146
2012,Jake Locker,TEN,QB,J.Locker,00-0027946
2012,Jason Campbell,CHI,QB,J.Campbell,00-0023460
2012,Jay Cutler,CHI,QB,J.Cutler,00-0024226
2012,Joe Flacco,BAL,QB,J.Flacco,00-0026158
2012,John Skelton,ARI,QB,J.Skelton,00-0027754
2012,Josh Freeman,TB,QB,J.Freeman,00-0026993
2012,Josh Johnson,CLE,QB,J.Johnson,00-0026300
2012,Kellen Clemens,STL,QB,K.Clemens,00-0024264
2012,Kevin Kolb,ARI,QB,K.Kolb,00-0025423
2012,Kirk Cousins,WAS,QB,K.Cousins,00-0029604
2012,Kyle Orton,DAL,QB,K.Orton,00-0023541
2012,Mark Sanchez,NYJ,QB,M.Sanchez,00-0026898
2012,Matt Cassel,KC,QB,M.Cassel,00-0023662
2012,Matt Flynn,SEA,QB,M.Flynn,00-0026349
2012,Matt Hasselbeck,TEN,QB,M.Hasselbeck,00-0007091
2012,Matt Leinart,OAK,QB,M.Leinart,00-0024225
2012,Matt Moore,MIA,QB,M.Moore,00-0025708
2012,Matt Ryan,ATL,QB,M.Ryan,00-0026143
2012,Matt Schaub,HOU,QB,M.Schaub,00-0022787
2012,Matthew Stafford,DET,QB,M.Stafford,00-0026498
2012,Mike Vick,PHI,QB,M.Vick,00-0020245
2012,Nick Foles,PHI,QB,N.Foles,00-0029567
2012,Peyton Manning,DEN,QB,P.Manning,00-0010346
2012,Philip Rivers,SD,QB,P.Rivers,00-0022942
2012,Robert Griffin III,WAS,QB,R.III,00-0029665
2012,Russell Wilson,SEA,QB,R.Wilson,00-0029263
2012,Rusty Smith,TEN,QB,R.Smith,00-0027775
2012,Ryan Fitzpatrick,BUF,QB,R.Fitzpatrick,00-0023682
2012,Ryan Lindley,ARI,QB,R.Lindley,00-0029531
2012,Ryan Mallett,NE,QB,R.Mallett,00-0028012
2012,Ryan Tannehill,MIA,QB,R.Tannehill,00-0029701
2012,Sam Bradford,STL,QB,S.Bradford,00-0027854
2012,Shaun Hill,DET,QB,S.Hill,00-0020679
2012,T.J. Yates,HOU,QB,T.Yates,00-0028090
2012,Terrelle Pryor,OAK,QB,T.Pryor,00-0028825
2012,Thad Lewis,CLE,QB,T.Lewis,00-0027253
2012,Tim Tebow,NYJ,QB,T.Tebow,00-0027876
2012,Tom Brady,NE,QB,T.Brady,00-0019596
2012,Tony Romo,DAL,QB,T.Romo,00-0021678
2012,Trent Edwards,PHI,QB,T.Edwards,00-0025479
2012,Tyler Thigpen,BUF,QB,T.Thigpen,00-0025604
2012,Tyrod Taylor,BAL,QB,T.Taylor,00-0028118
2012,Adrian Peterson,MIN,RB,A.Peterson,00-0025394
2012,Ahmad Bradshaw,NYG,RB,A.Bradshaw,00-0025637
2012,Alex Green,GB,RB,A.Green,00-0028034
2012,Alfred Morris,WAS,RB,A.Morris,00-0029141
2012,Andre Brown,NYG,RB,A.Brown,00-0027094
2012,Anthony Allen,BAL,RB,A.Allen,00-0028163
2012,Anthony Dixon,SF,RB,A.Dixon,00-0027772
2012,Arian Foster,HOU,RB,A.Foster,00-0026796
2012,Armando Allen,CHI,RB,A.Allen,00-0028565
2012,Armond Smith,CAR,RB,A.Smith,00-0028706
2012,Baron Batch,PIT,RB,B.Batch,00-0028170
2012,Beanie Wells,ARI,RB,B.Wells,00-0027007
2012,Ben Tate,HOU,RB,B.Tate,00-0027890
2012,BenJarvus Green-Ellis,CIN,RB,B.Green-Ellis,00-0025860
2012,Bernard Pierce,BAL,RB,B.Pierce,00-0029264
2012,Bernard Scott,CIN,RB,B.Scott,00-0026941
2012,Bilal Powell,NYJ,RB,B.Powell,00-0028064
2012,Brandon Bolden,NE,RB,B.Bolden,00-0029239
2012,Brandon Jackson,CLE,RB,B.Jackson,00-0025450
2012,Brandon Jacobs,SF,RB,B.Jacobs,00-0023545
2012,Brian Leonard,CIN,RB,B.Leonard,00-0025439
2012,Bruce Miller,SF,FB,B.Miller,00-0028149
2012,Bryce Brown,PHI,RB,B.Brown,00-0029429
2012,C.J. Spiller,BUF,RB,C.Spiller,00-0027861
2012,Cedric Benson,GB,RB,C.Benson,00-0023439
2012,Cedric Peerman,CIN,RB,C.Peerman,00-0026932
2012,Chris Ivory,NO,RB,C.Ivory,00-0027531
2012,Chris Johnson,TEN,RB,C.Johnson,00-0026164
2012,Chris Ogbonnaya,CLE,RB,C.Ogbonnaya,00-0027140
2012,Chris Rainey,PIT,RB,C.Rainey,00-0029140
2012,Collin Mooney,TEN,RB,C.Mooney,00-0028876
2012,Curtis Brinkley,SD,RB,C.Brinkley,00-0026745
2012,Cyrus Gray,KC,RB,C.Gray,00-0029298
2012,D.J. Ware,TB,RB,D.Ware,00-0024559
2012,Da'Rel Scott,NYG,RB,D.Scott,00-0028159
2012,Dan Herron,CIN,RB,D.Herron,00-0029588
2012,Daniel Thomas,MIA,RB,D.Thomas,00-0028000
2012,Danny Woodhead,NE,RB,D.Woodhead,00-0026019
2012,Darrel Young,WAS,FB,D.Young,00-0026852
2012,Darren McFadden,OAK,RB,D.McFadden,00-0026144
2012,Darren Sproles,NO,RB,D.Sproles,00-0023564
2012,Daryl Richardson,STL,RB,D.Richardson,00-0029612
2012,David Wilson,NYG,RB,D.Wilson,00-0029251
2012,DeAngelo Williams,CAR,RB,D.Williams,00-0024242
2012,Delone Carter,IND,RB,D.Carter,00-0028057
2012,DeMarco Murray,DAL,RB,D.Murray,00-0028009
2012,Dion Lewis,PHI,RB,D.Lewis,00-0028087
2012,Donald Brown,IND,RB,D.Brown,00-0027003
2012,Doug Martin,TB,RB,D.Martin,00-0029613
2012,DuJuan Harris,GB,RB,D.Harris,00-0028409
2012,Evan Royster,WAS,RB,E.Royster,00-0028115
2012,Felix Jones,DAL,RB,F.Jones,00-0026162
2012,Frank Gore,SF,RB,F.Gore,00-0023500
2012,Fred Jackson,BUF,RB,F.Jackson,00-0024204
2012,Greg Jones,JAC,FB,G.Jones,00-0022897
2012,Henry Hynoski,NYG,FB,H.Hynoski,00-0028492
2012,Isaac Redman,PIT,RB,I.Redman,00-0026566
2012,Isaiah Pead,STL,RB,I.Pead,00-0029626
2012,Jackie Battle,SD,RB,J.Battle,00-0025701
2012,Jacob Hester,DEN,RB,J.Hester,00-0026209
2012,Jacquizz Rodgers,ATL,RB,J.Rodgers,00-0028083
2012,Jalen Parmele,JAC,RB,J.Parmele,00-0026316
2012,Jamaal Charles,KC,RB,J.Charles,00-0026213
2012,James Casey,HOU,FB,J.Casey,00-0027109
2012,James Starks,GB,RB,J.Starks,00-0027791
2012,Jamie Harper,TEN,RB,J.Harper,00-0028068
2012,Jason Snelling,ATL,FB,J.Snelling,00-0025631
2012,Javon Ringer,TEN,RB,J.Ringer,00-0027120
