Season,Team,Player_Name,Carries,Drives,Car_per_Drive,Total_Yards,Yards_per_Car,Yards_per_Drive,Fumbles,TDs,TD_to_Fumbles,Total_EPA,Success_Rate,EPA_per_Car,EPA_Ratio,TD_per_Car,Fumbles_per_Car,Fumbles_per_Drive,TD_Drive,EPA_per_Drive,Total_WPA,WPA_per_Drive,Win_Success_Rate,WPA_per_Car,WPA_Ratio,Total_Clutch_EPA,Clutch_EPA_per_Car,Clutch_EPA_per_Drive
2009,NYJ,S.Greene,104,32,3.25,430,4.134615384615385,13.4375,0,3,Inf,-15.337850098020024,0.3173076923076923,-0.14747932786557716,0.38030611706651923,0.028846153846153848,0,0,0.09375,-0.47930781556312574,-0.2169239223787086,-0.006778872574334644,0.3557692307692308,-0.002085806945949121,0.44359782720743235,0.4658853297804539,0.004479666632504364,0.014558916555639184
2009,NO,P.Thomas,71,28,2.5357142857142856,294,4.140845070422535,10.5,0,3,Inf,-2.280161593277735,0.4084507042253521,-0.032114952017996266,0.4773821455094618,0.04225352112676056,0,0,0.10714285714285714,-0.08143434261706196,0.021139587003526722,7.549852501259544e-4,0.4225352112676056,2.977406620215031e-4,0.507289045770784,0.2537243370208819,0.0035735822115617166,0.009061583465031496
2009,MIN,A.Peterson,69,25,2.76,267,3.869565217391304,10.68,4,3,0.75,-10.509297250518461,0.34782608695652173,-0.1523086558046154,0.3973118858615174,0.043478260869565216,0.057971014492753624,0.16,0.12,-0.42037189002073844,0.10581604914397202,0.004232641965758881,0.391304347826087,0.001533565929622783,0.5328223189350956,-1.331117664239829,-0.01929156035130187,-0.05324470656959316
2009,BAL,R.Rice,68,20,3.4,323,4.75,16.15,1,4,4,6.07819855816972,0.39705882352941174,0.08938527291426059,0.5682869853328115,0.058823529411764705,0.014705882352941176,0.05,0.2,0.303909927908486,0.2582818656561812,0.01291409328280906,0.4264705882352941,0.0037982627302379592,0.6905549646981353,1.654603904403516,0.024332410358875234,0.0827301952201758
2009,IND,J.Addai,66,25,2.64,244,3.696969696969697,9.76,1,1,1,-14.038069495452197,0.30303030303030304,-0.21269802265836663,0.34400651373235097,0.015151515151515152,0.015151515151515152,0.04,0.04,-0.5615227798180878,-0.0933574467344287,-0.0037342978693771477,0.3939393939393939,-0.001414506768703465,0.45920045034928864,-0.5517284255039601,-0.008359521598544849,-0.022069137020158402
2009,DAL,F.Jones,59,21,2.8095238095238093,291,4.932203389830509,13.857142857142858,1,2,2,-0.6879026275281322,0.4067796610169492,-0.011659366568273427,0.49212816741676774,0.03389830508474576,0.01694915254237288,0.047619047619047616,0.09523809523809523,-0.032757267977530105,0.004200078017292703,2.0000371510917633e-4,0.4067796610169492,7.118776300496107e-5,0.5028684171617652,0.3199624205158119,0.005423091873149355,0.015236305738848186
2009,ARI,C.Wells,38,19,2,250,6.578947368421052,13.157894736842104,2,3,1.5,4.527040652026936,0.3684210526315789,0.11913264873755094,0.5780140149774884,0.07894736842105263,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.2382652974751019,0.23426164886867537,0.012329560466772388,0.3684210526315789,0.006164780233386194,0.6943547879552183,1.2325810015972967,0.03243634214729728,0.06487268429459456
2009,CIN,C.Benson,22,10,2.2,171,7.7727272727272725,17.1,0,1,Inf,5.805862735539236,0.5,0.2639028516154198,0.6824898998490163,0.045454545454545456,0,0,0.1,0.5805862735539236,0.16180444078826578,0.01618044407882658,0.5,0.0073547473085575354,0.6616614519480898,0.6032024991095835,0.027418295414071977,0.06032024991095834
2009,AFC,R.Rice,20,8,2.5,101,5.05,12.625,0,2,Inf,2.7776318547497842,0.45,0.1388815927374892,0.599020447953865,0.1,0,0,0.25,0.34720398184372303,0.22149225890000906,0.027686532362501133,0.65,0.011074612945000454,0.7769373661128808,0.3526195350027946,0.017630976750139728,0.04407744187534932
2009,GB,R.Grant,19,9,2.111111111111111,91,4.7894736842105265,10.11111111111111,0,2,Inf,4.634258022037062,0.5789473684210527,0.24390831694931905,0.6797973522627012,0.10526315789473684,0,0,0.2222222222222222,0.514917558004118,0.08852455480389038,0.009836061644876708,0.5263157894736842,0.004659187094941598,0.6698101978691082,0.18075809099335274,0.00951358373649225,0.02008423233259475
2009,NE,K.Faulk,18,11,1.6363636363636365,64,3.5555555555555554,5.818181818181818,0,0,NaN,0.16160788315589203,0.4444444444444444,0.00897821573088289,0.5077587480331858,0,0,0,0,0.01469162574144473,-0.0060091426227262944,-5.462856929751177e-4,0.3888888888888889,-3.3384125681812745e-4,0.47438050042759583,0.025395807522412425,0.001410878195689579,0.0023087097747647657
2009,SD,L.Tomlinson,18,11,1.6363636363636365,61,3.388888888888889,5.545454545454546,1,1,1,-5.777485043901494,0.2777777777777778,-0.3209713913278608,0.2227046819749517,0.05555555555555555,0.05555555555555555,0.09090909090909091,0.09090909090909091,-0.525225913081954,-0.14693968885600114,-0.013358153532363741,0.2777777777777778,-0.00816331604755562,0.3093562939988787,-0.21860683806083367,-0.012144824336712982,-0.019873348914621242
2009,PHI,L.McCoy,13,8,1.625,56,4.3076923076923075,7,1,0,0,-2.630335509825543,0.38461538461538464,-0.20233350075581102,0.39318065947634956,0,0.07692307692307693,0.125,0,-0.3287919387281929,-0.09329741363035034,-0.011662176703793792,0.38461538461538464,-0.007176724125411565,0.2681099187876387,-0.23866944715554933,-0.018359188242734564,-0.029833680894443666
