Season,Team,Player_Name,Attempts,Completions,Drives,Comp_Perc,Total_Yards,Total_Raw_AirYards,Total_Comp_AirYards,Yards_per_Att,Yards_per_Comp,Yards_per_Drive,Raw_AirYards_per_Att,Comp_AirYards_per_Att,Raw_AirYards_per_Comp,Comp_AirYards_per_Comp,Raw_AirYards_per_Drive,Comp_AirYards_per_Drive,PACR,TimesHit,TimesHit_per_Drive,Interceptions,TDs,Air_TDs,aPACR,Air_TD_Rate,TD_to_Int,Total_EPA,Success_Rate,EPA_per_Att,EPA_per_Comp,EPA_Comp_Perc,TD_per_Att,Air_TD_per_Att,Int_per_Att,TD_per_Comp,Air_TD_per_Comp,TD_per_Drive,Air_TD_per_Drive,Int_per_Drive,EPA_per_Drive,Total_WPA,Win_Success_Rate,WPA_per_Att,WPA_per_Comp,WPA_Comp_Perc,WPA_per_Drive,Total_Clutch_EPA,Clutch_EPA_per_Att,Clutch_EPA_per_Drive,airEPA_Comp,airEPA_Incomp,Total_Raw_airEPA,Raw_airEPA_per_Att,Raw_airEPA_per_Drive,epa_PACR,airEPA_per_Att,airEPA_per_Comp,airEPA_per_Drive,air_Success_Rate,air_Comp_Success_Rate,airWPA_Comp,airWPA_Incomp,Total_Raw_airWPA,wpa_PACR,Raw_airWPA_per_Att,Raw_airWPA_per_Drive,airWPA_per_Att,airWPA_per_Comp,airWPA_per_Drive,air_Win_Success_Rate,air_Comp_Win_Success_Rate,yacEPA_Comp,yacEPA_Drop,Total_yacEPA,yacEPA_per_Att,yacEPA_per_Comp,yacEPA_Rec_per_Drive,yacEPA_Drop_per_Drive,yacWPA_Comp,yacWPA_Drop,Total_yacWPA,yacWPA_per_Att,yacWPA_per_Comp,yacWPA_Comp_per_Drive,yacWPA_Drop_per_Drive,yac_Success_Rate,yac_Rec_Success_Rate,yac_Win_Success_Rate,yac_Comp_Win_Success_Rate
2009,NO,B.Favre,126,83,29,0.6587301587301587,896,956,493,7.111111111111111,10.795180722891565,30.896551724137932,7.587301587301587,3.9126984126984126,11.518072289156626,5.9397590361445785,32.96551724137931,17,0.9372384937238494,11,0.3793103448275862,4,3,3,0.8117154811715481,1,0.75,4.886325194809718,0.5079365079365079,0.03878035868896602,0.7574414865450921,0.42499678003572366,0.023809523809523808,0.023809523809523808,0.031746031746031744,0.03614457831325301,0.03614457831325301,0.10344827586206896,0.10344827586206896,0.13793103448275862,0.16849397223481785,-0.34354581996460676,0.47619047619047616,-0.002726554126703228,0.021153128303953172,0.37795726077169856,-0.01184640758498644,-3.166232679311456,-0.025128830788186157,-0.10918043721763641,20.168218661217317,33.708052039652785,53.876270700870094,0.4275894500069055,1.8578024379610378,0.0906953122635269,0.1600652274699787,0.24299058627972672,0.6954558159040454,0.5634920634920635,0.30952380952380953,0.6559448753444463,1.0702107981497968,1.7261556734942431,-0.19902366005562505,0.013699648202335263,0.05952260943083597,0.0052059117090829075,0.007902950305354775,0.02261878880498091,0.5634920634920635,0.30952380952380953,42.699424722025334,-91.6893702280857,-48.98994550606038,-0.3888090913179395,0.5144509002653654,1.4723939559319081,-3.161702421658128,1.099764773883667,-3.169466267342517,-2.06970149345885,-0.016426202329038492,0.013250177998598397,0.037922923237367824,-0.10929194025319024,0.5714285714285714,0.5317460317460317,0.5158730158730159,0.48412698412698413
2009,NYJ,P.Manning,114,71,32,0.6228070175438597,842,1020,522,7.385964912280702,11.859154929577464,26.3125,8.947368421052632,4.578947368421052,14.366197183098592,7.352112676056338,31.875,16.3125,0.8254901960784313,5,0.15625,3,5,3,0.7911764705882353,0.6,1.6666666666666667,17.240567239872668,0.49122807017543857,0.15123304596379533,0.8339598001464777,0.4791970782579741,0.043859649122807015,0.02631578947368421,0.02631578947368421,0.07042253521126761,0.04225352112676056,0.15625,0.09375,0.09375,0.5387677262460209,0.5219686235662219,0.45614035087719296,0.004578672136545806,0.025153392374841505,0.4691499733799499,0.016311519486444433,1.5304246970043918,0.013424778043898173,0.04782577178138724,25.22568172759898,43.265304231612966,68.49098595921195,0.6007981224492277,2.1403433112253736,0.25172023731911003,0.22127790989121915,0.35529129193801384,0.7883025539874682,0.6578947368421053,0.35964912280701755,0.6852453027243133,1.6084222513166055,2.293667554040919,0.2275694324779684,0.020119890824920342,0.07167711106377872,0.006010923708108011,0.009651342291891737,0.02141391571013479,0.6491228070175439,0.35964912280701755,33.98546408280094,-85.23588280214022,-51.25041871933928,-0.44956507648543226,0.4786685082084639,1.0620457525875293,-2.663621337566882,1.1006455558894337,-2.8723444863641308,-1.771698930474697,-0.015541218688374535,0.01550205008294977,0.0343951736215448,-0.08976076519887909,0.45614035087719296,0.43859649122807015,0.45614035087719296,0.43859649122807015
2009,IND,D.Brees,104,70,28,0.6730769230769231,779,738,382,7.490384615384615,11.128571428571428,27.821428571428573,7.096153846153846,3.673076923076923,10.542857142857143,5.457142857142857,26.357142857142858,13.642857142857142,1.0555555555555556,6,0.21428571428571427,3,4,1,0.981029810298103,0.25,1.3333333333333333,22.00998931287719,0.5096153846153846,0.21163451262381916,0.8757280918202128,0.515445474112318,0.038461538461538464,0.009615384615384616,0.028846153846153848,0.05714285714285714,0.014285714285714285,0.14285714285714285,0.03571428571428571,0.10714285714285714,0.7860710468884712,0.9797721467892363,0.5,0.00942088602681958,0.02521572012758186,0.5595424831409544,0.03499186238532987,3.6363595437286236,0.034964995612775225,0.1298699837045937,11.08981070330137,28.93055321224951,40.02036391555088,0.38481119149568155,1.4292987112696742,0.5499697443861743,0.10663279522405164,0.15842586719001958,0.39606466797504897,0.4807692307692308,0.2692307692307692,0.5563465792389326,0.7335983139510922,1.2899448931900248,0.7595457387069199,0.012403316280673315,0.04606946047107231,0.00534948633883589,0.007947808274841895,0.019869520687104736,0.5,0.2980769230769231,50.21115572411353,-69.27453032678721,-19.063374602673687,-0.18330167887186238,0.7173022246301933,1.7932555615754833,-2.474090368813829,1.2087538296917975,-1.5596537980016263,-0.3508999683098288,-0.003374038156825277,0.017267911852739962,0.04316977963184991,-0.05570192135720094,0.5384615384615384,0.5,0.49038461538461536,0.4519230769230769
2009,BAL,P.Manning,86,53,23,0.6162790697674418,400,649,261,4.651162790697675,7.547169811320755,17.391304347826086,7.546511627906977,3.0348837209302326,12.245283018867925,4.9245283018867925,28.217391304347824,11.347826086956522,0.6163328197226502,6,0.2608695652173913,4,4,4,0.4622496147919877,1,1,-7.4586019641014865,0.46511627906976744,-0.08672792981513357,0.7063692699245088,0.383645517766248,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.07547169811320754,0.07547169811320754,0.17391304347826086,0.17391304347826086,0.17391304347826086,-0.32428704191745594,0.13125527503660497,0.47674418604651164,0.0015262241283326159,0.013743377886786406,0.45676604507734203,0.0057067510885480425,-0.15450327150692164,-0.0017965496686851354,-0.006717533543779202,11.676024022471582,40.35236212473204,52.02838614720362,0.6049812342698095,2.262103745530592,-0.14335639669850428,0.13576772119153002,0.22030234004663363,0.5076532183683297,0.5581395348837209,0.27906976744186046,0.16946756088529882,0.624579335122848,0.7940468960081469,0.16529914756477845,0.009233103441955198,0.03452377808731073,0.0019705530335499865,0.003197501148779223,0.0073681548210999485,0.5697674418604651,0.27906976744186046,25.761547283527385,-85.24853539483249,-59.48698811130511,-0.6917091640849431,0.4860669298778752,1.1200672731968428,-3.706458060644891,0.5589314671143807,-1.2217230880859227,-0.6627916209715419,-0.00770687931362258,0.010545876738007182,0.024301368135407855,-0.05311839513417055,0.4186046511627907,0.4186046511627907,0.4069767441860465,0.4069767441860465
2009,ARI,A.Rodgers,74,51,20,0.6891891891891891,688,702,364,9.297297297297296,13.490196078431373,34.4,9.486486486486486,4.918918918918919,13.764705882352942,7.137254901960785,35.1,18.2,0.98005698005698,8,0.4,1,7,2,1.1153846153846154,0.2857142857142857,7,33.39648618187958,0.581081081081081,0.45130386732269706,1.129555790436581,0.5690235504106019,0.0945945945945946,0.02702702702702703,0.013513513513513514,0.13725490196078433,0.0392156862745098,0.35,0.1,0.05,1.669824309093979,0.9429831485919289,0.5675675675675675,0.012743015521512552,0.026693965538048214,0.6257057211228225,0.047149157429596446,2.082606416815115,0.028143329956961016,0.10413032084075576,18.74413469703898,30.583636148570104,49.32777084560909,0.6665914979136364,2.4663885422804546,0.6770321384764617,0.2532991175275538,0.36753205288311724,0.937206734851949,0.6891891891891891,0.4189189189189189,0.551412766262449,0.48724294551683767,1.0386557117792867,0.9078880883219096,0.014035887997017387,0.05193278558896434,0.007451523868411472,0.010812015024753902,0.027570638313122446,0.7297297297297297,0.4594594594594595,38.86321061522664,-54.79449527895615,-15.931284663729507,-0.21528763059093928,0.7620237375534635,1.943160530761332,-2.7397247639478075,0.80997947617801,-0.9056520393653679,-0.09567256318735781,-0.0012928724755048352,0.015881950513294316,0.0404989738089005,-0.045282601968268395,0.5540540540540541,0.527027027027027,0.5,0.47297297297297297
2009,MIN,T.Romo,66,39,24,0.5909090909090909,394,417,234,5.96969696969697,10.102564102564102,16.416666666666668,6.318181818181818,3.5454545454545454,10.692307692307692,6,17.375,9.75,0.9448441247002398,7,0.2916666666666667,1,3,1,0.9808153477218226,0.3333333333333333,3,-0.14475581850172003,0.45454545454545453,-0.002193269977298788,0.6585685289850266,0.3991848318028231,0.045454545454545456,0.015151515151515152,0.015151515151515152,0.07692307692307693,0.02564102564102564,0.125,0.041666666666666664,0.041666666666666664,-0.006031492437571668,-0.03411345057772189,0.4696969696969697,-5.168704632988165e-4,0.02264423517149947,0.4260047078516972,-0.0014213937740717452,0.7307122545073422,0.01107139779556579,0.030446343937805927,0.03651739903719475,8.51936490886436,8.555882307901554,0.1296345804227508,0.35649509616256475,-0.01691886509098363,5.532939248059811e-4,9.363435650562757e-4,0.001521558293216448,0.5303030303030303,0.3484848484848485,0.14251386512406858,-1.2179442672681764,-1.075430402144108,0.03172074223465247,-0.016294400032486483,-0.04480960008933783,0.0021593009867283118,0.003654201669847912,0.005938077713502857,0.5151515151515151,0.3484848484848485,25.64765523137884,-34.34829335778211,-8.700638126403273,-0.1318278504000496,0.6576321854199703,1.0686523013074518,-1.431178889907588,0.7406113065644107,0.3007056450019753,1.0413169515663858,0.015777529569187664,0.018990033501651554,0.03085880444018378,0.012529401875082303,0.5303030303030303,0.42424242424242425,0.5757575757575758,0.42424242424242425
2009,DAL,D.McNabb,63,35,25,0.5555555555555556,540,608,256,8.571428571428571,15.428571428571429,21.6,9.65079365079365,4.063492063492063,17.37142857142857,7.314285714285714,24.32,10.24,0.8881578947368421,10,0.4,1,6,1,1.011513157894737,0.16666666666666666,6,17.21063308722667,0.4444444444444444,0.27318465217820115,1.1584091776944123,0.4624532456834038,0.09523809523809523,0.015873015873015872,0.015873015873015872,0.17142857142857143,0.02857142857142857,0.24,0.04,0.04,0.6884253234890668,0.3229048335860091,0.47619047619047616,0.005125473548984271,0.018414080586581394,0.5245220277101155,0.012916193343440362,1.9535760962050752,0.031009144384207543,0.078143043848203,9.475540513999468,27.53964897681188,37.015189490811345,0.5875426903303388,1.4806075796324538,0.46496136650871506,0.15040540498411853,0.27072972897141334,0.3790216205599787,0.5873015873015873,0.2857142857142857,0.07382168842258692,0.20956269696491103,0.28338438538749794,1.1394588066116316,0.004498164847420602,0.011335375415499917,0.0011717728321045543,0.0021091910977881975,0.0029528675369034766,0.6031746031746031,0.2857142857142857,31.06878070530496,-50.873337108889636,-19.804556403584677,-0.3143580381521377,0.8876794487229989,1.2427512282121984,-2.0349334843555855,0.5706711321077618,-0.5311506839092506,0.03952044819851115,6.273087015636691e-4,0.016304889488793193,0.02282684528431047,-0.021246027356370024,0.47619047619047616,0.42857142857142855,0.5079365079365079,0.4126984126984127
2009,AFC,A.Rodgers,48,31,11,0.6458333333333334,429,447,201,8.9375,13.838709677419354,39,9.3125,4.1875,14.419354838709678,6.483870967741935,40.63636363636363,18.272727272727273,0.959731543624161,1,0.09090909090909091,2,3,0,0.8926174496644296,0,1.5,18.03677591148906,0.5833333333333334,0.3757661648226887,1.1687946549593395,0.6241224987260516,0.0625,0,0.041666666666666664,0.0967741935483871,0,0.2727272727272727,0,0.18181818181818182,1.6397069010444598,0.5486686135209241,0.5208333333333334,0.011430596115019252,0.03623238140109862,0.6072278799631141,0.049878964865538555,2.0051766505071913,0.041774513552233154,0.18228878640974466,7.298652046313169,18.2366614549772,25.535313501290368,0.5319856979435493,2.3213921364809424,0.7063463665945442,0.1520552509648577,0.2354403885907474,0.6635138223921063,0.5833333333333334,0.3333333333333333,0.29151698871852416,0.7751481984501652,1.0666651871686894,0.5143775386326113,0.022222191399347696,0.09696956246988085,0.006073270598302587,0.009403773829629812,0.026501544428956744,0.5625,0.3125,28.933982257426358,-36.43251984722767,-7.498537589801308,-0.1562195331208606,0.9333542663685922,2.6303620234023963,-3.312047258838879,0.8316868347155332,-1.3496834083632985,-0.5179965736477653,-0.010791595284328444,0.02682860757146881,0.07560789406504848,-0.12269849166939077,0.5208333333333334,0.5,0.5,0.4791666666666667
2009,NFC,M.Schaub,43,27,12,0.627906976744186,419,502,259,9.744186046511627,15.518518518518519,34.916666666666664,11.674418604651162,6.023255813953488,18.59259259259259,9.592592592592593,41.833333333333336,21.583333333333332,0.8346613545816733,1,0.08333333333333333,1,3,0,0.8645418326693227,0,3,14.238466349647608,0.46511627906976744,0.3311271244104095,1.16021382528311,0.564509934000913,0.06976744186046512,0,0.023255813953488372,0.1111111111111111,0,0.25,0,0.08333333333333333,1.186538862470634,0.56180335596946,0.46511627906976744,0.013065194324871162,0.04125306620452748,0.5967761968910394,0.04681694633078833,1.3992183248771977,0.03253996104365576,0.1166015270730998,9.493189955810749,19.848061971688548,29.341251927499293,0.6823546959883556,2.4451043272916078,0.4852712619362704,0.22077185943745928,0.3515996279929907,0.7910991629842291,0.6511627906976745,0.3488372093023256,0.3313578289044547,0.657287805089973,0.9886456339944276,0.5682555373249405,0.022991758930102968,0.0823871361662023,0.007705996021033831,0.01227251218164647,0.027613152408704558,0.6511627906976745,0.3488372093023256,21.832583326833223,-36.935368904684914,-15.102785577851687,-0.3512275715779462,0.8086141972901194,1.8193819439027685,-3.077947408723743,0.7824749586177874,-1.2093172366427551,-0.42684227802496766,-0.009926564605231806,0.028980554022881015,0.06520624655148229,-0.10077643638689626,0.4883720930232558,0.4418604651162791,0.4883720930232558,0.4418604651162791
2009,PHI,T.Romo,35,23,10,0.6571428571428571,244,172,88,6.9714285714285715,10.608695652173912,24.4,4.914285714285715,2.5142857142857142,7.478260869565218,3.8260869565217392,17.2,8.8,1.4186046511627908,3,0.3,1,2,1,1.3895348837209303,0.5,2,15.511708918019899,0.5142857142857142,0.4431916833719971,1.0262214460130734,0.6455074717922178,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.08695652173913043,0.043478260869565216,0.2,0.1,0.1,1.55117089180199,0.49321554961776076,0.6,0.014091872846221737,0.027966829688406473,0.7658526870427781,0.04932155496177608,1.151348583997465,0.032895673828499006,0.1151348583997465,-0.3796512607819411,7.11160873844725,6.731957477665309,0.19234164221900882,0.6731957477665309,2.304189972899156,-0.010847178879484031,-0.01650657655573657,-0.03796512607819411,0.42857142857142855,0.2571428571428571,0.047829360325690795,0.13772617222669586,0.18555553255238666,2.6580482017075644,0.005301586644353905,0.018555553255238666,0.0013665531521625941,0.0020795374054648173,0.004782936032569079,0.45714285714285713,0.2857142857142857,23.98274451908263,-15.202993078728042,8.77975144035459,0.25085004115298826,1.04272802256881,2.398274451908263,-1.5202993078728042,0.5954077225076582,-0.287747705442284,0.3076600170653741,0.008790286201867831,0.02588729228294166,0.05954077225076582,-0.0287747705442284,0.6,0.5428571428571428,0.6285714285714286,0.5428571428571428
