Player_ID_Name,Receptions,Targets,Rush_Attempts,Position,Total_Plays,Replacement_Level_Rusher,Replacement_Level_Receiver,Player_Model_ID_Rush,Player_Model_ID_Rec,air_iPA,yac_iPA,rush_iPA,air_iPAA,yac_iPAA,rush_iPAA,air_iPAR,yac_iPAR,rush_iPAR,total_iPAR,air_WAR,yac_WAR,rush_WAR,total_WAR
A.Abdullah-00-0032104,5,5,18,RB,28,1,1,Replacement_RB_rush,Replacement_RB_rec,-0.08793460204221944,-0.07846198807473256,-0.023899417065389318,-0.43967301021109717,-0.39230994037366285,-0.4301895071770077,0,0,0,0,0,0,0,0
A.Blue-00-0031075,12,16,100,RB,128,0,0,A.Blue-00-0031075,A.Blue-00-0031075,0.011949657209344319,-0.020170708684083185,0.0027866264558455505,0.1911945153495091,-0.32273133894533096,0.27866264558455506,1.5981481480250201,0.93266047025039,2.6686043521234866,5.199412970398896,0.05106004029126516,0.029798039216768327,0.08526058482704418,0.16611866433507766
A.Collins-00-0032426,11,11,31,RB,53,0,0,A.Collins-00-0032426,A.Collins-00-0032426,-0.01005454399263105,0.026861853899420085,-5.888473366655417e-4,-0.11059998391894155,0.29548039289362094,-0.01825426743663179,0.8566806385454723,1.1585622617156792,0.722627661590437,2.7378705618515884,0.02737052129674887,0.03701548935638208,0.02308759520322817,0.08747360585635912
A.Ellington-00-0030287,12,19,34,RB,65,0,0,A.Ellington-00-0030287,A.Ellington-00-0030287,0.010687508031335747,-0.004787786801518327,-0.0056984277926906135,0.20306265259537917,-0.09096794922884821,-0.19374654495148086,1.8738200913975485,1.3998098241910706,0.618833635271756,3.892463550860375,0.05986762208721284,0.04472322926484153,0.0197714275673467,0.12436227891940106
A.Foster-00-0026796,6,10,22,RB,38,0,0,A.Foster-00-0026796,A.Foster-00-0026796,-0.018945962102060288,0.003113202937605335,-0.0066040990316794095,-0.18945962102060288,0.031132029376053354,-0.14529017869694702,0.6898863994015915,0.815751910123379,0.38049699674161797,1.8861353062665884,0.02204152812326735,0.026062868733446203,0.012156690234470203,0.06026108709118375
A.Hunt-00-0031743,3,4,21,RB,28,0,1,A.Hunt-00-0031743,Replacement_RB_rec,-0.08793460204221944,-0.07846198807473256,0.0034812322497691805,-0.35173840816887775,-0.31384795229893026,0.07310587724515279,0,0,0.5749936356183285,0.5749936356183285,0,0,0.018370761332843127,0.018370761332843127
A.Janovich-00-0032956,5,7,4,RB,16,1,0,Replacement_RB_rush,A.Janovich-00-0032956,0.004102703801420684,-0.009331737120274944,-0.023899417065389318,0.028718926609944788,-0.0653221598419246,-0.09559766826155727,0.6442611409054808,0.48391175668120334,0,1.1281728975866843,0.020583823754626848,0.015460740497740336,0,0.036044564252367184
A.Morris-00-0029141,3,6,69,RB,78,0,1,A.Morris-00-0029141,Replacement_RB_rec,-0.08793460204221944,-0.07846198807473256,1.8122847370669122e-4,-0.5276076122533166,-0.4707719284483954,0.012504764685761694,0,0,1.6615645421976246,1.6615645421976246,0,0,0.05308616261639596,0.05308616261639596
A.Peterson-00-0025394,3,6,37,RB,46,0,1,A.Peterson-00-0025394,Replacement_RB_rec,-0.08793460204221944,-0.07846198807473256,-0.014612534033863703,-0.5276076122533166,-0.4707719284483954,-0.5406637592529571,0,0,0.3436146721664477,0.3436146721664477,0,0,0.010978318266157394,0.010978318266157394
A.Ripkowski-00-0031612,9,10,34,RB,53,0,0,A.Ripkowski-00-0031612,A.Ripkowski-00-0031612,0.0036837089662298287,-0.003902124211829026,1.1941675216046553e-4,0.03683708966229829,-0.03902124211829026,0.004060169573455828,0.9161831100844926,0.7455986386290354,0.8166403497966926,2.4784220985102206,0.02927159573591574,0.023821506520880432,0.026091253940144225,0.07918435619694039
A.Smith-00-0026855,6,9,10,RB,25,1,0,Replacement_RB_rush,A.Smith-00-0026855,-0.004987901563563536,0.009225342813271534,-0.023899417065389318,-0.04489111407207183,0.0830280853194438,-0.23899417065389317,0.7465203043079032,0.7891859779920369,0,1.53570628229994,0.023850953281968394,0.02521410038448078,0,0.04906505366644917
A.Williams-00-0031055,0,2,18,RB,20,1,1,Replacement_RB_rush,Replacement_RB_rec,-0.08793460204221944,-0.07846198807473256,-0.023899417065389318,-0.17586920408443887,-0.15692397614946513,-0.4301895071770077,0,0,0,0,0,0,0,0
B.Bolden-00-0029239,2,4,1,RB,7,1,1,Replacement_RB_rush,Replacement_RB_rec,-0.08793460204221944,-0.07846198807473256,-0.023899417065389318,-0.35173840816887775,-0.31384795229893026,-0.023899417065389318,0,0,0,0,0,0,0,0
B.Cunningham-00-0029795,16,21,21,RB,58,1,0,Replacement_RB_rush,B.Cunningham-00-0029795,0.003427294413896535,-0.0036451256440185485,-0.023899417065389318,0.07197318269182723,-0.07654763852438952,-0.5018877583731757,1.9185998255784356,1.5711541110449943,0,3.48975393662343,0.061298312373550705,0.05019759420481983,0,0.11149590657837054
B.Hill-00-0032298,0,1,2,RB,3,1,1,Replacement_RB_rush,Replacement_RB_rec,-0.08793460204221944,-0.07846198807473256,-0.023899417065389318,-0.08793460204221944,-0.07846198807473256,-0.047798834130778636,0,0,0,0,0,0,0,0
B.Powell-00-0028064,57,73,129,RB,259,0,0,B.Powell-00-0028064,B.Powell-00-0028064,-0.04866014287295152,-0.012519362568494345,0.016931394805052336,-3.552190429725461,-0.9139134675000872,2.1841499298517513,2.867035519356558,4.8138116619553895,5.267174731286973,12.948021912598922,0.09160036215399872,0.15379889387460982,0.16828361897049615,0.4136828749991047
