Player_ID_Name,Receptions,Targets,Rush_Attempts,Position,Total_Plays,Replacement_Level_Receiver,Replacement_Level_Rusher,Player_Model_ID_Rec,Player_Model_ID_Rush,air_iPA,yac_iPA,rush_iPA,air_iPAA,yac_iPAA,rush_iPAA,air_iPAR,yac_iPAR,rush_iPAR,total_iPAR,air_WAR,yac_WAR,rush_WAR,total_WAR
A.Derby-00-0031609,16,20,0,TE,36,0,1,A.Derby-00-0031609,Replacement_WR_TE_rush,-0.022061751884631876,0.022094745006490536,0.0068133300855834425,-0.4412350376926375,0.4418949001298107,0,2.3604451589122233,0.8869399946190832,0,3.2473851535313063,0.0754150515196749,0.02833729270790726,0,0.10375234422758214
A.Ellis-00-0032864,3,4,0,TE,7,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.14008400983024305,-0.02225225472446363,0.0068133300855834425,-0.5603360393209722,-0.08900901889785452,0,0,0,0,0,0,0,0,0
A.Fasano-00-0024268,8,14,0,TE,22,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.14008400983024305,-0.02225225472446363,0.0068133300855834425,-1.9611761376234027,-0.31153156614249083,0,0,0,0,0,0,0,0,0
A.Gates-00-0021547,53,93,0,TE,146,0,1,A.Gates-00-0021547,Replacement_WR_TE_rush,-0.007740876022667665,-0.03439508653842969,0.0068133300855834425,-0.7199014701080929,-3.198743048073961,0,12.30791144410451,-1.1292833586988436,0,11.178628085405666,0.39323166316835173,-0.036080042933864145,0,0.3571516202344876
A.Hooper-00-0032392,19,27,0,TE,46,0,1,A.Hooper-00-0032392,Replacement_WR_TE_rush,0.06824768062820415,0.0018777387142279564,0.0068133300855834425,1.842687376961512,0.05069894528415482,0,5.624955642378074,0.6515098228446728,0,6.276465465222747,0.1797145415406803,0.02081541554562013,0,0.20052995708630045
A.Seferian-Jenkins-00-0031418,13,20,0,TE,33,0,1,A.Seferian-Jenkins-00-0031418,Replacement_WR_TE_rush,0.027863890631497523,-0.01796435328129747,0.0068133300855834425,0.5572778126299505,-0.3592870656259494,0,3.3589580092348115,0.08575802886332318,0,3.4447160380981345,0.10731704160227341,0.002739926467062557,0,0.11005696806933596
B.Bell-00-0032062,4,9,0,TE,13,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.14008400983024305,-0.02225225472446363,0.0068133300855834425,-1.2607560884721876,-0.20027029252017267,0,0,0,0,0,0,0,0,0
B.Bostick-00-0029601,8,11,0,TE,19,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.14008400983024305,-0.02225225472446363,0.0068133300855834425,-1.5409241081326734,-0.24477480196909993,0,0,0,0,0,0,0,0,0
B.Bowman-00-0032515,0,1,0,TE,1,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.14008400983024305,-0.02225225472446363,0.0068133300855834425,-0.14008400983024305,-0.02225225472446363,0,0,0,0,0,0,0,0,0
B.Braunecker-00-0032661,4,6,0,TE,10,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.14008400983024305,-0.02225225472446363,0.0068133300855834425,-0.8405040589814583,-0.1335135283467818,0,0,0,0,0,0,0,0,0
B.Celek-00-0025549,14,19,0,TE,33,0,1,B.Celek-00-0025549,Replacement_WR_TE_rush,-0.028509955925363577,0.010660008213163891,0.0068133300855834425,-0.541689162581908,0.20254015605011394,0,2.1199070241927096,0.625332995814923,0,2.745240020007633,0.06772997747598127,0.019979078911567614,0,0.08770905638754888
B.Koyack-00-0032139,19,24,0,TE,43,0,1,B.Koyack-00-0032139,Replacement_WR_TE_rush,0.027608055308805394,0.007443536052716349,0.0068133300855834425,0.6625933274113295,0.17864486526519238,0,4.024609563337163,0.7126989786523196,0,4.737308541989482,0.1285842784441217,0.022770378710197804,0,0.1513546571543195
B.Myers-00-0027135,7,14,0,TE,21,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.14008400983024305,-0.02225225472446363,0.0068133300855834425,-1.9611761376234027,-0.31153156614249083,0,0,0,0,0,0,0,0,0
B.Williams-00-0029793,2,3,0,TE,5,1,1,Replacement_TE_rec,Replacement_WR_TE_rush,-0.14008400983024305,-0.02225225472446363,0.0068133300855834425,-0.42025202949072915,-0.0667567641733909,0,0,0,0,0,0,0,0,0
C.Brate-00-0031273,57,82,0,TE,139,0,1,C.Brate-00-0031273,Replacement_WR_TE_rush,0.1420338394604948,0.022668595996062302,0.0068133300855834425,11.646774835760574,1.8588248716771087,0,23.133663641840506,3.6835097590831265,0,26.817173400923632,0.7391090738969837,0.11768630895983014,0,0.8567953828568138
C.Clay-00-0028112,57,87,0,TE,144,0,1,C.Clay-00-0028112,Replacement_WR_TE_rush,-0.02489289841521625,0.004402378261536107,0.0068133300855834425,-2.165682162123814,0.38300690875364135,0,10.021626693107333,2.318953069781977,0,12.340579762889309,0.32018599988145013,0.07408939986129938,0,0.3942753997427495
C.Fiedorowicz-00-0031302,54,89,0,TE,143,0,1,C.Fiedorowicz-00-0031302,Replacement_WR_TE_rush,0.007832246551914083,-0.02858735209539255,0.0068133300855834425,0.6970699431203534,-2.544274336489937,0,13.164546818011985,-0.5638236660126739,0,12.600723151999311,0.420600738282378,-0.018013886346740147,0,0.4025868519356378
C.Fleener-00-0029697,50,81,1,TE,132,0,1,C.Fleener-00-0029697,Replacement_WR_TE_rush,-0.032486042428481125,-0.02222410741365484,0.0068133300855834425,-2.6313694367069713,-1.800152700506042,0.0068133300855834425,8.715435359542717,0.002279932175512034,0,8.717715291718228,0.27845383493646,7.28427016524464e-5,0,0.2785266776381124
